Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00215.png,1,675,675,34.091,255,255,95.740,29.673,28.963,94.816,0.925,0.955,30.676,18,8,109.026,29.000,172125,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00016.png,1,1990,1990,49.355,255,255,165.439,51.815,48.900,113.106,0.914,0.974,53.600,16,11,126.656,49.000,507450,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00573.png,1,527,527,32.958,255,255,83.497,25.993,25.815,106.049,0.950,0.956,27.313,15,7,113.749,26.000,134385,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00567.png,1,743,743,38.378,255,255,99.740,30.947,30.569,119.218,0.939,0.964,32.280,18,38,73.811,30.000,189465,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00002.png,1,495,495,34.280,255,255,82.083,25.511,24.705,101.319,0.923,0.946,26.476,16,6,100.886,25.000,126225,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00201.png,1,587,587,32.539,255,255,88.083,27.410,27.267,85.308,0.951,0.962,28.653,14,8,119.249,27.000,149685,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00229.png,1,724,724,32.909,255,255,99.497,30.465,30.259,90.172,0.919,0.960,32.202,8,17,143.842,30.000,184620,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00598.png,1,623,623,34.534,255,255,90.912,28.508,27.825,141.844,0.947,0.961,29.732,7,17,160.346,28.000,158865,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00771.png,1,423,423,30.898,255,255,75.012,23.892,22.543,134.840,0.945,0.954,25.239,11,8,123.690,23.000,107865,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00017.png,1,647,647,36.699,255,255,92.912,29.085,28.323,77.423,0.942,0.962,30.232,13,35,55.784,28.000,164985,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00003.png,1,786,786,37.971,255,255,102.569,32.286,30.997,64.103,0.939,0.964,33.242,16,37,68.839,31.000,200430,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00765.png,1,406,406,24.847,255,255,74.426,23.862,21.663,9.672,0.921,0.944,24.698,8,28,21.371,22.000,103530,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00759.png,1,569,569,34.695,255,255,88.083,27.151,26.683,0.252,0.922,0.952,28.425,9,29,39.289,27.000,145095,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00605.png,1,1240,1240,44.144,255,255,130.125,40.176,39.297,6.542,0.920,0.966,41.231,6,23,165.964,39.000,316200,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00163.png,1,1293,1293,44.357,255,255,134.125,40.862,40.289,25.130,0.903,0.964,42.012,9,38,38.234,40.746,329715,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00177.png,1,543,543,33.110,255,255,85.497,26.444,26.145,105.246,0.933,0.953,27.514,16,7,109.093,26.000,138465,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00611.png,1,487,487,31.218,255,255,80.669,24.960,24.842,49.495,0.940,0.954,26.077,8,14,147.529,25.000,124185,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00639.png,1,623,623,36.179,255,255,97.497,29.819,26.601,132.557,0.824,0.934,33.971,11,9,132.614,27.509,158865,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00188.png,1,872,872,36.379,255,255,108.569,33.768,32.879,19.331,0.930,0.963,35.000,9,35,36.870,33.000,222360,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00361.png,1,589,589,29.101,255,255,88.912,27.764,27.011,57.771,0.936,0.954,29.069,7,30,26.565,27.000,150195,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00162.png,1,875,875,41.352,255,255,107.983,33.451,33.305,62.256,0.943,0.967,34.670,14,38,56.768,33.000,223125,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00407.png,1,582,582,36.375,255,255,88.912,27.654,26.797,49.931,0.925,0.952,29.155,15,33,67.834,27.000,148410,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00413.png,1,719,719,37.138,255,255,98.326,30.704,29.816,91.488,0.935,0.961,31.953,16,7,110.136,30.000,183345,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00375.png,1,658,658,36.434,255,255,94.326,29.183,28.708,85.286,0.929,0.958,30.232,12,9,124.216,29.000,167790,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00349.png,1,853,853,38.615,255,255,107.397,33.433,32.485,104.785,0.929,0.962,34.670,14,9,123.232,33.000,217515,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00348.png,1,1273,1273,45.319,255,255,131.539,40.546,39.975,33.687,0.925,0.964,41.677,17,45,59.744,40.000,324615,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00412.png,1,825,825,34.361,255,255,105.983,32.540,32.281,175.532,0.923,0.959,33.615,12,32,30.379,32.000,210375,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00374.png,1,1251,1251,45.392,255,255,129.882,40.288,39.536,11.239,0.932,0.970,41.400,9,38,37.147,39.000,319005,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00360.png,1,857,857,35.708,255,255,109.397,33.802,32.281,24.875,0.900,0.956,35.000,16,38,53.130,32.742,218535,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00406.png,1,677,677,36.634,255,255,95.497,29.933,28.797,41.735,0.933,0.960,31.401,7,31,37.235,29.000,172635,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R01_00163.png,1,656,656,38.095,255,255,95.154,29.037,28.765,32.010,0.910,0.950,30.232,9,12,145.784,29.000,167280,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00189.png,1,521,521,31.012,255,255,84.326,26.288,25.234,163.301,0.921,0.948,27.659,7,18,167.471,26.000,132855,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00638.png,1,742,742,35.880,255,255,102.225,31.209,30.272,4.924,0.892,0.949,34.482,7,27,16.858,30.411,189210,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00176.png,1,929,929,37.175,255,255,111.640,35.231,33.574,174.378,0.937,0.964,36.139,7,22,165.579,34.000,236895,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00610.png,1,815,815,40.267,255,255,105.397,32.885,31.555,0.197,0.922,0.958,34.132,9,14,148.173,32.000,207825,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00604.png,1,743,743,37.525,255,255,99.740,30.869,30.647,50.922,0.939,0.962,32.202,9,32,36.158,30.000,189465,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00162.png,1,1084,1084,41.676,255,255,122.711,37.563,36.744,68.052,0.905,0.959,38.639,20,7,100.437,37.326,276420,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00758.png,1,573,573,34.107,255,255,87.497,27.037,26.984,171.084,0.941,0.957,28.178,8,28,27.474,27.000,146115,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00002.png,1,1302,1302,43.056,255,255,133.296,40.895,40.537,98.005,0.921,0.968,42.202,16,46,53.673,40.000,332010,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00764.png,1,601,601,31.108,255,255,90.083,28.406,26.939,173.225,0.931,0.958,29.411,9,15,144.689,27.000,153255,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00770.png,1,549,549,31.919,255,255,87.255,27.019,25.871,41.490,0.906,0.949,29.069,9,30,40.815,26.000,139995,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00016.png,1,852,852,39.408,255,255,107.983,33.318,32.559,37.854,0.918,0.958,34.670,14,38,56.768,33.000,217260,255,NaN,NaN
2024-10-30 P222 Group 2 Rev 2 R02 PP1_00599.png,1,498,498,32.763,255,255,81.841,25.312,25.050,147.880,0.934,0.956,26.401,12,8,127.304,25.000,126990,255,NaN,NaN
