Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00135.png,1,1418,1418,43.658,255,255,139.782,43.254,41.741,178.553,0.912,0.965,44.407,7,32,7.765,42.000,361590,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00121.png,1,1083,1083,36.465,255,255,121.882,37.527,36.745,26.207,0.916,0.963,38.639,8,29,10.437,37.000,276165,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00109.png,1,908,908,36.451,255,255,111.397,34.931,33.097,32.508,0.919,0.961,36.249,7,33,24.444,33.988,231540,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00492.png,1,687,687,36.311,255,255,97.154,29.910,29.245,166.197,0.915,0.953,31.064,9,31,33.179,29.516,175185,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00486.png,1,721,721,35.171,255,255,106.468,32.634,28.131,91.753,0.799,0.914,37.483,18,7,99.211,29.725,183855,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00337.png,1,814,814,39.362,255,255,105.397,32.485,31.905,14.123,0.921,0.960,33.601,14,38,53.471,32.000,207570,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00451.png,1,477,477,34.868,255,255,80.669,24.889,24.402,116.156,0.921,0.948,26.306,15,6,98.746,24.000,121635,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00445.png,1,683,683,31.591,255,255,97.154,29.711,29.269,42.236,0.909,0.951,30.806,11,33,35.754,29.963,174165,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00323.png,1,987,987,41.108,255,255,117.397,35.649,35.252,56.564,0.900,0.956,37.537,12,10,131.760,35.000,251685,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00479.png,1,876,876,42.319,255,255,108.811,33.502,33.292,134.678,0.930,0.964,34.785,18,6,108.435,33.000,223380,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00280.png,1,927,927,42.877,255,255,113.397,35.180,33.550,116.878,0.906,0.960,36.878,10,11,139.399,34.000,236385,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00294.png,1,769,769,38.838,255,255,102.569,32.021,30.577,57.418,0.919,0.958,33.015,13,36,54.866,31.000,196095,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00243.png,1,2323,2323,50.988,255,255,179.338,56.687,52.177,57.160,0.908,0.972,57.628,11,53,38.660,52.771,592365,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00525.png,1,649,649,35.100,255,255,92.912,29.019,28.476,5.631,0.945,0.963,30.017,8,15,150.018,28.000,165495,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00531.png,1,908,908,39.478,255,255,111.397,34.938,33.090,157.124,0.919,0.962,36.139,7,27,14.421,33.000,231540,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00257.png,1,535,535,34.339,255,255,85.255,26.488,25.717,37.317,0.925,0.955,27.803,9,30,37.694,26.000,136425,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00519.png,1,754,754,36.425,255,255,100.569,31.496,30.481,59.445,0.937,0.961,32.757,14,36,58.736,31.000,192270,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00082.png,1,1429,1429,45.582,255,255,139.539,43.223,42.095,37.167,0.922,0.969,44.654,9,40,34.046,42.000,364395,255,NaN,NaN
2024-10-30 P1440 Group 1 Rev 8 R01 PP1_00096.png,1,1461,1461,44.273,255,255,143.539,43.606,42.660,60.731,0.891,0.959,46.400,9,45,37.117,43.000,372555,255,NaN,NaN
