Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01873.png,1,694,694,32.189,255,255,97.154,30.535,28.938,11.346,0.924,0.957,31.623,7,19,161.565,29.000,176970,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01867.png,1,543,543,30.782,255,255,85.497,26.795,25.802,49.713,0.933,0.954,27.803,10,29,37.694,26.000,138465,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01697.png,1,502,502,33.026,255,255,82.669,25.632,24.936,80.089,0.923,0.948,26.683,17,32,77.005,25.000,128010,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00589.png,1,1108,1108,41.780,255,255,122.468,38.300,36.834,160.017,0.928,0.966,39.408,10,14,144.293,37.000,282540,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01683.png,1,515,515,34.750,255,255,83.255,25.956,25.263,41.217,0.934,0.954,27.019,8,27,38.991,25.000,131325,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00576.png,1,1373,1373,42.259,255,255,136.711,42.226,41.400,127.909,0.923,0.968,43.600,10,15,143.393,41.000,350115,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01668.png,1,630,630,36.585,255,255,93.397,28.613,28.035,118.297,0.908,0.948,30.150,6,22,5.711,28.284,160650,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00210.png,1,1377,1377,44.708,255,255,136.125,42.340,41.409,80.629,0.934,0.972,43.463,19,8,113.025,41.000,351135,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00204.png,1,1659,1659,43.866,255,255,154.510,47.991,44.014,169.224,0.873,0.959,50.922,7,19,160.498,45.221,423045,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_00562.png,1,919,919,39.887,255,255,111.397,34.514,33.902,12.494,0.931,0.965,35.847,8,31,22.989,34.000,234345,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 10 R01_PP2_01654.png,1,868,868,38.509,255,255,108.811,33.635,32.858,23.119,0.921,0.960,35.228,9,33,34.592,33.000,221340,255,NaN,NaN
