Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00322.png,1,676,676,37.431,255,255,95.740,30.180,28.519,40.104,0.927,0.957,31.064,8,29,33.179,29.000,172380,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00444.png,1,688,688,33.333,255,255,96.326,30.046,29.155,10.041,0.932,0.960,31.064,9,33,33.179,29.000,175440,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01982.png,1,505,505,30.830,255,255,82.083,25.708,25.011,76.368,0.942,0.954,26.683,17,7,102.995,25.000,128775,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00450.png,1,852,852,38.569,255,255,108.225,33.202,32.673,36.569,0.914,0.959,34.986,8,31,30.964,33.000,217260,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01996.png,1,629,629,34.867,255,255,93.497,28.931,27.682,37.684,0.904,0.949,30.610,9,31,38.367,28.000,160395,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00336.png,1,1120,1120,44.818,255,255,123.054,38.447,37.091,28.136,0.929,0.968,39.661,9,36,33.690,37.000,285600,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01028.png,1,1072,1072,38.217,255,255,121.054,37.476,36.421,149.548,0.919,0.964,38.419,14,12,128.660,37.000,273360,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01000.png,1,474,474,30.424,255,255,79.841,24.940,24.199,107.577,0.934,0.956,25.962,16,8,105.642,24.000,120870,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01766.png,1,867,867,39.266,255,255,107.397,33.407,33.044,36.044,0.945,0.968,34.540,7,28,22.109,33.000,221085,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00478.png,1,612,612,33.925,255,255,90.326,28.214,27.618,36.537,0.943,0.959,29.547,15,35,66.038,28.000,156060,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01772.png,1,791,791,38.213,255,255,103.154,32.070,31.404,17.048,0.934,0.963,33.121,9,32,28.887,31.000,201705,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01014.png,1,974,974,40.583,255,255,115.983,35.535,34.899,2.344,0.910,0.962,37.014,7,15,141.582,35.000,248370,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00487.png,1,528,528,33.846,255,255,85.154,26.307,25.555,52.175,0.915,0.947,27.659,7,23,12.529,26.163,134640,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01941.png,1,659,659,36.489,255,255,93.740,29.388,28.551,45.222,0.942,0.960,30.529,13,34,58.392,28.991,168045,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01799.png,1,530,530,32.317,255,255,84.083,26.045,25.909,136.824,0.942,0.956,27.459,8,13,146.889,26.000,135150,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00493.png,1,967,967,39.469,255,255,113.983,35.511,34.671,15.205,0.935,0.967,36.620,9,35,34.992,34.000,246585,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01955.png,1,834,834,34.793,255,255,105.983,33.037,32.143,171.925,0.933,0.963,33.956,7,20,166.373,32.000,212670,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01969.png,1,522,522,36.150,255,255,84.083,26.005,25.558,43.507,0.928,0.952,27.203,8,27,36.027,26.000,133110,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_02051.png,1,598,598,35.574,255,255,89.740,27.850,27.339,135.697,0.933,0.955,28.844,12,9,123.690,27.577,152490,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00646.png,1,613,613,38.336,255,255,90.912,28.288,27.591,13.990,0.932,0.956,29.530,8,27,28.301,28.000,156315,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01558.png,1,500,500,33.738,255,255,81.841,25.364,25.099,127.350,0.938,0.957,26.401,11,9,127.304,25.000,127500,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00120.png,1,1402,1402,45.519,255,255,138.953,42.991,41.523,126.606,0.912,0.966,44.045,15,10,129.472,42.000,357510,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00134.png,1,640,640,35.437,255,255,92.912,28.818,28.277,95.855,0.932,0.958,30.000,11,33,53.130,28.000,163200,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00652.png,1,1033,1033,37.564,255,255,120.125,36.354,36.180,156.398,0.900,0.953,38.639,19,8,100.437,36.749,263415,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_02045.png,1,754,754,38.946,255,255,101.154,31.066,30.903,61.663,0.926,0.959,32.202,7,29,25.769,31.000,192270,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01564.png,1,1064,1064,37.255,255,255,120.468,37.290,36.330,4.225,0.921,0.963,38.588,9,37,31.218,37.000,271320,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01202.png,1,1404,1404,44.899,255,255,138.368,44.502,40.169,118.788,0.922,0.970,45.486,14,11,123.341,41.000,358020,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01216.png,1,809,809,35.174,255,255,107.740,35.848,28.734,58.347,0.876,0.959,38.588,14,40,58.782,30.000,206295,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00108.png,1,799,799,39.457,255,255,105.397,32.682,31.128,165.889,0.904,0.956,33.838,7,28,18.970,31.305,203745,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_02079.png,1,871,871,39.430,255,255,107.983,33.682,32.926,41.199,0.939,0.966,34.986,7,32,30.964,33.000,222105,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01570.png,1,693,693,38.372,255,255,96.912,30.012,29.400,120.008,0.927,0.959,31.401,9,11,142.765,29.000,176715,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00685.png,1,607,607,37.012,255,255,90.811,28.623,27.001,51.570,0.925,0.951,29.833,15,34,76.430,26.870,154785,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_02092.png,1,621,621,35.224,255,255,91.497,28.521,27.723,54.615,0.932,0.958,29.732,11,32,47.726,28.000,158355,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_02086.png,1,1263,1263,40.287,255,255,131.539,40.259,39.944,89.355,0.917,0.966,41.617,12,39,35.218,40.000,322065,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00849.png,1,806,806,38.091,255,255,104.569,32.323,31.749,45.279,0.926,0.963,33.601,8,32,36.529,32.000,205530,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00691.png,1,1005,1005,40.216,255,255,117.054,36.110,35.436,177.210,0.922,0.962,37.363,7,32,15.524,36.000,256275,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00861.png,1,1122,1122,40.711,255,255,123.640,38.476,37.129,109.922,0.922,0.967,39.661,14,10,123.690,37.000,286110,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00875.png,1,918,918,36.720,255,255,111.397,34.410,33.968,174.627,0.930,0.964,35.468,15,11,130.426,34.000,234090,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00732.png,1,732,732,33.273,255,255,99.740,31.089,29.979,173.657,0.925,0.957,32.311,7,20,158.199,30.000,186660,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00054.png,1,1159,1159,44.560,255,255,125.882,38.624,38.206,91.670,0.919,0.964,39.850,20,44,72.474,38.000,295545,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00040.png,1,712,712,35.960,255,255,98.083,30.808,29.426,85.523,0.930,0.962,32.016,12,34,51.340,29.000,181560,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01438.png,1,992,992,39.696,255,255,116.811,36.664,34.450,75.201,0.914,0.962,38.013,13,41,54.638,34.925,252960,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00726.png,1,1188,1188,38.647,255,255,127.296,39.504,38.290,171.075,0.921,0.967,41.000,6,25,167.320,38.000,302940,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01410.png,1,1386,1386,42.672,255,255,137.296,42.182,41.836,30.655,0.924,0.970,43.658,7,36,20.095,41.000,353430,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00068.png,1,552,552,32.838,255,255,86.326,27.061,25.972,8.659,0.931,0.953,28.160,7,17,163.496,26.386,140760,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01376.png,1,991,991,41.274,255,255,116.811,36.735,34.348,156.249,0.913,0.964,38.601,8,14,143.427,35.000,252705,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01362.png,1,723,723,35.774,255,255,98.811,30.758,29.929,43.040,0.931,0.958,31.780,6,26,12.724,29.698,184365,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01404.png,1,798,798,36.141,255,255,106.811,34.478,29.469,140.214,0.879,0.942,35.468,12,8,130.426,30.231,203490,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00929.png,1,714,714,38.615,255,255,99.154,30.233,30.070,82.948,0.913,0.955,31.401,12,9,127.235,30.000,182070,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01389.png,1,1649,1649,47.371,255,255,149.439,46.708,44.951,44.342,0.928,0.970,49.659,20,52,64.983,45.255,420495,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00097.png,1,563,563,31.916,255,255,87.497,27.140,26.412,119.637,0.924,0.950,28.320,12,11,132.138,26.870,143565,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00083.png,1,644,644,32.525,255,255,92.083,28.892,28.380,59.845,0.954,0.966,30.232,15,36,55.784,28.000,164220,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00915.png,1,606,606,34.354,255,255,90.669,28.269,27.294,52.367,0.926,0.957,29.833,11,33,50.440,27.000,154530,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00901.png,1,842,842,38.186,255,255,107.983,32.901,32.584,119.926,0.907,0.955,34.409,9,14,144.462,32.000,214710,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_01148.png,2,1546,773,42.102,255,255,99.790,31.533,29.834,76.051,0.934,0.967,32.650,26,28.500,89.721,29.000,197115,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00256.png,1,778,778,41.121,255,255,103.154,32.168,30.794,127.410,0.919,0.958,33.422,11,9,128.928,31.000,198390,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00530.png,1,603,603,34.203,255,255,89.497,27.754,27.663,54.508,0.946,0.962,29.155,8,15,149.036,27.000,153765,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 9 R01_PP2_00524.png,1,806,806,38.937,255,255,104.912,33.326,30.794,73.790,0.920,0.964,34.785,17,39,71.565,30.000,205530,255,NaN,NaN
