Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00919.png,1,1340,1340.000,43.506,255,255,134.711,41.552,41.060,17.155,0.928,0.969,42.720,19,48.000,69.444,41.000,341700.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01385.png,1,635,635.000,36.876,255,255,92.326,28.667,28.204,136.687,0.936,0.958,29.732,15,7.000,109.654,28.000,161925.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00925.png,1,706,706.000,35.657,255,255,96.912,30.566,29.409,112.758,0.945,0.964,31.780,16,8.000,114.146,29.000,180030.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00931.png,1,755,755.000,39.905,255,255,102.912,31.482,30.535,55.869,0.896,0.955,34.059,11,36.000,49.764,31.000,192525.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01391.png,1,666,666.000,36.019,255,255,94.569,29.685,28.566,81.795,0.936,0.958,31.016,15,36.000,69.228,28.991,169830.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00064.png,1,856,856.000,39.593,255,255,107.397,33.282,32.747,125.866,0.933,0.962,34.670,13,9.000,123.232,33.000,218280.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00702.png,1,662,662.000,36.656,255,255,94.326,29.150,28.916,127.424,0.935,0.959,30.414,9,14.000,152.592,29.000,168810.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00716.png,1,1250,1250.000,43.676,255,255,134.125,46.040,34.569,131.484,0.873,0.962,47.011,13,8.000,128.089,35.923,318750.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01408.png,1,668,668.000,35.307,255,255,95.740,29.558,28.775,156.164,0.916,0.953,30.887,8,14.000,150.945,29.000,170340.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00070.png,1,779,779.000,39.343,255,255,102.811,31.597,31.391,141.906,0.926,0.955,33.838,6,16.000,161.030,31.820,198645.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01346.png,1,737,737.000,38.088,255,255,99.983,30.921,30.348,10.260,0.926,0.958,31.906,8,15.000,147.804,30.858,187935.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00058.png,1,2243,2243.000,47.112,255,255,178.752,53.596,53.286,102.603,0.882,0.966,56.613,11,49.000,35.655,53.351,571965.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01420.png,1,290,290.000,21.870,255,255,61.941,20.446,18.060,20.005,0.950,0.954,21.190,7,23.000,19.290,18.000,73950.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01434.png,1,723,723.000,34.961,255,255,101.054,31.310,29.401,90.476,0.890,0.944,34.713,18,7.000,101.634,30.000,184365.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01352.png,1,608,608.000,33.666,255,255,90.912,28.071,27.578,110.487,0.924,0.954,29.206,12,10.000,128.047,28.000,155040.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01805.png,1,387,387.000,30.714,255,255,71.598,23.147,21.288,66.598,0.949,0.953,24.413,10,27.000,55.008,21.000,98685.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01811.png,1,549,549.000,29.109,255,255,86.083,27.100,25.794,17.472,0.931,0.953,28.302,9,31.000,32.005,26.000,139995.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01839.png,1,610,610.000,32.241,255,255,90.912,28.323,27.422,18.317,0.927,0.957,29.206,9,29.000,38.047,27.727,155550.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01187.png,1,802,802.000,38.744,255,255,103.983,32.486,31.433,7.237,0.932,0.960,33.615,7,29.000,22.751,31.000,204510.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00299.png,2,1605,802.500,42.237,255,255,103.790,32.078,31.038,140.596,0.915,0.964,34.023,17,26.500,123.467,30.500,204637.500,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01193.png,1,1037,1037.000,36.310,255,255,119.054,37.009,35.676,158.735,0.919,0.962,37.802,13,13.000,127.476,36.000,264435.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00500.png,1,1046,1046.000,41.857,255,255,119.882,36.798,36.192,106.982,0.915,0.961,38.079,17,7.000,113.199,36.770,266730.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00266.png,1,958,958.000,43.368,255,255,113.397,35.144,34.708,8.994,0.936,0.966,36.401,9,34.000,37.185,34.000,244290.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01178.png,1,621,621.000,34.385,255,255,90.912,28.344,27.896,22.376,0.944,0.961,29.411,7,16.000,162.181,28.000,158355.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00272.png,1,992,992.000,43.074,255,255,116.225,35.825,35.256,13.804,0.923,0.965,36.892,9,34.000,32.829,35.000,252960.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00514.png,1,624,624.000,37.143,255,255,92.083,28.502,27.875,48.754,0.925,0.954,30.017,7,28.000,29.982,28.000,159120.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01622.png,1,581,581.000,31.491,255,255,88.083,27.729,26.678,0.187,0.941,0.960,28.636,7,26.000,12.095,26.000,148155.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01144.png,1,614,614.000,36.526,255,255,90.912,28.174,27.748,11.426,0.934,0.957,29.206,13,33.000,51.953,28.000,156570.000,255,NaN,NaN
