Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01031.png,1,747,747,38.585,255,255,99.983,30.940,30.740,12.576,0.939,0.960,32.249,8,30,29.745,31.000,190485,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00449.png,1,844,844,39.038,255,255,106.811,33.123,32.443,12.632,0.930,0.962,34.540,8,31,22.109,33.000,215220,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01025.png,1,778,778,40.186,255,255,103.397,31.737,31.212,99.810,0.914,0.954,32.802,9,12,142.431,31.771,198390,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00313.png,1,748,748,36.938,255,255,101.154,31.536,30.200,75.516,0.919,0.960,32.802,11,35,52.431,30.990,190740,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00475.png,1,1111,1111,40.341,255,255,123.882,37.987,37.239,25.414,0.910,0.962,39.217,23,45,70.641,37.566,283305,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00461.png,1,726,726,38.372,255,255,99.983,30.617,30.191,19.092,0.913,0.952,31.780,8,28,24.146,30.786,185130,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01019.png,1,765,765,34.694,255,255,101.983,31.289,31.130,162.225,0.924,0.959,32.450,13,12,123.690,31.000,195075,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00307.png,1,1661,1661,46.921,255,255,150.953,46.097,45.878,2.573,0.916,0.971,48.549,10,44,32.381,45.000,423555,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01555.png,1,887,887,38.565,255,255,114.811,35.852,31.500,124.550,0.846,0.940,39.962,11,7,121.701,33.000,226185,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00893.png,1,1658,1658,47.630,255,255,150.610,45.995,45.897,14.600,0.919,0.971,47.202,16,10,126.384,46.000,422790,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01233.png,1,608,608,37.073,255,255,90.912,28.215,27.436,87.976,0.924,0.952,29.411,12,33,54.689,28.000,155040,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00139.png,1,1455,1455,48.115,255,255,142.368,43.531,42.557,54.083,0.902,0.962,45.000,14,47,53.130,43.000,371025,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01227.png,1,1147,1147,42.419,255,255,125.882,38.978,37.467,25.234,0.910,0.961,40.000,9,37,36.870,38.000,292485,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01541.png,1,575,575,31.874,255,255,87.841,27.461,26.660,4.238,0.936,0.963,28.601,8,29,36.469,26.000,146625,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00887.png,1,572,572,33.217,255,255,88.083,27.458,26.524,35.576,0.926,0.956,28.601,11,32,53.531,27.000,145860,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_01569.png,1,1119,1119,41.398,255,255,123.054,38.131,37.365,1.517,0.929,0.967,39.446,8,16,149.534,37.000,285345,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00677.png,1,652,652,36.102,255,255,93.983,29.115,28.513,10.942,0.928,0.953,30.364,7,25,17.241,28.991,166260,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00111.png,1,701,701,35.404,255,255,97.154,30.078,29.674,85.758,0.933,0.958,31.064,13,10,123.179,30.000,178755,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00105.png,1,948,948,42.021,255,255,113.397,34.922,34.563,22.571,0.926,0.964,36.401,9,35,37.185,34.000,241740,255,NaN,NaN
2024-10-30 P1444 Group 3 Rev 5 R02 PP1_00663.png,1,771,771,28.513,255,255,117.640,33.755,29.082,6.123,0.700,0.865,39.661,10,35,33.690,30.860,196605,255,NaN,NaN
