Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,5728.28,5728.28,0.98,0.00,0.00,0.00,357699.85,322195.36,326137.24,1.83,1.00,1.00,235.00,356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.91,1.00,1.09,284.37,1.00,2024-10-30 11:56:29,85.40,86.59,85.40,169.94,2.77,1.00,-85.00,0.00,0.00,1.15,0.00,1.00,76.94,76.94,1,62.00,61.00,31.43,88.83,1.00,307.75,0.00,0.00,0.00,1.08,37.89,45058,0.00,0.00,0.00,0.00,0.96,64520.00,0.96,2024-10-30 11:56:29,2024-10-30 11:56:29,0.01,8AD9DD3196D711EF937150EBF6EE7050,326137.24,339986.52,85.17
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,1447.33,1447.33,0.93,0.00,0.00,0.00,55755.49,39864.00,41420.60,1.83,2.00,2.00,658.00,477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.94,1.00,1.06,150.57,1.00,2024-10-30 11:56:29,42.93,44.16,42.93,255.00,2.77,1.00,-80.00,0.00,0.00,1.13,0.00,1.00,41.41,41.41,2,39.00,37.00,23.79,46.71,1.00,165.63,0.00,0.00,0.00,1.10,34.38,45058,0.00,0.00,0.00,0.00,0.97,14586.00,0.88,2024-10-30 11:56:29,2024-10-30 11:56:29,0.03,8AD9E19F96D711EF937150EBF6EE7050,41420.60,45096.43,41.21
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,2038.03,2038.03,0.99,0.00,0.00,0.00,86468.24,68711.89,69211.89,1.83,3.00,3.00,507.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.06,175.39,1.00,2024-10-30 11:56:29,50.94,52.15,50.94,212.88,2.77,1.00,10.00,0.00,0.00,1.13,0.00,1.00,47.93,47.93,3,42.00,42.00,33.60,54.03,1.00,191.71,0.00,0.00,0.00,1.09,39.51,45058,0.00,0.00,0.00,0.00,0.97,27556.00,0.96,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9E72896D711EF937150EBF6EE7050,69211.89,74259.94,50.37
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,1868.18,1868.18,0.88,0.00,0.00,0.00,75593.79,56349.51,60742.51,1.83,4.00,4.00,613.00,1782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.95,0.99,1.05,168.69,1.00,2024-10-30 11:56:29,48.77,49.76,48.77,157.05,2.77,1.00,-80.00,0.00,0.00,1.18,0.00,1.00,45.83,45.83,4,43.00,39.00,49.70,54.03,1.00,183.31,0.00,0.00,0.00,1.09,42.70,45058,0.00,0.00,0.00,0.00,0.98,37824.00,0.94,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9E97E96D711EF937150EBF6EE7050,60742.51,64505.92,44.87
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,4592.61,4592.61,0.78,0.00,0.00,0.00,273471.07,206326.48,234127.91,1.83,5.00,5.00,698.00,1841.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.89,0.96,1.12,261.70,1.00,2024-10-30 11:56:29,76.47,79.42,76.47,198.82,2.77,1.00,-70.00,0.00,0.00,1.29,0.00,1.00,70.35,70.35,5,60.00,52.00,29.45,90.66,1.00,281.41,0.00,0.00,0.00,1.08,35.86,45058,0.00,0.00,0.00,0.00,0.95,49478.00,0.85,2024-10-30 11:56:29,2024-10-30 11:56:29,0.04,8AD9EBC196D711EF937150EBF6EE7050,234127.91,262296.04,68.69
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,5459.33,5459.33,0.93,0.00,0.00,0.00,327740.42,292103.13,303440.16,1.83,6.00,6.00,443.00,782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,1.00,1.08,278.48,1.00,2024-10-30 11:56:29,83.37,84.66,83.37,169.78,2.84,1.00,-65.00,0.00,0.00,1.19,0.00,1.00,74.73,74.73,6,61.00,59.00,31.36,88.83,1.00,298.91,0.00,0.00,0.00,1.07,37.82,45059,0.00,0.00,0.00,0.00,0.96,61617.00,0.96,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9EE0E96D711EF937150EBF6EE7050,303440.16,317718.86,81.51
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,4895.92,4895.92,0.98,0.00,0.00,0.00,280546.24,255544.46,257700.26,1.83,7.00,7.00,521.00,938.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.07,263.52,1.00,2024-10-30 11:56:29,78.95,80.23,78.95,171.06,2.84,1.00,15.00,-90.00,0.00,1.15,0.00,1.00,70.95,70.95,7,57.00,58.00,33.88,81.51,1.00,283.81,0.00,0.00,0.00,1.08,37.82,45059,0.00,0.00,0.00,0.00,0.97,60299.00,0.97,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9F04396D711EF937150EBF6EE7050,257700.26,270444.47,77.84
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,6686.10,6686.10,0.97,0.00,0.00,0.00,501238.41,405017.23,411266.14,1.83,8.00,8.00,631.00,1033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.84,1.00,1.19,308.74,1.00,2024-10-30 11:56:29,92.27,94.53,92.27,217.66,2.84,1.00,-60.00,15.00,0.00,1.12,0.00,1.00,86.10,86.10,8,66.00,66.00,24.43,96.16,1.00,344.39,0.00,0.00,0.00,1.12,34.91,45059,0.00,0.00,0.00,0.00,0.92,57787.00,0.87,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9F27296D711EF937150EBF6EE7050,411266.14,442303.27,92.50
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,5801.73,5801.73,0.97,0.00,0.00,0.00,409565.27,327489.89,332429.92,1.83,9.00,9.00,529.00,1141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.84,1.00,1.18,288.83,1.00,2024-10-30 11:56:29,85.95,88.07,85.95,218.48,2.84,1.00,-75.00,0.00,0.00,1.13,0.00,1.00,80.49,80.49,9,63.00,61.00,25.65,90.66,1.00,321.96,0.00,0.00,0.00,1.11,35.00,45059,0.00,0.00,0.00,0.00,0.92,53274.00,0.88,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8AD9F4B696D711EF937150EBF6EE7050,332429.92,357663.18,85.17
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,3611.10,3611.10,0.50,0.00,0.00,0.00,159442.20,120242.26,163238.83,1.83,10.00,10.00,782.00,1716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.67,0.76,1.50,257.41,0.94,2024-10-30 11:56:29,67.81,78.05,67.81,218.32,2.84,2.27,50.00,-25.00,0.08,0.93,0.00,0.44,101.64,44.69,10,64.00,52.00,31.84,94.33,1.00,292.66,0.00,0.00,0.00,1.14,36.52,45059,0.00,0.00,0.00,0.00,0.82,43106.00,0.84,2024-10-30 11:56:29,2024-10-30 11:56:29,0.13,8AD9F70796D711EF937150EBF6EE7050,163238.83,248919.61,50.37
