Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2001 Group 2 Rev 1 R01_00723.png,1,1089,1089,41.063,255,255,123.296,38.291,36.211,174.307,0.900,0.963,39.319,7,22,172.694,36.000,277695,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00045.png,1,674,674,35.624,255,255,96.326,29.602,28.990,73.739,0.913,0.955,30.610,10,32,38.367,29.000,171870,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00051.png,1,934,934,43.201,255,255,113.983,35.219,33.766,78.372,0.903,0.958,36.688,18,41,72.553,34.000,238170,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01429.png,1,758,758,35.060,255,255,100.326,31.570,30.571,10.192,0.946,0.967,32.757,9,16,148.736,30.000,193290,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00737.png,1,843,843,36.652,255,255,107.397,32.927,32.597,24.047,0.918,0.958,34.205,9,34,37.875,33.000,214965,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01401.png,1,557,557,31.648,255,255,86.083,27.149,26.123,59.449,0.945,0.959,28.302,12,33,57.995,26.000,142035,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00079.png,1,542,542,34.744,255,255,85.255,27.235,25.338,137.260,0.937,0.958,28.425,9,10,129.289,26.000,138210,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01367.png,1,580,580,33.682,255,255,87.497,27.474,26.879,111.405,0.952,0.961,28.792,15,8,110.323,27.000,147900,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01373.png,1,499,499,32.807,255,255,82.669,25.482,24.933,160.416,0.918,0.949,26.627,9,11,145.713,25.000,127245,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01415.png,1,765,765,36.153,255,255,101.983,31.617,30.807,17.450,0.924,0.957,32.573,8,18,162.121,31.000,195075,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00938.png,1,689,689,35.589,255,255,96.912,30.632,28.639,118.364,0.922,0.959,32.202,11,10,126.158,29.000,175695,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01398.png,1,632,632,32.016,255,255,92.811,29.339,27.427,105.023,0.922,0.954,31.257,18,39,82.648,27.577,161160,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00086.png,1,770,770,40.698,255,255,101.983,31.460,31.164,117.612,0.930,0.958,32.757,14,8,121.264,31.000,196350,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00092.png,1,1015,1015,38.302,255,255,117.640,36.097,35.802,56.255,0.922,0.964,37.443,12,35,34.114,36.000,258825,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00904.png,1,961,961,39.321,255,255,113.983,36.450,33.568,90.272,0.930,0.967,37.643,18,43,73.009,33.000,245055,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00910.png,1,657,657,32.444,255,255,93.497,29.388,28.465,164.030,0.944,0.963,30.529,9,15,148.393,28.000,167535,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01159.png,1,592,592,32.780,255,255,89.497,27.745,27.167,164.588,0.929,0.956,28.844,13,10,123.690,27.000,150960,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00247.png,1,646,646,32.626,255,255,92.912,29.115,28.250,113.507,0.940,0.961,30.232,14,10,124.216,28.000,164730,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00521.png,1,852,852,38.569,255,255,107.154,33.358,32.520,70.693,0.932,0.964,34.713,11,35,41.496,32.000,217260,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00535.png,1,731,731,41.440,255,255,99.154,30.794,30.224,17.845,0.934,0.961,31.906,12,34,57.804,30.000,186405,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00253.png,1,541,541,30.686,255,255,86.083,27.182,25.341,35.120,0.917,0.949,28.425,13,33,50.711,25.938,137955,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01165.png,1,690,690,40.070,255,255,97.154,30.438,28.863,15.549,0.919,0.955,31.401,6,17,170.838,29.000,175950,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01603.png,1,626,626,36.353,255,255,91.497,28.607,27.862,161.103,0.940,0.959,29.682,13,8,122.619,28.000,159630,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00509.png,1,1020,1020,39.231,255,255,117.397,36.537,35.545,167.776,0.930,0.967,37.643,11,14,140.389,35.000,260100,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01617.png,1,704,704,34.783,255,255,97.154,30.009,29.870,11.453,0.937,0.960,31.064,9,31,33.179,30.000,179520,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01171.png,1,713,713,37.685,255,255,98.569,30.338,29.924,172.852,0.922,0.954,31.401,9,14,142.765,30.000,181815,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00284.png,1,596,596,34.611,255,255,89.497,28.159,26.948,137.912,0.935,0.958,29.206,12,9,128.047,27.000,151980,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00290.png,1,579,579,30.603,255,255,88.083,27.248,27.056,70.047,0.938,0.959,28.601,14,34,53.531,27.000,147645,255,NaN,NaN
