Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00321.png,1,1841,1841.000,45.660,255,255,161.924,51.207,45.776,30.459,0.882,0.959,53.310,22,57,66.801,46.063,469455.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00447.png,1,645,645.000,35.714,255,255,93.497,28.954,28.364,149.303,0.927,0.958,30.232,8,14,145.784,28.000,164475.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00453.png,1,523,523.000,33.526,255,255,84.083,26.223,25.394,124.209,0.930,0.952,27.203,12,8,126.027,26.000,133365.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00335.png,1,676,676.000,36.560,255,255,95.497,29.410,29.266,90.852,0.931,0.960,30.610,13,9,128.367,29.000,172380.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00309.png,1,712,712.000,32.364,255,255,104.326,30.732,29.499,69.241,0.822,0.912,34.986,12,41,59.036,29.000,181560.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00123.png,1,1353,1353.000,44.727,255,255,137.539,41.915,41.100,48.035,0.899,0.962,44.204,14,46,52.352,41.719,345015.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00137.png,1,1135,1135.000,39.685,255,255,124.711,38.410,37.624,127.703,0.917,0.963,39.446,16,9,120.466,38.000,289425.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00057.png,1,1179,1179.000,42.779,255,255,127.296,39.026,38.466,84.367,0.914,0.963,40.162,19,8,108.886,39.000,300645.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00043.png,1,1173,1173.000,36.771,255,255,126.711,39.472,37.837,17.611,0.918,0.963,40.447,9,22,171.469,38.000,299115.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00094.png,2,1320,660.000,36.364,255,255,96.497,30.019,27.512,114.773,0.877,0.943,31.553,25,33,101.576,27.811,168300.000,255,NaN,NaN
