Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00028.png,2,1188,594.000,31.579,255,255,92.912,28.503,26.481,68.212,0.862,0.933,31.122,26.000,42.500,66.328,26.932,151470.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00000.png,3,3689,1229.667,37.342,255,255,128.778,39.176,37.460,114.041,0.870,0.947,42.820,49.000,49.333,71.134,38.112,313565.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00014.png,1,939,939.000,36.824,255,255,112.811,35.255,33.912,118.106,0.927,0.963,36.892,15.000,10.000,122.829,34.000,239445.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00015.png,1,1233,1233.000,43.895,255,255,129.296,40.242,39.011,122.163,0.927,0.967,41.231,18.000,8.000,112.834,39.000,314415.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00001.png,1,610,610.000,36.374,255,255,93.740,29.480,26.346,157.015,0.872,0.944,32.280,6.000,19.000,163.811,26.000,155550.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00029.png,1,1832,1832.000,47.671,255,255,158.267,49.158,47.451,137.981,0.919,0.971,50.478,10.000,17.000,146.310,48.000,467160.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00017.png,1,998,998.000,40.835,255,255,116.811,35.834,35.461,172.093,0.919,0.961,37.121,10.000,30.000,27.255,35.000,254490.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00003.png,1,863,863.000,34.410,255,255,112.811,35.036,31.362,114.206,0.852,0.941,37.216,13.000,17.000,120.700,32.000,220065.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00002.png,1,881,881.000,37.457,255,255,109.740,33.811,33.176,91.218,0.919,0.964,35.511,14.000,38.000,57.653,33.000,224655.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00016.png,2,1739,869.500,40.726,255,255,95.983,30.259,27.794,80.526,0.894,0.930,31.349,26.500,29.500,78.151,28.134,221722.500,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00012.png,1,657,657.000,39.084,255,255,94.912,29.127,28.720,40.204,0.917,0.955,30.414,10.000,31.000,43.668,29.000,167535.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00006.png,2,1452,726.000,40.333,255,255,100.255,32.761,28.179,179.868,0.906,0.960,33.167,10.000,25.500,151.202,27.373,185130.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00007.png,1,2350,2350.000,46.078,255,255,192.652,60.845,49.176,114.756,0.796,0.942,65.000,16.000,8.000,112.620,52.704,599250.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00013.png,1,1712,1712.000,41.807,255,255,152.610,47.162,46.219,79.075,0.924,0.972,48.260,19.000,51.000,55.981,46.000,436560.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00005.png,2,2884,1442.000,48.244,255,255,144.660,44.054,41.667,148.123,0.868,0.955,47.132,12.500,33.000,137.100,42.067,367710.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00011.png,1,954,954.000,37.857,255,255,123.397,45.297,26.816,86.148,0.787,0.941,46.098,18.000,52.000,77.471,27.364,243270.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00039.png,1,856,856.000,37.943,255,255,112.326,34.051,32.008,24.506,0.853,0.946,37.802,9.000,32.000,37.476,32.000,218280.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00038.png,1,1169,1169.000,37.955,255,255,126.468,39.148,38.021,22.837,0.918,0.966,40.460,14.000,43.000,50.013,38.000,298095.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00010.png,1,648,648.000,35.880,255,255,93.740,28.990,28.460,148.009,0.927,0.953,30.083,18.000,6.000,105.422,28.991,165240.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00004.png,1,539,539.000,29.167,255,255,84.669,26.340,26.055,22.462,0.945,0.958,27.459,12.000,28.000,33.111,26.000,137445.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 2 R01  PP2_00063.png,1,799,799.000,39.457,255,255,104.811,31.981,31.810,56.510,0.914,0.955,33.242,7.000,29.000,21.161,32.000,203745.000,255,NaN,NaN
