Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,2107.42,2107.42,0.98,0.00,0.00,0.00,89149.96,72084.67,72776.14,1.83,1.00,1.00,488.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.05,178.15,1.00,2024-10-30 10:44:44,51.80,53.07,51.80,212.42,2.81,1.00,10.00,0.00,0.00,1.12,0.00,1.00,48.42,48.42,1,43.00,43.00,31.41,54.03,1.00,193.67,0.00,0.00,0.00,1.09,37.92,51308,0.00,0.00,0.00,0.00,0.97,26507.00,0.94,2024-10-30 10:44:44,2024-10-30 10:44:44,0.02,84F866AE96CD11EF937150EBF6EE7050,72776.14,78241.28,52.20
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,3473.65,3473.65,0.97,0.00,0.00,0.00,175281.11,151035.19,154008.05,1.83,2.00,2.00,278.00,1036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.07,224.40,1.00,2024-10-30 10:44:44,66.50,67.51,66.50,183.37,2.98,1.00,0.00,-90.00,0.00,1.13,0.00,1.00,60.66,60.66,2,50.00,52.00,32.34,68.69,1.00,242.63,0.00,0.00,0.00,1.08,37.67,51309,0.00,0.00,0.00,0.00,0.97,42297.00,0.97,2024-10-30 10:44:44,2024-10-30 10:44:44,0.01,84F86A5E96CD11EF937150EBF6EE7050,154008.05,161137.19,65.02
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,4070.24,4070.24,0.98,0.00,0.00,0.00,231363.19,193876.38,195341.18,1.83,3.00,3.00,278.00,579.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.76,1.00,1.32,248.45,0.99,2024-10-30 10:44:44,71.99,75.35,71.99,154.32,3.14,1.49,0.00,-60.00,0.11,0.90,0.00,0.67,86.77,58.27,3,56.00,57.00,35.24,77.84,1.00,290.07,0.00,0.00,0.00,1.17,51.52,51310,0.00,0.00,0.00,0.00,0.87,53107.00,0.86,2024-10-30 10:44:44,2024-10-30 10:44:44,0.04,84F86CB196CD11EF937150EBF6EE7050,195341.18,224000.09,72.35
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,2354.36,2354.36,0.97,0.00,0.00,0.00,103557.35,84492.54,85935.85,1.83,4.00,4.00,563.00,432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.06,187.61,1.00,2024-10-30 10:44:44,54.75,55.81,54.75,145.59,4.14,1.00,-80.00,0.00,0.00,1.13,0.00,1.00,50.90,50.90,4,45.00,44.00,45.29,57.70,1.00,203.59,0.00,0.00,0.00,1.09,43.63,51311,0.00,0.00,0.00,0.00,0.97,42075.00,0.96,2024-10-30 10:44:44,2024-10-30 10:44:44,0.02,84F86EEA96CD11EF937150EBF6EE7050,85935.85,91033.85,54.03
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,1469.86,1469.86,0.92,0.00,0.00,0.00,56205.52,40351.02,42391.48,1.83,5.00,5.00,298.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.95,1.00,1.05,151.39,1.00,2024-10-30 10:44:44,43.26,44.62,43.26,130.79,4.48,1.00,60.00,-50.00,0.00,1.17,0.00,1.00,41.52,41.52,5,39.00,38.00,53.65,48.54,1.00,166.07,0.00,0.00,0.00,1.10,42.22,51312,0.00,0.00,0.00,0.00,0.97,33316.00,0.91,2024-10-30 10:44:44,2024-10-30 10:44:44,0.03,84F8710496CD11EF937150EBF6EE7050,42391.48,46513.80,41.21
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,1914.14,1914.14,0.87,0.00,0.00,0.00,87070.98,58957.55,62997.61,1.83,6.00,6.00,543.00,884.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.89,0.98,1.13,174.71,1.00,2024-10-30 10:44:44,49.37,51.90,49.37,213.17,4.64,1.00,75.00,0.00,0.00,1.20,0.00,1.00,48.04,48.04,6,45.00,40.00,38.13,57.70,1.00,192.16,0.00,0.00,0.00,1.10,40.56,51313,0.00,0.00,0.00,0.00,0.94,29624.00,0.84,2024-10-30 10:44:44,2024-10-30 10:44:44,0.05,84F8730696CD11EF937150EBF6EE7050,62997.61,73178.51,46.71
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,3155.12,3155.12,0.94,0.00,0.00,0.00,163370.68,130105.89,133317.66,1.83,7.00,7.00,374.00,1048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.90,0.99,1.11,218.08,1.00,2024-10-30 10:44:44,63.38,65.63,63.38,240.79,4.64,1.00,-65.00,0.00,0.00,1.19,0.00,1.00,59.25,59.25,7,49.00,48.00,24.10,70.52,1.00,237.00,0.00,0.00,0.00,1.09,32.46,51313,0.00,0.00,0.00,0.00,0.95,28944.00,0.87,2024-10-30 10:44:44,2024-10-30 10:44:44,0.03,84F8751496CD11EF937150EBF6EE7050,133317.66,148030.82,61.36
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,2403.97,2403.97,0.97,0.00,0.00,0.00,103557.35,87213.13,88665.90,1.83,8.00,8.00,646.00,649.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.96,1.00,1.04,189.17,1.00,2024-10-30 10:44:44,55.32,56.47,55.32,151.33,4.73,1.00,10.00,-90.00,0.00,1.13,0.00,1.00,50.90,50.90,8,44.00,45.00,43.26,57.70,1.00,203.59,0.00,0.00,0.00,1.08,42.33,51314,0.00,0.00,0.00,0.00,0.98,40925.00,0.93,2024-10-30 10:44:44,2024-10-30 10:44:44,0.02,84F8771E96CD11EF937150EBF6EE7050,88665.90,94308.74,54.03
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,8269.77,8269.77,0.98,0.00,0.00,0.00,581615.00,560848.11,565723.65,1.83,9.00,9.00,258.00,737.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.08,338.16,1.00,2024-10-30 10:44:44,102.61,103.59,102.61,184.78,4.73,1.00,5.00,-90.00,0.00,1.16,0.00,1.00,90.47,90.47,9,70.00,71.00,25.18,105.32,1.00,361.89,0.00,0.00,0.00,1.07,33.30,51314,0.00,0.00,0.00,0.00,0.96,72436.00,0.97,2024-10-30 10:44:44,2024-10-30 10:44:44,0.01,84F8793796CD11EF937150EBF6EE7050,565723.65,581991.10,101.65
2024-10-30 P2002 Group 7 Rev 1 R01 PP1,3850.81,3850.81,0.99,0.00,0.00,0.00,203808.40,178676.65,179759.77,1.83,10.00,10.00,653.00,970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.08,235.51,1.00,2024-10-30 10:44:44,70.02,71.23,70.02,168.79,4.98,1.00,5.00,0.00,0.00,1.13,0.00,1.00,63.78,63.78,10,53.00,53.00,35.28,72.35,1.00,255.14,0.00,0.00,0.00,1.08,39.69,51315,0.00,0.00,0.00,0.00,0.96,50596.00,0.96,2024-10-30 10:44:44,2024-10-30 10:44:44,0.02,84F87B4F96CD11EF937150EBF6EE7050,179759.77,189220.04,70.52
