Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00131.png,1,693,693,30.800,255,255,96.326,30.487,28.942,33.969,0.939,0.962,31.623,15,38,55.305,29.000,176715,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00125.png,1,590,590,30.491,255,255,88.669,27.454,27.362,72.698,0.943,0.962,28.601,13,11,126.469,27.000,150450,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00119.png,1,846,846,41.778,255,255,108.326,33.732,31.933,40.534,0.906,0.960,36.620,8,36,34.992,32.000,215730,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00045.png,1,1364,1364,45.106,255,255,137.296,42.231,41.123,171.850,0.909,0.967,43.417,12,43,38.454,41.000,347820,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00051.png,1,1032,1032,40.566,255,255,121.296,38.250,34.353,67.816,0.881,0.951,41.110,18,46,71.565,35.654,263160,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00079.png,1,603,603,29.159,255,255,92.569,29.767,25.792,115.109,0.884,0.944,32.696,14,9,113.429,26.870,153765,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00086.png,1,749,749,38.688,255,255,101.983,31.343,30.426,15.996,0.905,0.953,32.450,12,35,56.310,30.858,190995,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00092.png,1,792,792,40.000,255,255,104.225,32.104,31.410,177.310,0.916,0.953,33.242,6,20,173.089,31.772,201960,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00093.png,1,835,835,38.657,255,255,106.569,33.206,32.017,140.480,0.924,0.960,34.670,9,13,146.768,32.000,212925,255,NaN,NaN
2024-10-30 P2328 Group 1 Rev 2 R02 PP1_00087.png,1,763,763,39.411,255,255,101.154,31.508,30.833,132.071,0.937,0.962,32.650,14,8,117.350,31.000,194565,255,NaN,NaN
