Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00032.png,1,767,767.000,39.618,255,255,102.569,31.553,30.950,5.052,0.916,0.956,33.015,12.000,35.000,54.866,31.000,195585.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00026.png,1,739,739.000,40.919,255,255,100.569,31.255,30.104,4.173,0.918,0.955,32.450,9.000,32.000,33.690,30.858,188445.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00027.png,1,979,979.000,41.624,255,255,115.640,35.697,34.919,59.799,0.920,0.961,37.014,14.000,39.000,51.582,35.000,249645.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00033.png,1,549,549.000,34.312,255,255,85.497,26.867,26.017,129.411,0.944,0.957,27.857,7.000,15.000,158.962,26.000,139995.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00019.png,1,729,729.000,36.818,255,255,99.983,31.649,29.328,91.644,0.916,0.954,32.757,18.000,7.000,102.339,30.000,185895.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00025.png,1,1065,1065.000,38.812,255,255,124.953,40.577,33.418,108.440,0.857,0.944,42.190,22.000,7.000,95.440,34.606,271575.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00031.png,1,551,551.000,33.598,255,255,85.497,26.746,26.230,93.867,0.947,0.957,27.893,17.000,7.000,104.534,26.000,140505.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00030.png,1,802,802.000,34.809,255,255,103.983,32.388,31.529,137.529,0.932,0.961,33.601,15.000,10.000,126.529,31.820,204510.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00024.png,1,502,502.000,33.005,255,255,82.083,25.727,24.844,135.446,0.936,0.953,26.926,7.000,15.000,158.199,25.000,128010.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00018.png,1,1044,1044.000,37.286,255,255,125.296,41.655,31.911,15.468,0.836,0.938,41.976,7.000,22.000,167.619,32.617,266220.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00020.png,1,643,643.000,35.604,255,255,94.326,28.989,28.242,81.938,0.908,0.952,29.967,15.000,35.000,64.290,28.622,163965.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00034.png,1,588,588.000,34.146,255,255,88.669,27.953,26.783,127.788,0.940,0.960,29.069,13.000,9.000,130.815,27.000,149940.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00008.png,1,656,656.000,31.691,255,255,93.740,29.125,28.677,120.294,0.938,0.959,30.232,15.000,10.000,124.216,28.991,167280.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00009.png,1,2150,2150.000,49.357,255,255,173.095,52.544,52.098,71.904,0.902,0.967,55.543,7.000,45.000,23.334,52.000,548250.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00035.png,1,842,842.000,36.561,255,255,108.468,34.228,31.321,91.878,0.899,0.953,35.735,20.000,8.000,107.928,32.199,214710.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00021.png,1,817,817.000,41.304,255,255,106.225,33.699,30.868,165.234,0.910,0.957,35.440,6.000,15.000,163.610,31.000,208335.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00037.png,1,706,706.000,37.315,255,255,97.154,30.321,29.647,84.035,0.940,0.961,31.385,15.000,35.000,59.349,30.000,180030.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00023.png,1,929,929.000,39.498,255,255,111.983,34.529,34.256,98.024,0.931,0.966,35.805,13.000,10.000,125.910,34.000,236895.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00022.png,1,2698,2698.000,48.665,255,255,199.137,60.980,56.333,42.234,0.855,0.956,62.817,31.000,8.000,103.815,56.760,687990.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00036.png,2,643,321.500,33.076,255,255,66.820,20.804,19.638,143.791,0.904,0.951,22.929,12.500,17.500,123.875,19.500,81982.500,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00119.png,1,828,828.000,38.298,255,255,106.225,32.600,32.339,76.854,0.922,0.957,33.615,17.000,8.000,112.751,32.527,211140.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00125.png,1,549,549.000,32.679,255,255,85.255,26.499,26.378,30.264,0.949,0.962,27.803,9.000,30.000,37.694,26.000,139995.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00131.png,1,536,536.000,33.521,255,255,86.669,26.708,25.553,21.600,0.897,0.944,29.530,7.000,27.000,28.301,26.000,136680.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00079.png,1,812,812.000,39.265,255,255,104.569,33.433,30.924,170.332,0.933,0.965,34.525,7.000,17.000,169.992,30.000,207060.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00051.png,1,556,556.000,32.288,255,255,87.497,27.036,26.185,5.288,0.913,0.946,28.018,9.000,14.000,145.176,26.833,141780.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00045.png,1,252,252.000,23.162,255,255,58.184,18.334,17.501,22.446,0.935,0.930,19.416,6.000,19.000,11.889,18.000,64260.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00092.png,1,445,445.000,27.134,255,255,77.012,24.081,23.529,148.669,0.943,0.955,25.239,11.000,12.000,146.310,23.000,113475.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00086.png,1,306,306.000,21.250,255,255,65.012,20.589,18.924,16.968,0.910,0.924,21.587,8.000,22.000,13.392,19.808,78030.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00087.png,1,691,691.000,35.005,255,255,97.983,30.394,28.947,8.670,0.904,0.947,33.242,8.000,26.000,21.161,29.000,176205.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00093.png,1,333,333.000,22.500,255,255,69.598,22.093,19.191,56.970,0.864,0.929,23.854,10.000,28.000,33.024,20.303,84915.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00044.png,1,931,931.000,41.268,255,255,112.811,34.875,33.989,139.702,0.919,0.960,36.125,10.000,12.000,138.366,34.000,237405.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00050.png,1,1353,1353.000,44.727,255,255,136.125,42.189,40.833,160.213,0.918,0.966,43.417,11.000,13.000,141.546,41.000,345015.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00078.png,1,715,715.000,33.537,255,255,107.397,36.501,24.941,93.908,0.779,0.907,38.328,20.000,7.000,97.496,27.000,182325.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00130.png,1,439,439.000,29.622,255,255,76.426,24.169,23.126,162.927,0.944,0.953,25.239,9.000,12.000,146.310,23.000,111945.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00124.png,1,539,539.000,32.083,255,255,85.740,26.669,25.733,85.262,0.921,0.951,28.862,18.000,35.000,75.964,26.000,137445.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00118.png,1,560,560.000,31.764,255,255,86.669,27.395,26.027,37.244,0.937,0.957,28.601,9.000,31.000,36.469,26.000,142800.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00132.png,1,805,805.000,38.889,255,255,110.326,32.575,31.464,54.647,0.831,0.939,36.401,11.000,39.000,52.815,31.000,205275.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00126.png,1,521,521.000,29.602,255,255,83.841,26.545,24.990,179.416,0.931,0.957,27.514,7.000,28.000,19.093,25.000,132855.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00046.png,1,1014,1014.000,41.422,255,255,118.225,36.232,35.633,94.138,0.912,0.961,37.537,12.000,40.000,48.240,36.000,258570.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00052.png,1,585,585.000,34.801,255,255,88.669,27.654,26.934,103.493,0.935,0.958,28.844,12.000,9.000,123.690,27.000,149175.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00085.png,1,771,771.000,38.093,255,255,103.640,31.957,30.718,178.312,0.902,0.954,33.956,7.000,18.000,166.373,31.000,196605.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00091.png,1,571,571.000,30.180,255,255,88.083,27.566,26.373,81.454,0.925,0.953,28.443,20.000,36.000,79.875,26.000,145605.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00090.png,1,1175,1175.000,41.830,255,255,127.296,39.117,38.245,6.181,0.911,0.963,40.262,7.000,32.000,14.381,38.908,299625.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00084.png,1,590,590.000,35.098,255,255,88.669,27.528,27.289,35.726,0.943,0.962,28.601,9.000,29.000,36.469,27.000,150450.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00053.png,1,809,809.000,41.787,255,255,105.154,33.227,31.000,137.349,0.919,0.961,34.482,14.000,7.000,119.539,31.752,206295.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00047.png,1,318,318.000,27.532,255,255,64.770,20.407,19.841,81.414,0.953,0.949,21.541,14.000,6.000,111.801,20.000,81090.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00127.png,1,568,568.000,31.486,255,255,87.497,27.106,26.681,18.871,0.932,0.955,28.160,7.000,24.000,16.504,27.000,144840.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00133.png,1,843,843.000,38.179,255,255,105.983,33.062,32.464,97.920,0.943,0.966,34.132,15.000,8.000,121.827,32.000,214965.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00123.png,1,688,688.000,35.556,255,255,96.569,30.031,29.169,165.392,0.927,0.958,31.780,7.000,19.000,167.276,29.000,175440.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00043.png,1,1067,1067.000,41.038,255,255,121.296,37.244,36.477,55.755,0.911,0.961,38.419,13.000,39.000,51.340,36.770,272085.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00057.png,1,732,732.000,36.166,255,255,99.154,31.031,30.034,37.265,0.936,0.961,32.202,9.000,33.000,36.158,30.000,186660.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00080.png,1,841,841.000,38.899,255,255,106.569,33.196,32.256,31.889,0.931,0.963,34.409,10.000,35.000,35.538,32.000,214455.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00094.png,1,479,479.000,30.705,255,255,80.083,25.244,24.159,133.557,0.939,0.952,26.249,8.000,16.000,162.255,24.749,122145.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00095.png,1,536,536.000,32.723,255,255,85.497,26.512,25.742,30.887,0.921,0.949,27.803,9.000,29.000,37.694,26.000,136680.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00081.png,1,1119,1119.000,43.882,255,255,123.296,37.836,37.656,101.344,0.925,0.964,39.000,18.000,44.000,67.380,38.000,285345.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00056.png,1,239,239.000,20.186,255,255,56.527,17.806,17.090,175.400,0.940,0.935,18.788,7.000,16.000,154.799,17.000,60945.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00042.png,1,835,835.000,39.480,255,255,107.397,33.858,31.401,5.086,0.910,0.952,35.468,7.000,30.000,21.501,31.967,212925.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00122.png,1,305,305.000,25.630,255,255,63.355,19.837,19.576,81.712,0.955,0.949,20.809,12.000,9.000,125.218,19.000,77775.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00120.png,1,673,673.000,34.925,255,255,99.983,31.953,26.817,167.438,0.846,0.945,34.928,7.000,13.000,166.759,27.000,171615.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00134.png,1,170,170.000,14.655,255,255,52.527,18.216,11.882,86.043,0.774,0.902,20.224,12.000,30.000,81.469,13.000,43350.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00108.png,1,526,526.000,28.448,255,255,84.326,26.126,25.634,95.446,0.930,0.947,27.313,16.000,9.000,113.749,26.000,134130.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00054.png,1,938,938.000,43.386,255,255,112.811,34.881,34.239,165.695,0.926,0.964,35.903,6.000,19.000,167.125,34.000,239190.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00040.png,1,640,640.000,38.073,255,255,93.740,28.817,28.277,32.414,0.915,0.952,30.083,6.000,16.000,164.578,28.844,163200.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00068.png,1,472,472.000,30.256,255,255,79.841,26.024,23.093,30.931,0.930,0.953,27.019,9.000,27.000,38.991,24.000,120360.000,255,NaN,NaN
2024-10-30 P2328 Group 2 Rev 2 R01 PP1_00097.png,1,628,628.000,29.209,255,255,96.669,30.010,26.645,140.060,0.844,0.939,33.601,13.000,13.000,126.529,27.652,160140.000,255,NaN,NaN
