Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-07-16 Roux_Virgin Ti64_R02,5798.67,5798.67,0.99,0.00,0.00,0.00,353971.71,329965.23,332166.86,1.83,1.00,1.00,704.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.07,285.36,1.00,2024-07-16 13:40:00,85.92,86.90,85.92,183.59,2.00,1.00,50.00,0.00,0.00,1.16,0.00,1.00,76.67,76.67,1,62.00,61.00,30.94,88.83,1.00,306.68,0.00,0.00,0.00,1.07,38.68,39,0.00,0.00,0.00,0.00,0.96,64223.00,0.95,2024-07-16 13:40:00,2024-07-16 13:40:00,0.01,6D444D82439A11EF9A0750EBF6EE7050,332166.86,343594.83,85.17
2024-07-16 Roux_Virgin Ti64_R02,2275.73,2275.73,0.98,0.00,0.00,0.00,98067.41,80754.64,81666.41,1.83,2.00,2.00,301.00,784.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.05,184.27,1.00,2024-07-16 13:40:00,53.83,54.80,53.83,155.81,2.00,1.00,5.00,0.00,0.00,1.12,0.00,1.00,49.98,49.98,2,44.00,44.00,43.48,55.86,1.00,199.93,0.00,0.00,0.00,1.08,43.54,39,0.00,0.00,0.00,0.00,0.98,39223.00,0.96,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D445106439A11EF9A0750EBF6EE7050,81666.41,86145.01,54.03
2024-07-16 Roux_Virgin Ti64_R02,5560.12,5560.12,0.92,0.00,0.00,0.00,334849.69,298269.35,311881.87,1.83,3.00,3.00,398.00,1823.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.93,1.00,1.08,280.71,1.00,2024-07-16 13:40:00,84.14,85.68,84.14,224.01,2.06,1.00,25.00,-90.00,0.00,1.20,0.00,1.00,75.26,75.26,3,58.00,62.00,25.04,90.66,1.00,301.06,0.00,0.00,0.00,1.07,35.86,40,0.00,0.00,0.00,0.00,0.96,50029.00,0.94,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D445393439A11EF9A0750EBF6EE7050,311881.87,329313.31,79.67
2024-07-16 Roux_Virgin Ti64_R02,2623.57,2623.57,0.85,0.00,0.00,0.00,123838.99,92266.22,101088.89,1.83,4.00,4.00,473.00,1870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.92,0.99,1.08,197.94,1.00,2024-07-16 13:40:00,57.80,59.17,57.80,114.39,2.12,1.00,-80.00,0.00,0.00,1.20,0.00,1.00,54.02,54.02,4,49.00,44.00,60.15,65.02,1.00,216.10,0.00,0.00,0.00,1.09,50.09,41,0.00,0.00,0.00,0.00,0.96,61416.00,0.93,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D445614439A11EF9A0750EBF6EE7050,101088.89,108473.13,54.03
2024-07-16 Roux_Virgin Ti64_R02,5884.41,5884.41,0.99,0.00,0.00,0.00,374469.60,339198.93,339561.14,1.83,5.00,5.00,857.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.91,1.00,1.10,289.32,1.00,2024-07-16 13:40:00,86.56,88.22,86.56,165.80,2.17,1.00,-50.00,0.00,0.00,1.16,0.00,1.00,78.12,78.12,5,62.00,62.00,32.40,90.66,1.00,312.49,0.00,0.00,0.00,1.08,38.45,42,0.00,0.00,0.00,0.00,0.95,68168.00,0.93,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D4458C7439A11EF9A0750EBF6EE7050,339561.14,359526.00,87.00
2024-07-16 Roux_Virgin Ti64_R02,5239.72,5239.72,0.86,0.00,0.00,0.00,359251.73,265241.27,285316.08,1.83,6.00,6.00,324.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.84,0.98,1.19,279.58,1.00,2024-07-16 13:40:00,81.68,85.17,81.68,185.38,2.17,1.00,-80.00,20.00,0.00,1.20,0.00,1.00,77.05,77.05,6,64.00,57.00,32.99,92.50,1.00,308.20,0.00,0.00,0.00,1.10,38.25,42,0.00,0.00,0.00,0.00,0.92,62443.00,0.83,2024-07-16 13:40:00,2024-07-16 13:40:00,0.04,6D445B61439A11EF9A0750EBF6EE7050,285316.08,323481.45,76.01
2024-07-16 Roux_Virgin Ti64_R02,2603.03,2603.03,0.88,0.00,0.00,0.00,120936.84,92974.73,99903.65,1.83,7.00,7.00,780.00,1578.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.93,0.99,1.08,197.55,1.00,2024-07-16 13:40:00,57.57,59.22,57.57,122.10,2.23,1.00,-90.00,25.00,0.00,1.18,0.00,1.00,53.60,53.60,7,49.00,45.00,50.24,63.19,1.00,214.40,0.00,0.00,0.00,1.09,44.88,43,0.00,0.00,0.00,0.00,0.96,50948.00,0.92,2024-07-16 13:40:00,2024-07-16 13:40:00,0.03,6D445DF3439A11EF9A0750EBF6EE7050,99903.65,108753.18,52.20
2024-07-16 Roux_Virgin Ti64_R02,3039.46,3039.46,0.97,0.00,0.00,0.00,149548.32,123660.50,126054.84,1.83,8.00,8.00,946.00,441.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.08,211.19,1.00,2024-07-16 13:40:00,62.21,63.39,62.21,250.80,2.30,1.00,10.00,-70.00,0.00,1.13,0.00,1.00,57.53,57.53,8,49.00,49.00,23.59,65.02,1.00,230.12,0.00,0.00,0.00,1.09,32.25,44,0.00,0.00,0.00,0.00,0.96,27411.00,0.94,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D44608C439A11EF9A0750EBF6EE7050,126054.84,133394.26,61.36
2024-07-16 Roux_Virgin Ti64_R02,550.06,550.06,0.76,0.00,0.00,0.00,18956.23,8433.79,9704.60,1.83,9.00,9.00,484.00,513.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.89,0.94,1.12,102.45,1.00,2024-07-16 13:40:00,26.46,28.70,26.46,145.11,2.30,1.00,0.00,-90.00,0.00,1.11,0.00,1.00,28.90,28.90,9,28.00,32.00,73.25,32.05,1.00,115.60,0.00,0.00,0.00,1.13,45.65,44,0.00,0.00,0.00,0.00,0.94,20657.00,0.71,2024-07-16 13:40:00,2024-07-16 13:40:00,0.08,6D44633E439A11EF9A0750EBF6EE7050,9704.60,12371.44,24.73
2024-07-16 Roux_Virgin Ti64_R02,2891.57,2891.57,1.00,0.00,0.00,0.00,137684.85,116818.22,116967.08,1.83,10.00,10.00,780.00,1154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.07,206.20,1.00,2024-07-16 13:40:00,60.68,61.87,60.68,225.07,2.30,1.00,-65.00,0.00,0.00,1.13,0.00,1.00,55.97,55.97,10,48.00,48.00,29.88,63.19,1.00,223.87,0.00,0.00,0.00,1.09,37.05,44,0.00,0.00,0.00,0.00,0.97,33225.00,0.95,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D4465D1439A11EF9A0750EBF6EE7050,116967.08,123989.17,61.36
