 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1294.222,255,0,255,255,27.791,26.687,131.882,8.0,6.667,40.0,40.0,40.895,40.295,134.18,0.935,42.687,330026.667,255,,,100,185640,1,8,10,141.34,40.0,1.015,0.985,0.962
1,1404.444,255,0,255,255,27.965,28.312,137.863,6.667,6.667,42.667,42.667,42.537,42.038,21.851,0.929,43.858,358133.333,255,,,100,201450,1,5,17,160.463,42.426,1.012,0.988,0.958
1,1468.444,255,0,255,255,28.399,28.166,142.415,6.667,6.667,44.0,42.667,43.606,42.876,136.95,0.91,46.053,374453.333,255,,,100,210630,1,5,14,157.891,42.667,1.017,0.983,0.955
1,1875.556,255,0,255,255,30.35,36.463,167.519,8.0,10.667,46.667,50.667,52.757,45.265,130.437,0.84,57.704,478266.667,255,,,100,269025,1,8,9,130.314,46.667,1.166,0.858,0.95
1,2533.333,255,0,255,255,37.96,42.183,198.336,8.0,8.0,58.667,64.0,60.339,53.457,87.053,0.809,67.052,646000.0,255,,,100,363375,1,21,54,72.646,55.454,1.129,0.886,0.927
1,1201.778,255,0,255,255,25.929,27.067,126.872,6.667,6.667,38.667,40.0,39.288,38.947,85.177,0.938,40.705,306453.333,255,,,100,172380,1,6,13,148.392,38.667,1.009,0.991,0.958
1,1596.444,255,0,255,255,30.358,35.069,151.519,8.0,8.0,42.667,50.667,50.516,40.238,76.62,0.874,53.133,407093.333,255,,,100,228990,1,17,44,72.474,42.667,1.255,0.797,0.947
1,1847.111,255,0,255,255,36.685,30.634,173.5,8.0,8.0,53.333,48.0,52.719,44.61,152.288,0.771,58.803,471013.333,255,,,100,264945,1,6,11,147.031,47.852,1.182,0.846,0.921
1,2186.667,255,0,255,255,33.455,33.45,176.49,6.667,6.667,53.333,56.0,53.977,51.581,72.817,0.882,56.96,557600.0,255,,,100,313650,1,18,6,106.314,51.854,1.046,0.956,0.952
1,1383.111,255,0,255,255,28.308,27.071,137.539,6.667,6.667,42.667,41.333,42.343,41.59,3.316,0.919,44.562,352693.333,255,,,100,198390,1,11,33,51.072,41.333,1.018,0.982,0.958
1,3644.444,255,0,255,255,40.772,41.37,229.555,6.667,6.667,70.667,69.333,69.157,67.097,98.324,0.869,72.835,929333.333,255,,,100,522750,1,22,56,66.251,67.38,1.031,0.97,0.958
1,2426.667,255,0,255,255,36.207,34.156,220.774,6.667,6.667,58.667,61.333,56.583,54.605,161.04,0.626,70.453,618800.0,255,,,100,348075,1,17,51,60.524,57.325,1.036,0.965,0.864
1,1749.333,255,0,255,255,31.092,31.526,153.863,8.0,8.0,46.667,46.667,47.776,46.62,133.167,0.929,49.603,446080.0,255,,,100,250920,1,8,13,143.746,46.667,1.025,0.976,0.967
1,1368.889,255,0,255,255,29.609,33.908,144.624,6.667,8.0,42.667,48.0,44.965,38.762,79.012,0.822,49.333,349066.667,255,,,100,196350,1,16,41,71.075,41.229,1.16,0.862,0.925
1,1484.444,255,0,255,255,29.075,29.43,142.091,6.667,8.0,44.0,42.667,44.036,42.92,143.343,0.924,45.607,378533.333,255,,,100,212925,1,12,8,127.875,42.667,1.026,0.975,0.959
1,1308.444,255,0,255,255,27.254,27.716,134.091,6.667,6.667,41.333,41.333,40.964,40.669,91.613,0.914,42.521,333653.333,255,,,100,187680,1,10,33,48.814,41.333,1.007,0.993,0.955
1,5283.556,255,0,255,255,45.325,60.623,299.591,6.667,8.0,77.333,102.667,91.671,73.384,88.21,0.74,104.12,1347306.667,255,,,100,757860,1,23,83,80.417,77.333,1.249,0.801,0.923
1,2097.778,255,0,255,255,33.124,34.327,169.729,6.667,8.0,52.0,52.0,51.919,51.445,95.843,0.915,53.283,534933.333,255,,,100,300900,1,14,9,121.701,52.0,1.009,0.991,0.963
1,1534.222,255,0,255,255,28.985,29.833,143.196,6.667,8.0,44.0,44.0,44.773,43.629,106.952,0.94,46.38,391226.667,255,,,100,220065,1,16,6,108.435,44.0,1.026,0.974,0.965
1,1518.222,255,0,255,255,29.183,29.004,144.301,6.667,6.667,44.0,45.333,44.448,43.491,76.696,0.916,46.284,387146.667,255,,,100,217770,1,18,5,101.634,44.0,1.022,0.978,0.956
1,1831.111,255,0,255,255,32.383,30.338,157.634,8.0,6.667,49.333,46.667,49.594,47.011,166.884,0.926,51.103,466933.333,255,,,100,262650,1,6,17,164.876,46.667,1.055,0.948,0.964
1,2263.111,255,0,255,255,31.53,35.72,192.49,6.667,8.0,50.667,60.0,57.587,50.037,79.775,0.768,61.767,577093.333,255,,,100,324615,1,18,6,103.736,50.667,1.151,0.869,0.92
1,5667.556,255,0,255,255,49.296,51.574,280.088,8.0,8.0,82.667,86.667,87.031,82.915,80.919,0.908,88.172,1445226.667,255,,,100,812940,1,26,70,69.647,82.667,1.05,0.953,0.976
1,1283.556,255,0,255,255,26.849,26.796,131.101,6.667,6.667,40.0,40.0,40.644,40.21,58.432,0.938,42.164,327306.667,255,,,100,184110,1,7,29,34.695,40.0,1.011,0.989,0.964
1,1852.444,255,0,255,255,32.123,32.032,162.186,8.0,8.0,48.0,49.333,49.763,47.397,130.688,0.885,53.748,472373.333,255,,,100,265710,1,18,6,113.385,48.0,1.05,0.952,0.958
1,3112.889,255,0,255,255,39.196,38.503,209.595,8.0,8.0,62.667,62.667,63.684,62.237,172.156,0.89,68.638,793786.667,255,,,100,446505,1,6,15,150.945,62.514,1.023,0.977,0.966
1,1911.111,255,0,255,255,33.949,30.848,174.928,6.667,8.0,61.333,45.333,57.447,42.357,171.891,0.785,61.853,487333.333,255,,,100,274125,1,5,20,172.569,45.333,1.356,0.737,0.924
1,2234.667,255,0,255,255,33.849,35.033,174.738,8.0,8.0,52.0,53.333,53.559,53.124,71.756,0.92,56.725,569840.0,255,,,100,320535,1,6,37,29.578,52.0,1.008,0.992,0.968
1,1320.889,255,0,255,255,27.278,28.591,133.31,6.667,8.0,41.333,41.333,41.342,40.68,75.065,0.934,42.687,336826.667,255,,,100,189465,1,17,37,75.53,41.333,1.016,0.984,0.959
1,1694.222,255,0,255,255,30.404,30.963,153.405,8.0,8.0,45.333,48.0,47.646,45.274,66.676,0.905,50.772,432026.667,255,,,100,243015,1,16,42,66.801,45.333,1.052,0.95,0.96
1,1617.778,255,0,255,255,30.806,30.413,146.967,8.0,8.0,45.333,45.333,45.807,44.967,45.153,0.941,47.347,412533.333,255,,,100,232050,1,14,38,57.653,45.255,1.019,0.982,0.966
1,2248.889,255,0,255,255,31.814,44.136,191.385,8.0,9.333,49.333,62.667,60.534,47.302,109.048,0.772,68.144,573466.667,255,,,100,322575,1,13,8,120.579,49.333,1.28,0.781,0.93
1,1331.556,255,0,255,255,28.044,27.618,133.768,8.0,6.667,40.0,41.333,41.541,40.812,80.062,0.935,42.937,339546.667,255,,,100,190995,1,8,30,36.158,40.0,1.018,0.982,0.963
1,1272.889,255,0,255,255,26.33,29.227,129.997,6.667,9.333,38.667,40.0,41.021,39.509,82.095,0.947,42.604,324586.667,255,,,100,182580,1,14,7,110.136,38.667,1.038,0.963,0.966
1,1811.556,255,0,255,255,35.878,29.27,171.938,6.667,6.667,54.667,46.667,51.683,44.629,159.51,0.77,55.313,461946.667,255,,,100,259845,1,5,17,164.624,46.51,1.158,0.864,0.923
1,1882.667,255,0,255,255,30.53,33.432,161.729,6.667,8.0,49.333,50.667,50.025,47.918,80.49,0.905,51.294,480080.0,255,,,100,270045,1,19,44,81.027,48.689,1.044,0.958,0.959
1,3249.778,255,0,255,255,41.582,38.577,224.546,8.0,6.667,74.667,62.667,68.196,60.675,0.063,0.81,75.848,828693.333,255,,,100,466140,1,6,21,169.875,62.667,1.124,0.89,0.943
1,3057.778,255,0,255,255,40.098,39.226,207.899,8.0,8.0,64.0,62.667,62.958,61.839,20.462,0.889,66.359,779733.333,255,,,100,438600,1,6,39,22.443,62.667,1.018,0.982,0.965
1,1742.222,255,0,255,255,30.629,30.571,153.082,6.667,8.0,48.0,45.333,48.269,45.956,171.18,0.934,49.477,444266.667,255,,,100,249900,1,5,18,165.964,45.333,1.05,0.952,0.967
1,1223.111,255,0,255,255,27.016,27.692,130.32,6.667,8.0,40.0,40.0,39.909,39.022,135.5,0.905,42.937,311893.333,255,,,100,175440,1,13,7,115.769,39.461,1.023,0.978,0.949
1,5994.667,255,0,255,255,45.365,70.462,336.278,8.0,6.667,76.0,113.333,109.093,69.964,88.632,0.666,114.115,1528640.0,255,,,100,859860,1,31,5,96.71,76.0,1.559,0.641,0.918
1,2067.556,255,0,255,255,32.175,33.39,166.738,6.667,8.0,50.667,50.667,51.935,50.688,45.919,0.935,53.632,527226.667,255,,,100,296565,1,8,37,34.875,50.667,1.025,0.976,0.97
1,1198.222,255,0,255,255,26.079,25.925,128.111,6.667,6.667,38.667,38.667,39.644,38.483,132.386,0.917,42.541,305546.667,255,,,100,171870,1,10,6,122.196,38.667,1.03,0.971,0.955
1,1301.333,255,0,255,255,28.179,27.206,132.206,8.0,6.667,40.0,41.333,41.201,40.215,73.42,0.936,42.541,331840.0,255,,,100,186660,1,13,34,57.804,40.0,1.025,0.976,0.962
1,1349.333,255,0,255,255,27.662,27.644,134.872,6.667,6.667,41.333,41.333,41.584,41.314,111.551,0.932,43.081,344080.0,255,,,100,193545,1,6,28,21.801,41.333,1.007,0.994,0.962
1,1216.0,255,0,255,255,26.374,27.922,127.653,6.667,8.0,38.667,40.0,40.076,38.633,103.931,0.938,41.398,310080.0,255,,,100,174420,1,16,6,104.931,38.667,1.037,0.964,0.96
