 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3883.145,255,0,255,255,330.610,41.253,249.133,295.690,5.517,69.483,75.517,71.154,69.486,76.156,0.786,76.287,990201.992,255,NaN,NaN,100,33310395,1,1885,470,72.507,69.483,1.024,0.977,0.972
2,2974.673,255,0,255,255,63.739,38.961,215.085,32.931,7.759,61.207,62.586,62.922,60.193,55.213,0.808,64.884,758541.617,255,NaN,NaN,100,25517340,1,309,408,71.084,60.582,1.045,0.957,0.986
3,2676.546,255,0,255,255,374.363,87.854,204.760,344.655,57.931,58.448,59.483,58.763,57.994,73.637,0.802,60.454,682519.174,255,NaN,NaN,100,22959945,1,2009,446,152.850,58.296,1.013,0.987,0.985
4,1475.981,255,0,255,255,33.250,81.306,151.185,11.552,58.966,43.966,44.310,43.813,42.894,126.860,0.811,44.676,376375.149,255,NaN,NaN,100,12661260,1,93,393,144.899,42.222,1.021,0.979,0.980
5,1675.713,255,0,255,255,269.680,87.276,158.939,246.724,61.724,46.034,48.276,46.538,45.846,68.316,0.834,49.101,427306.926,255,NaN,NaN,100,14374605,1,1521,638,79.479,46.032,1.015,0.985,0.983
6,2570.719,255,0,255,255,81.437,99.782,205.886,52.759,71.034,57.759,59.138,58.061,56.374,44.565,0.762,61.397,655533.442,255,NaN,NaN,100,22052145,1,405,755,66.675,56.886,1.030,0.971,0.972
7,2649.465,255,0,255,255,323.036,120.394,208.814,293.276,90.862,58.621,58.276,58.513,57.652,122.810,0.764,60.588,675613.555,255,NaN,NaN,100,22727640,1,1810,541,114.012,58.185,1.015,0.985,0.978
8,2669.530,255,0,255,255,268.854,140.336,205.669,239.828,110.000,58.448,60.517,60.000,56.649,116.858,0.793,61.342,680730.232,255,NaN,NaN,100,22899765,1,1530,986,77.995,56.906,1.059,0.944,0.979
9,5343.133,255,0,255,255,125.160,153.753,291.509,84.310,110.517,86.034,85.000,83.377,81.594,54.662,0.790,87.787,1362498.960,255,NaN,NaN,100,45834465,1,561,1083,44.204,81.115,1.022,0.979,0.969
10,66.974,255,0,255,255,387.551,135.072,34.317,382.759,130.517,10.000,9.483,10.345,8.243,24.919,0.715,10.534,17078.329,255,NaN,NaN,100,574515,1,2221,797,21.105,8.399,1.255,0.797,0.943
11,191.885,255,0,255,255,232.987,139.454,54.369,225.172,131.552,14.655,15.690,16.290,14.998,131.301,0.816,18.124,48930.589,255,NaN,NaN,100,1646025,1,1321,773,129.596,14.655,1.086,0.921,0.963
12,1700.624,255,0,255,255,400.493,162.873,167.825,378.103,136.724,45.862,50.000,48.410,44.729,112.890,0.759,51.524,433659.185,255,NaN,NaN,100,14588295,1,2277,793,108.132,45.169,1.082,0.924,0.971
13,4233.710,255,0,255,255,222.627,186.124,265.249,190.000,145.517,65.172,86.897,85.559,63.004,83.727,0.756,88.242,1079596.017,255,NaN,NaN,100,36317610,1,1253,1346,74.008,64.906,1.358,0.736,0.967
14,2397.265,255,0,255,255,335.234,175.174,190.263,307.414,148.276,55.517,54.828,55.464,55.032,153.027,0.832,57.698,611302.616,255,NaN,NaN,100,20564220,1,1857,866,118.173,54.798,1.008,0.992,0.986
15,853.032,255,0,255,255,44.839,201.266,116.214,28.966,184.310,32.069,33.966,34.769,31.238,82.449,0.794,35.547,217523.187,255,NaN,NaN,100,7317480,1,216,1081,121.917,31.009,1.113,0.898,0.969
16,3207.729,255,0,255,255,88.841,216.553,222.824,56.207,184.310,65.345,64.138,65.282,62.563,153.611,0.812,67.504,817970.868,255,NaN,NaN,100,27516540,1,353,1132,144.564,62.300,1.043,0.958,0.982
17,1869.501,255,0,255,255,297.898,215.828,176.522,272.069,191.034,51.207,49.138,50.280,47.341,149.485,0.754,55.143,476722.652,255,NaN,NaN,100,16036950,1,1578,1205,154.637,47.724,1.062,0.942,0.967
18,2899.911,255,0,255,255,372.819,238.489,221.341,342.759,205.172,60.172,68.966,62.323,59.245,96.334,0.744,69.662,739477.259,255,NaN,NaN,100,24876015,1,2130,1190,98.110,60.141,1.052,0.951,0.966
19,96.136,255,0,255,255,267.399,212.166,40.785,261.379,206.379,10.517,12.759,12.129,10.091,124.478,0.726,13.516,24514.566,255,NaN,NaN,100,824670,1,1540,1199,113.295,10.517,1.202,0.832,0.962
20,3208.323,255,0,255,255,252.047,247.213,231.466,218.621,213.966,65.345,65.345,64.729,63.108,28.640,0.753,66.958,818122.473,255,NaN,NaN,100,27521640,1,1278,1348,151.719,62.729,1.026,0.975,0.971
21,2977.646,255,0,255,255,189.641,253.058,222.486,158.621,222.241,61.552,62.414,62.644,60.521,62.779,0.756,65.587,759299.643,255,NaN,NaN,100,25542840,1,950,1577,37.201,60.810,1.035,0.966,0.976
22,76.338,255,0,255,255,325.716,228.403,37.169,321.552,222.586,8.276,11.897,12.324,7.887,79.791,0.694,12.540,19466.112,255,NaN,NaN,100,654840,1,1875,1360,71.565,7.822,1.563,0.640,0.933
23,2314.417,255,0,255,255,320.334,269.988,202.507,291.207,243.103,56.379,53.103,56.259,52.380,159.807,0.709,60.629,590176.427,255,NaN,NaN,100,19853535,1,1746,1441,130.849,52.854,1.074,0.931,0.961
