 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,29.013,255,0,255,255,171.232,4.404,19.172,168.276,1.379,6.207,6.207,6.244,5.916,143.962,0.992,6.792,7398.335,255,NaN,NaN,100,15555,1,246,2,113.962,6.207,1.055,0.947,0.910
2,3598.573,255,0,255,255,1652.466,40.509,238.614,1620.000,2.759,64.828,73.793,70.679,64.826,96.478,0.794,75.337,917636.147,255,NaN,NaN,100,1929330,1,2378,4,101.619,64.828,1.090,0.917,0.961
3,1891.558,255,0,255,255,34.306,30.218,175.749,9.655,5.517,49.655,49.655,49.385,48.768,9.139,0.770,52.132,482347.206,255,NaN,NaN,100,1014135,1,27,13,117.582,49.655,1.013,0.988,0.957
4,2223.068,255,0,255,255,987.058,31.909,203.768,960.690,5.517,53.793,53.103,53.790,52.621,22.147,0.673,55.211,566882.283,255,NaN,NaN,100,1191870,1,1395,30,154.075,53.103,1.022,0.978,0.965
5,251.130,255,0,255,255,1618.574,16.027,59.939,1609.655,7.586,19.310,17.931,19.532,16.370,45.857,0.878,20.283,64038.050,255,NaN,NaN,100,134640,1,2336,32,35.311,16.880,1.193,0.838,0.930
6,2165.517,255,0,255,255,287.654,37.046,179.315,262.069,10.345,51.724,53.793,53.220,51.808,97.774,0.846,55.709,552206.897,255,NaN,NaN,100,1161015,1,402,92,68.199,51.724,1.027,0.973,0.969
7,2050.892,255,0,255,255,1178.932,37.190,202.654,1149.655,11.724,57.931,55.172,55.511,47.041,15.996,0.628,58.847,522977.408,255,NaN,NaN,100,1099560,1,1667,60,10.125,50.178,1.180,0.847,0.929
8,1771.700,255,0,255,255,933.714,36.959,165.020,910.345,13.103,47.586,47.586,47.869,47.124,12.362,0.818,51.174,451783.591,255,NaN,NaN,100,949875,1,1328,82,52.667,47.052,1.016,0.984,0.963
9,1879.191,255,0,255,255,354.130,42.516,165.118,329.655,17.241,48.966,49.655,49.494,48.342,69.682,0.866,50.717,479193.817,255,NaN,NaN,100,1007505,1,498,95,67.620,48.836,1.024,0.977,0.970
10,2994.055,255,0,255,255,816.952,49.741,249.412,784.138,17.931,63.448,62.759,63.522,60.013,56.580,0.605,65.084,763483.948,255,NaN,NaN,100,1605225,1,1137,81,15.362,61.535,1.058,0.945,0.955
11,1815.458,255,0,255,255,1084.426,55.123,164.212,1060.000,31.034,48.966,48.276,48.524,47.636,5.416,0.846,49.732,462941.736,255,NaN,NaN,100,973335,1,1538,90,19.440,48.276,1.019,0.982,0.968
12,2801.427,255,0,255,255,1328.761,65.640,242.919,1298.621,35.172,60.690,60.690,60.252,59.200,124.511,0.597,64.297,714363.853,255,NaN,NaN,100,1501950,1,1889,72,144.605,59.870,1.018,0.983,0.947
13,2784.304,255,0,255,255,157.583,68.340,224.653,128.276,38.621,60.000,60.000,59.962,59.123,34.218,0.693,63.396,709997.622,255,NaN,NaN,100,1492770,1,210,142,67.620,59.982,1.014,0.986,0.965
14,4505.589,255,0,255,255,750.744,76.466,263.303,712.414,38.621,76.552,75.862,76.769,74.726,24.847,0.817,80.027,1148925.089,255,NaN,NaN,100,2415615,1,1054,155,51.649,75.587,1.027,0.973,0.970
15,2603.092,255,0,255,255,1269.854,68.975,200.270,1241.379,40.000,57.241,58.621,58.694,56.468,129.406,0.816,61.395,663788.347,255,NaN,NaN,100,1395615,1,1813,67,128.157,57.036,1.039,0.962,0.959
16,2221.641,255,0,255,255,1143.662,69.015,178.369,1117.241,40.690,55.172,55.172,56.469,50.093,133.906,0.877,56.543,566518.430,255,NaN,NaN,100,1191105,1,1640,63,120.005,49.254,1.127,0.887,0.973
17,3791.677,255,0,255,255,236.311,84.129,251.195,201.379,43.448,71.034,75.862,70.098,68.871,137.549,0.755,75.940,966877.527,255,NaN,NaN,100,2032860,1,336,173,87.397,68.790,1.018,0.982,0.957
18,2334.839,255,0,255,255,557.000,72.173,189.807,529.655,44.138,55.172,55.172,56.121,52.972,28.515,0.814,57.705,595384.067,255,NaN,NaN,100,1251795,1,770,122,24.727,54.243,1.059,0.944,0.963
19,2109.394,255,0,255,255,1205.142,74.538,184.388,1177.931,45.517,55.862,54.483,53.991,49.744,34.153,0.780,56.472,537895.363,255,NaN,NaN,100,1130925,1,1708,96,171.573,49.144,1.085,0.921,0.964
20,2193.103,255,0,255,255,1420.002,80.143,189.068,1392.414,53.103,53.793,53.793,53.198,52.490,83.297,0.771,56.049,559241.379,255,NaN,NaN,100,1175805,1,2039,82,124.472,52.891,1.013,0.987,0.962
21,8403.329,255,0,255,255,909.389,108.916,382.610,857.241,57.241,103.448,114.483,104.991,101.909,81.047,0.721,116.266,2142848.989,255,NaN,NaN,100,4505340,1,1307,249,72.747,103.396,1.030,0.971,0.958
22,431.391,255,0,255,255,280.019,76.811,82.579,269.655,64.138,21.379,26.207,27.228,20.173,97.274,0.795,27.801,110004.756,255,NaN,NaN,100,231285,1,392,95,119.745,20.405,1.350,0.741,0.937
23,1753.627,255,0,255,255,379.889,92.897,166.497,355.862,68.966,48.276,47.586,47.779,46.732,177.410,0.795,48.922,447174.792,255,NaN,NaN,100,940185,1,518,148,21.501,47.303,1.022,0.978,0.967
24,1903.924,255,0,255,255,436.878,94.801,172.990,412.414,69.655,49.655,49.655,50.192,48.297,39.283,0.799,54.757,485500.595,255,NaN,NaN,100,1020765,1,602,166,40.914,49.254,1.039,0.962,0.956
25,390.488,255,0,255,255,1384.735,93.127,76.589,1373.793,80.690,22.759,24.138,23.337,21.305,88.930,0.837,24.990,99574.316,255,NaN,NaN,100,209355,1,2001,151,62.021,21.809,1.095,0.913,0.929
26,4701.546,255,0,255,255,819.515,119.736,259.234,780.690,81.379,77.931,77.931,77.977,76.769,51.788,0.879,79.427,1198894.174,255,NaN,NaN,100,2520675,1,1135,195,20.323,77.225,1.016,0.985,0.981
27,3791.677,255,0,255,255,1550.678,117.557,249.914,1515.862,82.759,71.034,69.655,69.967,68.999,173.812,0.763,73.535,966877.527,255,NaN,NaN,100,2032860,1,2201,150,159.696,69.547,1.014,0.986,0.968
28,2887.515,255,0,255,255,997.785,118.215,204.408,967.586,87.586,60.690,60.690,61.016,60.255,149.733,0.868,62.428,736316.290,255,NaN,NaN,100,1548105,1,1433,128,106.032,60.690,1.013,0.988,0.977
29,5282.283,255,0,255,255,298.746,129.543,302.956,257.241,88.966,83.448,81.379,82.990,81.041,160.451,0.723,84.603,1346982.164,255,NaN,NaN,100,2832030,1,386,148,139.297,81.379,1.024,0.977,0.971
30,108.918,255,0,255,255,577.077,95.894,54.520,569.655,88.966,17.241,15.172,18.492,7.499,37.648,0.460,19.174,27774.078,255,NaN,NaN,100,58395,1,829,151,37.694,8.440,2.466,0.406,0.787
31,3209.988,255,0,255,255,601.132,132.065,257.716,568.276,93.793,65.517,71.034,68.557,59.616,128.068,0.607,74.285,818546.968,255,NaN,NaN,100,1720995,1,833,149,138.764,62.301,1.150,0.870,0.919
32,2948.870,255,0,255,255,1245.667,124.579,220.487,1215.862,93.793,60.000,61.379,63.364,59.255,48.659,0.762,71.305,751961.950,255,NaN,NaN,100,1581000,1,1770,224,41.864,60.000,1.069,0.935,0.954
33,246.373,255,0,255,255,1282.439,102.775,65.791,1272.414,94.483,21.379,18.621,21.513,14.582,29.740,0.715,23.428,62825.208,255,NaN,NaN,100,132090,1,1850,161,42.614,16.580,1.475,0.678,0.904
34,2770.987,255,0,255,255,1138.717,125.846,199.295,1108.966,95.172,59.310,60.000,59.738,59.061,128.988,0.877,61.053,706601.665,255,NaN,NaN,100,1485630,1,1641,225,76.278,59.310,1.011,0.989,0.976
35,2399.049,255,0,255,255,1310.061,124.252,190.211,1282.069,96.552,57.241,55.172,56.056,54.491,169.172,0.833,58.552,611757.432,255,NaN,NaN,100,1286220,1,1860,191,15.018,55.008,1.029,0.972,0.965
36,261.593,255,0,255,255,1438.466,110.782,66.264,1426.897,101.379,20.690,17.931,19.553,17.034,9.529,0.749,22.037,66706.302,255,NaN,NaN,100,140250,1,2069,154,159.864,17.541,1.148,0.871,0.909
37,2529.370,255,0,255,255,1079.969,145.432,197.038,1051.034,116.552,57.241,57.931,56.960,56.540,146.627,0.819,58.682,644989.298,255,NaN,NaN,100,1356090,1,1543,247,60.422,57.050,1.007,0.993,0.971
38,4464.685,255,0,255,255,389.430,158.717,294.178,351.034,117.241,75.862,80.690,77.369,73.474,77.394,0.648,81.694,1138494.649,255,NaN,NaN,100,2393685,1,538,286,78.311,74.376,1.053,0.950,0.960
39,1834.007,255,0,255,255,473.582,146.463,170.231,449.655,122.069,48.276,48.276,48.735,47.915,156.215,0.795,50.350,467671.819,255,NaN,NaN,100,983280,1,657,192,143.915,48.276,1.017,0.983,0.970
40,2957.432,255,0,255,255,663.481,155.057,245.302,630.345,122.759,64.138,63.448,62.337,60.406,145.854,0.618,65.080,754145.065,255,NaN,NaN,100,1585590,1,914,221,170.238,61.707,1.032,0.969,0.954
41,2014.269,255,0,255,255,1407.805,148.960,188.024,1382.069,122.759,51.724,51.724,51.194,50.096,12.741,0.716,53.651,513638.526,255,NaN,NaN,100,1079925,1,2005,204,162.031,50.759,1.022,0.979,0.962
42,3658.502,255,0,255,255,1185.506,167.030,255.667,1151.724,124.828,67.586,76.552,72.835,63.955,74.196,0.703,83.048,932917.955,255,NaN,NaN,100,1961460,1,1679,291,65.989,66.049,1.139,0.878,0.927
43,4429.489,255,0,255,255,1489.443,165.134,281.360,1450.345,128.966,77.931,74.483,76.608,73.619,177.026,0.703,78.381,1129519.620,255,NaN,NaN,100,2374815,1,2107,262,21.146,74.414,1.041,0.961,0.970
44,2011.415,255,0,255,255,225.887,160.187,178.201,200.000,135.172,55.862,49.655,53.101,48.229,3.254,0.796,56.941,512910.820,255,NaN,NaN,100,1078395,1,290,224,168.826,49.532,1.101,0.908,0.958
45,2733.888,255,0,255,255,104.062,165.602,221.560,74.483,135.862,60.000,59.310,61.082,56.988,26.216,0.700,63.046,697141.498,255,NaN,NaN,100,1465740,1,108,256,19.822,58.032,1.072,0.933,0.968
46,2145.065,255,0,255,255,1614.245,162.005,182.005,1587.586,135.862,53.103,52.414,52.842,51.685,10.051,0.814,53.784,546991.677,255,NaN,NaN,100,1150050,1,2312,261,40.840,52.414,1.022,0.978,0.971
47,3307.491,255,0,255,255,1287.611,181.657,220.083,1255.172,148.966,64.828,65.517,65.152,64.637,20.340,0.858,68.147,843410.226,255,NaN,NaN,100,1773270,1,1824,291,35.942,64.828,1.008,0.992,0.974
48,1939.596,255,0,255,255,1344.299,182.023,189.236,1320.690,152.414,48.966,55.172,51.730,47.740,115.202,0.681,58.144,494596.908,255,NaN,NaN,100,1039890,1,1930,221,112.306,48.966,1.084,0.923,0.934
