 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,840,255,0,255,255,1039.232,137.425,113.983,1023,120,32,34,34.104,31.360,88.358,0.812,37.202,214200,255,NaN,NaN,100,214200,1,1030,123,126.254,31.729,1.087,0.920,0.936
2,253,255,0,255,255,1043.239,160.354,63.456,1033,154,21,15,21.703,14.843,3.072,0.790,22.136,64515,255,NaN,NaN,100,64515,1,1033,155,161.565,15.000,1.462,0.684,0.930
3,28034,255,0,255,255,1341.773,255.058,633.068,1246,163,199,186,192.495,185.428,172.729,0.879,200.002,7148670,255,NaN,NaN,100,7148670,1,1246,239,174.261,185.588,1.038,0.963,0.987
4,29651,255,0,255,255,2062.686,280.946,649.411,1968,183,191,200,206.637,182.701,53.657,0.884,209.418,7561005,255,NaN,NaN,100,7561005,1,2013,373,61.477,183.848,1.131,0.884,0.989
5,404,255,0,255,255,360.450,221.525,73.841,349,210,23,23,23.086,22.281,84.865,0.931,24.042,103020,255,NaN,NaN,100,103020,1,357,210,106.928,23.000,1.036,0.965,0.946
6,2163,255,0,255,255,1693.796,595.614,172.752,1667,569,53,53,52.627,52.331,161.587,0.911,53.852,551565,255,NaN,NaN,100,551565,1,1684,571,111.801,52.951,1.006,0.994,0.971
7,1764,255,0,255,255,822.549,604.449,157.095,800,579,45,51,49.737,45.158,92.111,0.898,51.352,449820,255,NaN,NaN,100,449820,1,820,630,83.290,45.000,1.101,0.908,0.968
8,1271,255,0,255,255,1327.181,759.168,131.882,1308,739,39,41,41.548,38.950,83.406,0.918,42.720,324105,255,NaN,NaN,100,324105,1,1322,780,73.686,39.000,1.067,0.937,0.967
9,16272,255,0,255,255,1201.104,841.568,491.345,1127,772,149,139,151.881,136.411,153.455,0.847,155.425,4149360,255,NaN,NaN,100,4149360,1,1137,797,144.162,137.961,1.113,0.898,0.975
10,1189,255,0,255,255,732.312,1028.587,127.054,713,1009,38,39,39.517,38.309,95.491,0.926,40.608,303195,255,NaN,NaN,100,303195,1,720,1013,127.999,38.000,1.032,0.969,0.968
11,3687,255,0,255,255,1233.655,1257.859,228.108,1199,1224,70,68,69.735,67.319,162.176,0.890,72.125,940185,255,NaN,NaN,100,940185,1,1199,1248,163.072,67.673,1.036,0.965,0.975
12,1112,255,0,255,255,532.562,1320.297,121.882,514,1302,38,37,38.329,36.939,15.150,0.941,39.560,283560,255,NaN,NaN,100,283560,1,514,1326,16.144,37.000,1.038,0.964,0.969
13,2353,255,0,255,255,1387.691,1371.184,179.338,1360,1344,55,54,55.340,54.137,160.135,0.919,56.613,600015,255,NaN,NaN,100,600015,1,1372,1348,125.655,54.000,1.022,0.978,0.975
14,239,255,0,255,255,385.215,1376.061,57.355,376,1367,18,18,18.619,16.344,137.830,0.913,19.849,60945,255,NaN,NaN,100,60945,1,378,1369,139.086,16.971,1.139,0.878,0.928
15,270,255,0,255,255,1327.237,1424.463,64.184,1317,1414,20,20,23.025,14.931,45.766,0.824,24.759,68850,255,NaN,NaN,100,68850,1,1320,1434,46.637,16.263,1.542,0.648,0.912
16,246,255,0,255,255,1534.171,1453.972,58.527,1525,1445,19,17,19.294,16.234,26.357,0.902,20.125,62730,255,NaN,NaN,100,62730,1,1525,1458,26.565,17.000,1.189,0.841,0.930
17,286,255,0,255,255,767.395,1509.315,62.770,758,1499,19,20,19.743,18.445,62.352,0.912,20.809,72930,255,NaN,NaN,100,72930,1,762,1518,54.782,18.783,1.070,0.934,0.933
18,1600,255,0,255,255,1728.285,1596.803,148.711,1706,1575,44,45,46.299,44.001,59.289,0.909,48.415,408000,255,NaN,NaN,100,408000,1,1714,1616,51.710,44.000,1.052,0.950,0.970
19,1061,255,0,255,255,1375.098,1622.308,120.225,1357,1604,36,37,37.502,36.022,91.841,0.922,38.601,270555,255,NaN,NaN,100,270555,1,1364,1638,53.427,36.000,1.041,0.961,0.966
20,2677,255,0,255,255,701.636,1698.978,192.409,671,1671,61,56,61.156,55.734,164.652,0.909,62.362,682635,255,NaN,NaN,100,682635,1,672,1689,164.181,56.000,1.097,0.911,0.974
21,2319,255,0,255,255,1458.885,1716.941,188.409,1430,1690,57,53,56.395,52.356,27.634,0.821,62.682,591345,255,NaN,NaN,100,591345,1,1430,1734,33.944,53.000,1.077,0.928,0.948
22,375,255,0,255,255,2295.836,1767.863,78.669,2284,1757,25,24,29.152,16.378,37.411,0.761,29.411,95625,255,NaN,NaN,100,95625,1,2284,1776,35.311,17.960,1.780,0.562,0.897
23,867,255,0,255,255,415.582,1917.235,108.811,399,1900,33,34,33.681,32.776,52.620,0.920,34.828,221085,255,NaN,NaN,100,221085,1,405,1931,50.826,33.000,1.028,0.973,0.960
24,844,255,0,255,255,1776.589,1993.161,106.811,1761,1976,31,35,35.027,30.679,105.019,0.930,36.401,215220,255,NaN,NaN,100,215220,1,1771,1976,105.945,31.000,1.142,0.876,0.963
25,959,255,0,255,255,2328.621,2016.706,123.640,2307,2001,42,30,43.092,28.336,8.049,0.788,44.272,244545,255,NaN,NaN,100,244545,1,2307,2025,18.435,29.776,1.521,0.658,0.919
