 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3617.695,255,0,255,255,451.504,36.513,229.973,416.296,1.852,69.630,68.519,67.917,67.821,97.454,0.860,71.022,922512.346,255,NaN,NaN,100,6725115,1,1172,11,120.041,67.408,1.001,0.999,0.980
2,2154.321,255,0,255,255,231.314,29.425,175.366,204.815,2.963,52.593,53.333,53.241,51.520,65.526,0.880,54.499,549351.852,255,NaN,NaN,100,4004775,1,588,144,58.903,51.358,1.033,0.968,0.983
3,437.586,255,0,255,255,267.401,24.593,79.411,256.296,12.222,22.963,24.444,24.297,22.931,100.761,0.872,25.188,111584.362,255,NaN,NaN,100,813450,1,696,42,143.973,22.699,1.060,0.944,0.965
4,3985.322,255,0,255,255,305.325,48.290,242.999,268.519,12.963,72.593,72.222,73.351,69.178,37.088,0.848,75.295,1016257.202,255,NaN,NaN,100,7408515,1,751,197,41.610,70.098,1.060,0.943,0.968
5,2289.986,255,0,255,255,365.154,63.100,183.095,338.148,35.926,54.444,55.185,55.759,52.291,113.770,0.858,56.629,583946.502,255,NaN,NaN,100,4256970,1,935,112,132.349,52.262,1.066,0.938,0.982
6,76.269,255,0,255,255,410.405,49.009,55.924,405.926,42.593,11.852,13.333,11.150,8.709,124.094,0.306,13.583,19448.560,255,NaN,NaN,100,141780,1,1100,115,101.004,11.211,1.280,0.781,0.756
7,2323.868,255,0,255,255,38.408,74.074,181.165,10.741,47.407,55.556,53.704,55.027,53.771,16.988,0.890,55.797,592586.420,255,NaN,NaN,100,4319955,1,29,193,174.668,53.704,1.023,0.977,0.984
8,6199.314,255,0,255,255,103.368,103.438,301.018,57.778,59.630,91.111,87.778,90.494,87.224,149.200,0.860,92.448,1580825.103,255,NaN,NaN,100,11524215,1,182,204,143.635,87.210,1.037,0.964,0.986
9,1616.735,255,0,255,255,466.598,95.408,156.398,444.815,71.852,44.074,50.741,47.787,43.076,88.940,0.831,51.025,412267.490,255,NaN,NaN,100,3005430,1,1247,331,80.811,44.074,1.109,0.901,0.969
10,18668.724,255,0,255,255,214.846,155.862,589.506,138.889,72.222,168.148,164.815,163.521,145.362,150.676,0.675,171.523,4760524.691,255,NaN,NaN,100,34704225,1,429,250,148.060,147.013,1.125,0.889,0.981
