 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2155,255,0,255,255,254.565,28.844,183.823,227,2,56,52,57.854,47.427,163.950,0.801,58.258,549525,255,NaN,NaN,100,549525,1,237,3,129.428,48.214,1.220,0.820,0.947
2,1714,255,0,255,255,382.329,25.212,163.882,356,8,52,39,53.840,40.534,179.851,0.802,55.154,437070,255,NaN,NaN,100,437070,1,357,30,22.380,39.000,1.328,0.753,0.978
3,794,255,0,255,255,120.003,26.574,106.225,103,10,33,32,33.408,30.261,143.997,0.884,34.409,202470,255,NaN,NaN,100,202470,1,106,17,144.462,31.384,1.104,0.906,0.947
4,2006,255,0,255,255,194.637,36.842,173.723,169,10,51,52,50.617,50.459,120.704,0.835,52.469,511530,255,NaN,NaN,100,511530,1,189,62,82.333,51.000,1.003,0.997,0.962
5,1995,255,0,255,255,751.225,42.700,170.167,726,17,50,51,51.383,49.435,63.369,0.866,53.151,508725,255,NaN,NaN,100,508725,1,733,62,48.814,50.000,1.039,0.962,0.965
6,2804,255,0,255,255,559.474,51.825,201.865,529,22,61,59,61.103,58.428,2.774,0.865,62.650,715020,255,NaN,NaN,100,715020,1,531,66,24.520,59.000,1.046,0.956,0.973
7,2274,255,0,255,255,39.516,62.954,190.593,14,31,52,60,57.267,50.559,95.503,0.787,60.671,579870,255,NaN,NaN,100,579870,1,34,31,98.531,52.000,1.133,0.883,0.956
8,838,255,0,255,255,1036.442,51.789,112.853,1020,35,33,34,33.260,32.080,70.663,0.827,34.713,213690,255,NaN,NaN,100,213690,1,1034,69,78.366,32.527,1.037,0.965,0.950
9,2429,255,0,255,255,901.621,66.628,198.836,867,39,63,55,57.469,53.815,1.800,0.772,63.285,619395,255,NaN,NaN,100,619395,1,867,68,5.440,55.000,1.068,0.936,0.949
10,5761,255,0,255,255,971.387,91.678,305.990,929,44,83,92,90.663,80.905,65.063,0.773,98.412,1469055,255,NaN,NaN,100,1469055,1,952,133,64.737,83.000,1.121,0.892,0.966
11,2198,255,0,255,255,396.038,73.447,182.208,370,47,53,53,53.503,52.307,126.827,0.832,55.073,560490,255,NaN,NaN,100,560490,1,373,88,29.358,53.000,1.023,0.978,0.967
12,2597,255,0,255,255,115.559,77.117,197.522,87,48,60,58,57.805,57.203,170.579,0.836,61.000,662235,255,NaN,NaN,100,662235,1,87,84,10.389,57.276,1.011,0.990,0.968
13,3519,255,0,255,255,247.618,86.488,224.693,213,53,68,67,67.065,66.809,121.464,0.876,69.426,897345,255,NaN,NaN,100,897345,1,213,78,168.366,66.799,1.004,0.996,0.973
14,2931,255,0,255,255,314.702,86.171,207.279,284,56,62,61,61.211,60.967,60.429,0.857,62.968,747405,255,NaN,NaN,100,747405,1,298,113,57.319,61.000,1.004,0.996,0.971
15,1237,255,0,255,255,1093.053,82.939,136.267,1072,63,41,40,41.011,38.404,171.997,0.837,42.544,315435,255,NaN,NaN,100,315435,1,1074,94,29.578,38.321,1.068,0.936,0.957
16,2236,255,0,255,255,772.048,90.784,184.451,745,64,53,54,54.577,52.164,54.401,0.826,56.080,570180,255,NaN,NaN,100,570180,1,748,105,31.139,53.000,1.046,0.956,0.967
17,2182,255,0,255,255,191.484,97.397,184.208,165,70,53,55,54.067,51.384,105.522,0.808,55.227,556410,255,NaN,NaN,100,556410,1,189,70,95.194,51.503,1.052,0.950,0.961
18,3332,255,0,255,255,1148.084,106.140,224.936,1116,73,66,66,65.901,64.376,40.769,0.828,70.178,849660,255,NaN,NaN,100,849660,1,1123,132,40.956,64.827,1.024,0.977,0.966
19,2609,255,0,255,255,698.421,107.642,197.865,669,79,59,59,58.390,56.891,4.347,0.837,60.539,665295,255,NaN,NaN,100,665295,1,672,123,30.801,57.194,1.026,0.974,0.964
20,2067,255,0,255,255,1079.826,124.464,182.794,1054,95,51,56,52.675,49.962,65.080,0.777,56.569,527085,255,NaN,NaN,100,527085,1,1073,95,98.130,50.510,1.054,0.948,0.946
21,2627,255,0,255,255,69.250,130.561,195.380,40,102,59,57,58.357,57.316,5.234,0.865,60.539,669885,255,NaN,NaN,100,669885,1,41,121,157.671,57.000,1.018,0.982,0.969
22,3442,255,0,255,255,625.331,142.716,226.593,592,108,66,72,70.075,62.540,82.571,0.842,72.339,877710,255,NaN,NaN,100,877710,1,627,108,95.553,64.202,1.120,0.892,0.961
23,1769,255,0,255,255,1021.367,132.897,167.622,997,108,48,49,48.481,46.459,75.153,0.791,49.729,451095,255,NaN,NaN,100,451095,1,1014,109,105.154,46.991,1.044,0.958,0.954
24,2027,255,0,255,255,121.161,147.234,174.066,95,122,51,51,50.843,50.761,54.456,0.841,53.824,516885,255,NaN,NaN,100,516885,1,98,132,144.834,51.000,1.002,0.998,0.960
25,2696,255,0,255,255,175.830,150.861,200.451,147,122,59,58,59.412,57.777,156.754,0.843,61.131,687480,255,NaN,NaN,100,687480,1,147,160,15.173,58.000,1.028,0.972,0.968
