 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,289,255,0,255,255,1918.929,120.818,63.355,1909,111,19,20,19.368,18.999,172.009,0.905,21.471,73695,255,NaN,NaN,100,73695,1,1914,111,117.759,19.000,1.019,0.981,0.932
2,30057,255,0,255,255,925.428,375.128,661.553,828,275,193,202,206.599,185.237,51.642,0.863,209.246,7664535,255,NaN,NaN,100,7664535,1,870,463,54.335,187.676,1.115,0.897,0.987
3,257,255,0,255,255,1044.695,306.146,71.941,1033,298,20,19,18.661,17.535,114.817,0.624,23.431,65535,255,NaN,NaN,100,65535,1,1034,299,140.194,19.000,1.064,0.940,0.858
4,14873,255,0,255,255,1412.711,445.008,456.759,1344,375,136,140,141.668,133.671,119.530,0.896,143.544,3792615,255,NaN,NaN,100,3792615,1,1377,384,121.032,134.589,1.060,0.944,0.986
5,1792,255,0,255,255,2340.085,641.535,163.338,2316,617,48,49,48.170,47.367,128.639,0.844,49.518,456960,255,NaN,NaN,100,456960,1,2323,624,133.363,48.000,1.017,0.983,0.961
6,4086,255,0,255,255,426.285,752.825,237.622,391,716,70,74,73.445,70.835,80.484,0.909,74.431,1041930,255,NaN,NaN,100,1041930,1,422,716,96.170,70.000,1.037,0.964,0.979
7,1016,255,0,255,255,704.918,775.258,118.468,688,756,34,38,38.929,33.230,63.050,0.910,39.850,259080,255,NaN,NaN,100,259080,1,698,794,72.474,33.988,1.172,0.854,0.964
8,778,255,0,255,255,786.036,777.257,103.983,771,761,30,33,32.746,30.250,102.265,0.904,34.482,198390,255,NaN,NaN,100,198390,1,781,761,106.858,30.000,1.083,0.924,0.954
9,229,255,0,255,255,1087.745,866.592,55.113,1079,858,17,17,17.621,16.547,133.873,0.947,18.868,58395,255,NaN,NaN,100,58395,1,1080,861,147.995,16.971,1.065,0.939,0.946
10,303,255,0,255,255,1145.157,950.144,63.355,1135,941,20,19,20.711,18.627,151.757,0.949,21.633,77265,255,NaN,NaN,100,77265,1,1136,944,146.310,19.000,1.112,0.899,0.947
11,27765,255,0,255,255,693.462,1133.736,620.441,597,1041,191,185,191.775,184.339,17.552,0.906,193.041,7080075,255,NaN,NaN,100,7080075,1,597,1148,8.340,185.000,1.040,0.961,0.990
12,234,255,0,255,255,552.043,1156.299,56.184,543,1147,18,18,18.763,15.879,138.294,0.932,19.416,59670,255,NaN,NaN,100,59670,1,547,1148,124.509,16.263,1.182,0.846,0.929
13,19333,255,0,255,255,1050.874,1253.243,521.529,971,1175,160,155,165.063,149.128,144.383,0.893,165.702,4929915,255,NaN,NaN,100,4929915,1,1000,1188,128.876,150.614,1.107,0.903,0.987
14,4684,255,0,255,255,2247.101,1220.860,257.765,2208,1183,79,76,78.900,75.587,15.148,0.886,80.281,1194420,255,NaN,NaN,100,1194420,1,2208,1230,13.690,76.000,1.044,0.958,0.975
15,346,255,0,255,255,1190.098,1367.954,67.598,1179,1358,22,20,21.771,20.235,0.325,0.952,22.561,88230,255,NaN,NaN,100,88230,1,1179,1366,167.196,20.000,1.076,0.929,0.949
16,1731,255,0,255,255,678.460,1444.201,154.024,655,1421,47,47,47.387,46.511,132.032,0.917,48.877,441405,255,NaN,NaN,100,441405,1,664,1424,120.763,46.957,1.019,0.982,0.970
17,1336,255,0,255,255,1271.121,1490.469,135.539,1251,1469,40,43,43.210,39.367,84.726,0.914,44.147,340680,255,NaN,NaN,100,340680,1,1266,1512,76.908,40.000,1.098,0.911,0.965
18,1954,255,0,255,255,729.035,1551.356,178.853,706,1524,46,57,59.339,41.927,106.526,0.768,60.141,498270,255,NaN,NaN,100,498270,1,707,1530,137.021,40.640,1.415,0.707,0.943
19,5933,255,0,255,255,744.043,1679.616,322.132,693,1641,106,86,99.864,75.645,18.015,0.718,107.870,1512915,255,NaN,NaN,100,1512915,1,693,1684,10.685,82.788,1.320,0.757,0.923
20,5701,255,0,255,255,1162.109,1698.424,294.392,1119,1656,87,88,87.650,82.815,2.518,0.827,93.150,1453755,255,NaN,NaN,100,1453755,1,1123,1679,150.408,83.013,1.058,0.945,0.957
21,2253,255,0,255,255,712.492,1740.729,200.652,681,1714,65,54,69.144,41.488,152.451,0.703,74.947,574515,255,NaN,NaN,100,574515,1,682,1725,148.643,48.242,1.667,0.600,0.901
22,27268,255,0,255,255,1204.467,1826.111,621.169,1111,1726,184,195,192.430,180.422,114.601,0.888,196.413,6953340,255,NaN,NaN,100,6953340,1,1159,1738,118.261,181.019,1.067,0.938,0.986
23,291,255,0,255,255,362.531,1914.057,62.770,353,1904,19,20,19.556,18.947,128.722,0.928,20.809,74205,255,NaN,NaN,100,74205,1,354,1908,144.782,19.000,1.032,0.969,0.934
24,1363,255,0,255,255,305.639,1989.063,136.368,285,1968,42,42,42.046,41.275,105.414,0.921,43.046,347565,255,NaN,NaN,100,347565,1,294,1971,120.735,41.719,1.019,0.982,0.967
25,558,255,0,255,255,186.077,2025.030,86.669,173,2011,26,27,26.815,26.495,116.103,0.934,28.018,142290,255,NaN,NaN,100,142290,1,174,2018,145.176,26.000,1.012,0.988,0.955
