 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1802.667,255,0,255,255,32.277,31.875,175.385,8.0,6.667,48.0,49.333,50.608,45.353,44.584,0.736,56.851,459680.0,255,,,100,258570,1,13,39,50.711,47.186,1.116,0.896,0.91
1,2113.778,255,0,255,255,33.356,33.255,169.729,6.667,8.0,53.333,50.667,52.604,51.163,179.868,0.922,53.93,539013.333,255,,,100,303195,1,5,27,8.531,50.667,1.028,0.973,0.965
1,1493.333,255,0,255,255,31.66,32.986,145.216,9.333,10.667,42.667,44.0,45.943,41.386,126.989,0.89,51.034,380800.0,255,,,100,214200,1,15,9,123.275,42.667,1.11,0.901,0.956
1,1370.667,255,0,255,255,28.26,28.022,137.863,8.0,6.667,41.333,44.0,42.591,40.975,113.955,0.906,45.117,349520.0,255,,,100,196605,1,14,6,108.97,41.333,1.039,0.962,0.951
1,1669.333,255,0,255,255,31.262,31.037,155.748,8.0,8.0,45.333,46.667,47.377,44.863,126.768,0.865,52.154,425680.0,255,,,100,239445,1,14,8,122.471,45.333,1.056,0.947,0.95
1,1418.667,255,0,255,255,29.567,28.949,139.101,8.0,8.0,42.667,41.333,43.473,41.55,24.621,0.921,45.117,361760.0,255,,,100,203490,1,8,31,34.16,41.333,1.046,0.956,0.961
1,1904.0,255,0,255,255,32.923,32.678,162.186,8.0,8.0,49.333,49.333,49.619,48.857,39.87,0.91,52.154,485520.0,255,,,100,273105,1,15,41,57.529,49.333,1.016,0.985,0.961
1,1290.667,255,0,255,255,29.223,27.925,132.206,8.0,8.0,41.333,40.0,40.909,40.171,22.492,0.928,42.164,329120.0,255,,,100,185130,1,7,26,18.435,40.0,1.018,0.982,0.959
1,1642.667,255,0,255,255,30.342,29.649,149.31,8.0,6.667,45.333,45.333,46.37,45.105,36.332,0.926,48.166,418880.0,255,,,100,235620,1,9,34,41.634,45.333,1.028,0.973,0.963
1,1950.222,255,0,255,255,32.938,32.856,162.186,8.0,8.0,49.333,49.333,49.973,49.688,69.141,0.932,51.467,497306.667,255,,,100,279735,1,12,10,126.573,49.333,1.006,0.994,0.968
1,2328.889,255,0,255,255,35.562,34.682,178.833,8.0,6.667,54.667,54.667,54.818,54.093,20.044,0.915,56.725,593866.667,255,,,100,334050,1,8,15,150.422,54.627,1.013,0.987,0.965
1,1166.222,255,0,255,255,26.776,26.549,125.768,8.0,6.667,37.333,40.0,38.913,38.159,77.103,0.927,40.31,297386.667,255,,,100,167280,1,8,29,34.216,37.333,1.02,0.981,0.957
1,2129.778,255,0,255,255,32.137,44.28,183.251,8.0,9.333,48.0,65.333,60.879,44.543,87.868,0.797,65.673,543093.333,255,,,100,305490,1,22,7,95.826,48.0,1.367,0.732,0.935
1,4657.778,255,0,255,255,45.454,48.279,253.555,8.0,9.333,76.0,77.333,77.782,76.245,100.159,0.91,81.464,1187733.333,255,,,100,668100,1,22,7,111.105,76.0,1.02,0.98,0.973
1,3205.333,255,0,255,255,39.759,40.27,212.127,6.667,9.333,68.0,62.667,65.986,61.849,156.059,0.895,68.56,817360.0,255,,,100,459765,1,6,22,166.504,62.667,1.067,0.937,0.963
1,5280.0,255,0,255,255,43.721,61.228,334.124,8.0,8.0,73.333,110.667,118.918,56.532,72.669,0.594,113.92,1346400.0,255,,,100,757350,1,19,88,73.686,63.246,2.104,0.475,0.884
1,1169.778,255,0,255,255,27.579,27.603,125.768,8.0,8.0,38.667,38.667,38.772,38.414,91.392,0.929,40.31,298293.333,255,,,100,167790,1,11,9,124.216,38.667,1.009,0.991,0.958
1,1256.889,255,0,255,255,27.501,30.72,136.758,8.0,6.667,38.667,45.333,42.429,37.718,70.144,0.845,46.819,320506.667,255,,,100,180285,1,15,38,70.017,38.667,1.125,0.889,0.936
1,2202.667,255,0,255,255,34.343,33.45,175.385,8.0,6.667,53.333,53.333,53.617,52.306,43.814,0.9,55.201,561680.0,255,,,100,315945,1,8,36,37.147,53.333,1.025,0.976,0.962
1,4263.111,255,0,255,255,47.105,44.927,243.212,8.0,8.0,76.0,73.333,73.963,73.388,167.456,0.906,76.42,1087093.333,255,,,100,611490,1,6,32,173.991,73.333,1.008,0.992,0.972
1,1827.556,255,0,255,255,31.802,33.16,158.415,8.0,9.333,48.0,48.0,49.209,47.287,50.04,0.915,51.932,466026.667,255,,,100,262140,1,11,39,48.122,48.0,1.041,0.961,0.963
1,1635.556,255,0,255,255,31.249,29.623,150.738,8.0,6.667,48.0,45.333,46.159,45.115,5.833,0.905,48.662,417066.667,255,,,100,234600,1,6,19,170.538,45.333,1.023,0.977,0.954
1,2558.222,255,0,255,255,35.808,41.245,194.376,8.0,8.0,57.333,61.333,58.116,56.047,101.951,0.851,64.622,652346.667,255,,,100,366945,1,18,6,111.801,57.333,1.037,0.964,0.94
1,1619.556,255,0,255,255,29.96,30.082,148.853,6.667,6.667,45.333,46.667,46.806,44.056,113.241,0.919,47.87,412986.667,255,,,100,232305,1,19,5,102.875,45.115,1.062,0.941,0.958
1,2426.667,255,0,255,255,35.902,36.357,188.908,8.0,8.0,58.667,60.0,56.509,54.677,63.61,0.855,61.464,618800.0,255,,,100,348075,1,23,51,77.471,55.213,1.033,0.968,0.942
1,32391.111,255,0,255,255,111.466,128.927,932.28,8.0,9.333,222.667,245.333,227.675,181.142,114.161,0.468,252.944,8259733.333,255,,,100,4646100,1,68,7,105.282,206.871,1.257,0.796,0.851
1,1669.333,255,0,255,255,31.079,31.562,150.415,8.0,8.0,45.333,46.667,46.674,45.539,99.898,0.927,47.796,425680.0,255,,,100,239445,1,17,7,112.989,45.333,1.025,0.976,0.964
1,1152.0,255,0,255,255,27.722,26.825,124.663,9.333,8.0,37.333,38.667,38.778,37.825,90.551,0.932,40.111,293760.0,255,,,100,165240,1,16,6,111.448,37.333,1.025,0.975,0.96
