 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,915.556,255,0,255,255,60.752,127.781,597.699,8.000,10.667,96.000,236.000,119.998,9.715,113.193,0.032,254.778,233466.667,255,NaN,NaN,100,131325,1,6,8,112.135,24.203,12.352,0.081,0.217
2,19.556,255,0,255,255,49.030,108.303,33.294,45.333,101.333,8.000,13.333,14.152,1.759,119.214,0.222,15.549,4986.667,255,NaN,NaN,100,2805,1,34,76,120.964,2.977,8.043,0.124,0.524
3,3.556,255,0,255,255,72.000,134.667,7.542,70.667,133.333,2.667,2.667,3.461,1.308,135.000,0.785,3.771,906.667,255,NaN,NaN,100,510,1,53,100,135.000,1.886,2.646,0.378,0.667
4,1.778,255,0,255,255,92.667,236.667,3.771,92.000,236.000,1.333,1.333,1.505,1.505,0.000,1.000,1.886,453.333,255,NaN,NaN,100,255,1,69,177,135.000,1.333,1.000,1.000,1.000
5,1.778,255,0,255,255,94.000,239.333,3.771,93.333,238.667,1.333,1.333,1.505,1.505,0.000,1.000,1.886,453.333,255,NaN,NaN,100,255,1,70,179,135.000,1.333,1.000,1.000,1.000
6,3.556,255,0,255,255,95.333,242.667,6.438,94.667,241.333,1.333,2.667,3.009,1.505,90.000,1.000,2.981,906.667,255,NaN,NaN,100,510,1,71,181,116.565,1.333,2.000,0.500,1.000
7,3.556,255,0,255,255,96.667,246.667,6.438,96.000,245.333,1.333,2.667,3.009,1.505,90.000,1.000,2.981,906.667,255,NaN,NaN,100,510,1,72,184,116.565,1.333,2.000,0.500,1.000
8,3.556,255,0,255,255,106.000,253.333,6.438,105.333,252.000,1.333,2.667,3.009,1.505,90.000,1.000,2.981,906.667,255,NaN,NaN,100,510,1,79,189,116.565,1.333,2.000,0.500,1.000
9,5.333,255,0,255,255,107.333,258.000,9.105,106.667,256.000,1.333,4.000,4.514,1.505,90.000,0.809,4.216,1360.000,255,NaN,NaN,100,765,1,80,192,108.435,1.333,3.000,0.333,1.000
10,1111.111,255,0,255,255,128.103,318.951,341.856,94.667,265.333,78.667,97.333,85.991,16.452,120.862,0.119,118.936,283333.333,255,NaN,NaN,100,159375,1,76,201,127.255,28.624,5.227,0.191,0.371
11,55.111,255,0,255,255,146.344,313.785,50.399,136.000,309.333,21.333,6.667,18.332,3.828,5.779,0.273,21.990,14053.333,255,NaN,NaN,100,7905,1,102,236,14.036,6.080,4.789,0.209,0.525
12,83.556,255,0,255,255,179.475,375.504,93.634,164.000,361.333,29.333,29.333,33.177,3.207,135.177,0.120,40.552,21306.667,255,NaN,NaN,100,11985,1,123,271,133.668,6.600,10.346,0.097,0.388
