 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3049.584,255,0,255,255,125.015,51.831,231.062,94.828,14.828,61.379,68.621,64.452,60.244,118.294,0.718,73.267,777643.876,255,NaN,NaN,100,6539985,1,309,43,115.359,61.379,1.070,0.935,0.952
2,2406.778,255,0,255,255,761.885,42.785,197.679,734.138,14.828,55.517,55.862,56.051,54.672,39.945,0.774,56.438,613728.300,255,NaN,NaN,100,5161455,1,2146,176,38.550,54.618,1.025,0.975,0.984
3,172.295,255,0,255,255,234.438,36.167,71.643,226.897,28.276,15.172,15.172,14.962,14.662,120.610,0.422,16.074,43935.196,255,NaN,NaN,100,369495,1,672,83,112.714,15.111,1.021,0.980,0.907
4,3143.995,255,0,255,255,575.949,63.963,214.078,544.138,31.724,63.448,63.793,63.474,63.066,27.615,0.862,64.567,801718.787,255,NaN,NaN,100,6742455,1,1580,210,13.591,63.264,1.006,0.994,0.986
5,2511.296,255,0,255,255,636.183,65.059,212.294,607.931,36.552,56.552,56.897,56.762,56.332,56.213,0.700,58.210,640380.499,255,NaN,NaN,100,5385600,1,1776,239,36.327,56.552,1.008,0.992,0.979
6,2140.190,255,0,255,255,698.333,67.654,193.576,672.414,40.690,53.103,53.103,53.688,50.756,128.175,0.718,56.842,545748.514,255,NaN,NaN,100,4589745,1,1961,152,150.169,51.172,1.058,0.945,0.971
7,63.615,255,0,255,255,256.713,51.806,30.625,252.414,46.207,9.655,10.000,10.312,7.854,130.654,0.852,10.510,16221.760,255,NaN,NaN,100,136425,1,735,138,131.009,7.803,1.313,0.762,0.943
8,6566.587,255,0,255,255,427.508,96.879,337.606,382.069,47.931,91.379,94.828,93.204,89.704,132.378,0.724,97.952,1674479.786,255,NaN,NaN,100,14082375,1,1190,142,117.918,90.863,1.039,0.962,0.975
9,2568.609,255,0,255,255,795.552,88.861,194.384,766.897,60.345,57.241,57.241,57.364,57.012,120.910,0.854,58.739,654995.244,255,NaN,NaN,100,5508510,1,2260,185,122.291,57.145,1.006,0.994,0.984
10,2086.683,255,0,255,255,224.006,91.180,175.818,198.621,65.172,50.690,52.069,52.643,50.469,66.184,0.848,54.828,532104.043,255,NaN,NaN,100,4474995,1,607,329,58.109,50.690,1.043,0.959,0.984
11,1554.340,255,0,255,255,297.464,88.672,154.543,274.483,67.241,46.207,41.724,46.559,42.506,165.649,0.818,47.995,396356.718,255,NaN,NaN,100,3333360,1,804,219,151.225,41.724,1.095,0.913,0.978
