 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,327,255,0,255,255,1286.035,35.818,67.012,1276,25,20,22,21.893,19.017,95.161,0.915,22.804,83385,255,NaN,NaN,100,83385,1,1282,25,105.255,19.808,1.151,0.869,0.933
2,19185,255,0,255,255,385.014,109.824,517.872,307,34,155,159,159.914,152.752,61.396,0.899,163.175,4892175,255,NaN,NaN,100,4892175,1,372,192,71.787,152.935,1.047,0.955,0.987
3,650,255,0,255,255,2087.848,145.297,102.225,2070,132,34,28,35.604,23.245,153.667,0.782,36.715,165750,255,NaN,NaN,100,165750,1,2071,135,150.642,25.491,1.532,0.653,0.917
4,861,255,0,255,255,1765.248,192.958,108.225,1749,176,33,34,34.143,32.108,60.003,0.924,35.468,219555,255,NaN,NaN,100,219555,1,1760,210,68.499,32.527,1.063,0.940,0.959
5,752,255,0,255,255,186.781,364.465,101.740,172,348,30,32,32.016,29.906,84.113,0.913,33.106,191760,255,NaN,NaN,100,191760,1,179,379,64.983,30.000,1.071,0.934,0.956
6,48821,255,0,255,255,1811.229,493.644,824.507,1687,367,248,252,252.309,246.368,105.586,0.902,256.082,12449355,255,NaN,NaN,100,12449355,1,1764,373,112.258,246.957,1.024,0.976,0.992
7,277,255,0,255,255,2052.348,563.106,65.012,2041,554,22,17,20.998,16.797,7.093,0.824,22.561,70635,255,NaN,NaN,100,70635,1,2041,562,167.196,17.000,1.250,0.800,0.916
8,206,255,0,255,255,1526.597,569.762,52.527,1519,561,16,17,17.110,15.330,109.560,0.938,18.028,52530,255,NaN,NaN,100,52530,1,1522,562,123.690,16.000,1.116,0.896,0.928
9,268,255,0,255,255,47.951,586.272,61.012,38,577,20,19,21.681,15.739,143.703,0.905,22.472,68340,255,NaN,NaN,100,68340,1,38,581,147.724,16.263,1.378,0.726,0.932
10,313,255,0,255,255,593.647,836.481,64.770,583,827,21,19,21.133,18.858,148.361,0.938,22.204,79815,255,NaN,NaN,100,79815,1,584,831,144.162,19.000,1.121,0.892,0.946
11,1351,255,0,255,255,1496.615,875.644,136.125,1476,854,41,42,42.447,40.524,77.961,0.916,44.283,344505,255,NaN,NaN,100,344505,1,1485,895,64.592,41.000,1.047,0.955,0.966
12,574,255,0,255,255,424.267,880.618,88.083,411,867,27,27,27.420,26.654,103.749,0.930,28.792,146370,255,NaN,NaN,100,146370,1,420,867,110.323,27.000,1.029,0.972,0.956
13,15113,255,0,255,255,1753.130,1008.707,458.759,1684,940,138,139,139.884,137.561,126.943,0.902,141.693,3853815,255,NaN,NaN,100,3853815,1,1723,945,112.402,138.000,1.017,0.983,0.987
14,249,255,0,255,255,737.869,983.227,57.355,729,974,18,18,18.146,17.472,137.031,0.951,19.235,63495,255,NaN,NaN,100,63495,1,733,975,117.897,18.000,1.039,0.963,0.938
15,1632,255,0,255,255,1085.499,999.906,148.610,1063,977,45,46,46.289,44.890,97.771,0.929,47.802,416160,255,NaN,NaN,100,416160,1,1079,977,105.781,45.000,1.031,0.970,0.972
16,285,255,0,255,255,914.198,1038.718,61.941,905,1029,18,20,19.605,18.509,80.937,0.933,20.616,72675,255,NaN,NaN,100,72675,1,907,1046,50.906,18.000,1.059,0.944,0.942
17,2054,255,0,255,255,638.997,1065.219,174.267,613,1039,52,52,52.229,50.072,179.139,0.850,55.317,523770,255,NaN,NaN,100,523770,1,619,1048,139.399,49.813,1.043,0.959,0.951
18,4923,255,0,255,255,649.499,1125.739,263.865,611,1085,78,80,82.443,76.030,52.404,0.889,85.235,1255365,255,NaN,NaN,100,1255365,1,627,1162,58.921,76.902,1.084,0.922,0.972
19,3055,255,0,255,255,2128.161,1202.331,214.149,2090,1171,69,69,69.234,56.182,134.035,0.837,69.857,779025,255,NaN,NaN,100,779025,1,2118,1172,103.241,54.447,1.232,0.811,0.968
20,1209,255,0,255,255,1435.136,1195.793,127.882,1415,1177,40,38,40.187,38.304,22.393,0.929,41.785,308295,255,NaN,NaN,100,308295,1,1416,1204,21.038,38.000,1.049,0.953,0.967
21,21655,255,0,255,255,2058.608,1280.987,552.056,1979,1194,159,175,175.616,157.001,106.165,0.893,177.685,5522025,255,NaN,NaN,100,5522025,1,2040,1195,101.689,158.266,1.119,0.894,0.987
22,384,255,0,255,255,220.990,1318.839,71.598,210,1308,22,22,22.297,21.927,162.949,0.941,23.431,97920,255,NaN,NaN,100,97920,1,212,1311,140.194,22.000,1.017,0.983,0.950
23,9471,255,0,255,255,1463.698,1400.477,365.990,1409,1344,109,112,111.680,107.977,76.616,0.889,114.004,2415105,255,NaN,NaN,100,2415105,1,1452,1456,76.817,108.377,1.034,0.967,0.982
24,3956,255,0,255,255,2099.447,1404.311,235.865,2064,1367,70,73,72.454,69.519,97.074,0.894,74.733,1008780,255,NaN,NaN,100,1008780,1,2092,1367,102.362,70.000,1.042,0.959,0.975
25,291,255,0,255,255,926.445,1501.892,62.184,917,1492,19,20,19.602,18.902,90.962,0.946,20.616,74205,255,NaN,NaN,100,74205,1,924,1492,104.036,19.000,1.037,0.964,0.943
26,2681,255,0,255,255,1324.805,1535.228,194.752,1297,1505,56,60,59.898,56.989,101.786,0.888,61.400,683655,255,NaN,NaN,100,683655,1,1312,1507,120.324,55.829,1.051,0.951,0.968
27,1466,255,0,255,255,1278.417,1538.799,144.711,1258,1516,39,46,45.851,40.709,87.616,0.880,47.074,373830,255,NaN,NaN,100,373830,1,1275,1562,77.735,39.000,1.126,0.888,0.969
28,31724,255,0,255,255,2252.022,1849.086,668.340,2151,1753,206,196,206.428,195.672,30.314,0.892,209.609,8089620,255,NaN,NaN,100,8089620,1,2180,1924,41.906,196.000,1.055,0.948,0.990
