 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2789.116,255,0,255,255,85.570,27.482,257.407,36.508,1.587,84.127,60.317,84.049,42.252,155.840,0.529,89.918,711224.490,255,NaN,NaN,100,282285,1,23,16,159.326,46.270,1.989,0.503,0.865
2,55.430,255,0,255,255,1317.172,6.926,36.461,1312.698,1.587,11.111,9.524,10.620,6.646,168.340,0.524,13.654,14134.543,255,NaN,NaN,100,5610,1,827,1,144.462,9.432,1.598,0.626,0.710
3,3449.232,255,0,255,255,819.382,36.191,218.316,785.714,3.175,66.667,66.667,66.962,65.585,76.304,0.909,68.915,879554.044,255,NaN,NaN,100,349095,1,511,44,75.324,66.456,1.021,0.979,0.965
4,22.676,255,0,255,255,1285.097,11.552,16.643,1282.540,9.524,6.349,4.762,6.666,4.331,29.518,1.000,7.937,5782.313,255,NaN,NaN,100,2295,1,808,9,36.870,4.762,1.539,0.650,0.900
5,52.910,255,0,255,255,1322.789,14.248,33.287,1315.873,11.111,12.698,7.937,12.514,5.383,157.624,0.600,14.197,13492.063,255,NaN,NaN,100,5355,1,829,7,153.435,7.099,2.324,0.430,0.764
6,131.015,255,0,255,255,1318.468,21.062,54.034,1311.111,12.698,17.460,14.286,18.924,8.815,146.188,0.564,21.590,33408.919,255,NaN,NaN,100,13260,1,826,8,143.973,10.432,2.147,0.466,0.788
7,2922.651,255,0,255,255,1690.792,44.967,237.045,1658.730,14.286,73.016,61.905,65.675,56.661,17.949,0.654,73.856,745275.888,255,NaN,NaN,100,295800,1,1045,31,8.653,59.487,1.159,0.863,0.894
8,2726.127,255,0,255,255,1900.070,43.294,193.079,1871.429,14.286,58.730,58.730,59.106,58.725,144.272,0.919,61.271,695162.509,255,NaN,NaN,100,275910,1,1182,15,143.427,58.730,1.006,0.994,0.964
9,93.222,255,0,255,255,1287.881,24.560,47.300,1279.365,19.048,15.873,9.524,15.086,7.868,5.909,0.524,16.572,23771.731,255,NaN,NaN,100,9435,1,806,14,163.301,9.524,1.917,0.522,0.740
10,15.117,255,0,255,255,1361.640,23.545,17.958,1358.730,20.635,6.349,6.349,7.538,2.554,129.690,0.589,8.979,3854.875,255,NaN,NaN,100,1530,1,856,13,135.000,3.962,2.952,0.339,0.600
11,2534.643,255,0,255,255,2011.952,47.368,202.988,1979.365,20.635,63.492,53.968,62.169,51.910,0.535,0.773,66.078,646334.089,255,NaN,NaN,100,256530,1,1247,25,155.898,52.528,1.198,0.835,0.924
12,68.027,255,0,255,255,1305.203,28.895,45.440,1300.000,22.222,12.698,12.698,11.882,7.290,41.408,0.414,14.975,17346.939,255,NaN,NaN,100,6885,1,819,20,32.005,11.201,1.630,0.614,0.587
13,83.144,255,0,255,255,1315.416,34.271,44.511,1309.524,26.984,11.111,14.286,12.778,8.285,108.628,0.527,15.633,21201.814,255,NaN,NaN,100,8415,1,827,17,113.962,11.111,1.542,0.648,0.702
14,395.566,255,0,255,255,41.851,42.225,79.976,31.746,28.571,22.222,23.810,23.677,21.271,168.230,0.777,28.082,100869.237,255,NaN,NaN,100,40035,1,22,18,132.709,22.222,1.113,0.898,0.910
15,25.195,255,0,255,255,1295.079,30.794,19.818,1292.063,28.571,6.349,6.349,6.167,5.202,32.443,0.806,7.937,6424.792,255,NaN,NaN,100,2550,1,815,22,53.130,6.349,1.186,0.844,0.769
16,55.430,255,0,255,255,1324.964,33.478,43.196,1320.635,28.571,9.524,11.111,9.445,7.472,80.077,0.373,13.654,14134.543,255,NaN,NaN,100,5610,1,832,18,125.538,9.524,1.264,0.791,0.595
