 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4110,255,0,255,255,897.217,44.265,245.321,861,8,72,73,72.782,71.900,100.173,0.858,74.733,1048050,255,NaN,NaN,100,1048050,1,889,8,102.362,72.000,1.012,0.988,0.976
2,2375,255,0,255,255,1074.540,45.274,189.622,1047,18,55,55,55.613,54.375,42.866,0.830,57.628,605625,255,NaN,NaN,100,605625,1,1053,64,38.660,55.000,1.023,0.978,0.967
3,2159,255,0,255,255,593.688,49.048,179.137,568,22,51,54,53.480,51.401,93.258,0.845,54.745,550545,255,NaN,NaN,100,550545,1,589,22,99.462,51.000,1.040,0.961,0.968
4,3393,255,0,255,255,771.661,89.108,242.777,738,58,67,65,69.594,62.076,38.065,0.723,75.664,865215,255,NaN,NaN,100,865215,1,738,101,29.275,64.347,1.121,0.892,0.957
5,2538,255,0,255,255,1114.804,97.017,193.865,1086,68,57,58,57.623,56.080,64.004,0.849,59.506,647190,255,NaN,NaN,100,647190,1,1103,124,65.158,56.569,1.028,0.973,0.968
6,2537,255,0,255,255,837.012,103.591,191.380,809,75,56,58,57.270,56.403,83.905,0.870,58.694,646935,255,NaN,NaN,100,646935,1,829,132,76.201,56.000,1.015,0.985,0.971
7,3837,255,0,255,255,423.513,115.111,243.563,389,80,69,70,70.738,69.064,113.313,0.813,73.783,978435,255,NaN,NaN,100,978435,1,393,97,147.171,69.000,1.024,0.976,0.968
8,4707,255,0,255,255,502.344,128.769,271.747,463,88,78,80,77.769,77.063,42.343,0.801,81.049,1200285,255,NaN,NaN,100,1200285,1,497,168,80.770,77.782,1.009,0.991,0.971
9,115,255,0,255,255,573.178,95.665,40.527,566,90,14,12,12.858,11.387,169.824,0.880,14.318,29325,255,NaN,NaN,100,29325,1,566,97,12.095,12.000,1.129,0.886,0.898
10,2374,255,0,255,255,1183.422,150.610,186.794,1156,123,55,56,55.252,54.707,63.686,0.855,57.140,605370,255,NaN,NaN,100,605370,1,1167,174,57.144,55.000,1.010,0.990,0.968
11,3840,255,0,255,255,764.078,162.719,245.220,725,127,74,71,70.505,69.346,64.429,0.802,74.545,979200,255,NaN,NaN,100,979200,1,725,159,173.066,70.004,1.017,0.984,0.962
12,4475,255,0,255,255,219.950,169.184,258.049,182,131,76,77,76.183,74.791,119.193,0.844,77.492,1141125,255,NaN,NaN,100,1141125,1,209,132,107.266,75.660,1.019,0.982,0.973
13,3516,255,0,255,255,66.192,180.571,230.735,33,147,67,67,68.351,65.496,130.063,0.830,69.527,896580,255,NaN,NaN,100,896580,1,45,153,130.333,65.761,1.044,0.958,0.974
14,2772,255,0,255,255,1076.984,189.380,211.664,1047,158,60,61,60.150,58.677,50.247,0.778,63.411,706860,255,NaN,NaN,100,706860,1,1055,214,52.046,59.351,1.025,0.976,0.959
15,1894,255,0,255,255,881.034,193.403,165.581,856,169,50,49,49.355,48.860,94.019,0.868,51.000,482970,255,NaN,NaN,100,482970,1,869,216,61.928,49.000,1.010,0.990,0.964
16,3950,255,0,255,255,1141.528,218.772,244.149,1106,183,71,72,71.548,70.293,58.194,0.833,73.600,1007250,255,NaN,NaN,100,1007250,1,1118,247,53.286,71.000,1.018,0.982,0.971
17,3695,255,0,255,255,495.448,222.994,235.078,461,188,68,70,69.138,68.047,81.269,0.840,70.725,942225,255,NaN,NaN,100,942225,1,476,194,123.465,68.000,1.016,0.984,0.972
18,2015,255,0,255,255,278.352,219.297,177.037,253,193,51,52,51.147,50.161,83.811,0.808,52.887,513825,255,NaN,NaN,100,513825,1,269,244,74.650,50.913,1.020,0.981,0.963
19,3475,255,0,255,255,161.068,246.005,226.593,129,212,65,68,68.450,64.638,88.169,0.850,69.921,886125,255,NaN,NaN,100,886125,1,150,279,73.379,65.000,1.059,0.944,0.974
20,4474,255,0,255,255,859.410,253.959,261.120,821,215,76,77,75.943,75.009,42.635,0.825,77.827,1140870,255,NaN,NaN,100,1140870,1,841,288,62.447,75.660,1.012,0.988,0.972
21,3301,255,0,255,255,77.476,258.048,222.007,46,225,63,66,66.367,63.329,96.182,0.842,67.683,841755,255,NaN,NaN,100,841755,1,70,225,102.804,63.000,1.048,0.954,0.974
22,2884,255,0,255,255,655.667,266.636,212.108,623,236,62,65,61.775,59.442,82.320,0.806,67.624,735420,255,NaN,NaN,100,735420,1,642,239,113.532,59.262,1.039,0.962,0.951
23,2404,255,0,255,255,941.526,270.721,188.309,914,243,55,55,56.064,54.596,144.804,0.852,58.258,613020,255,NaN,NaN,100,613020,1,924,248,129.428,55.000,1.027,0.974,0.970
24,129,255,0,255,255,1108.864,251.159,42.042,1103,244,12,14,14.802,11.096,115.594,0.917,15.620,32895,255,NaN,NaN,100,32895,1,1104,245,129.806,11.700,1.334,0.750,0.925
25,1675,255,0,255,255,587.311,271.286,161.137,564,248,47,47,46.684,45.683,122.488,0.811,47.802,427125,255,NaN,NaN,100,427125,1,573,252,127.349,46.485,1.022,0.979,0.960
26,546,255,0,255,255,1054.141,263.930,91.882,1039,251,28,29,29.531,23.541,126.971,0.813,30.232,139230,255,NaN,NaN,100,139230,1,1043,253,124.216,24.129,1.254,0.797,0.933
27,2843,255,0,255,255,1021.617,287.293,206.108,992,256,60,62,60.862,59.475,118.207,0.841,62.968,724965,255,NaN,NaN,100,724965,1,1004,313,57.319,59.908,1.023,0.977,0.966
28,571,255,0,255,255,702.644,273.607,92.326,691,258,24,31,31.896,22.794,74.598,0.842,32.202,145605,255,NaN,NaN,100,145605,1,695,288,64.231,23.338,1.399,0.715,0.946
29,800,255,0,255,255,539.671,277.467,111.196,523,262,33,32,32.250,31.584,175.077,0.813,33.615,204000,255,NaN,NaN,100,204000,1,524,271,157.249,32.000,1.021,0.979,0.943
30,2824,255,0,255,255,1129.317,310.034,208.593,1099,280,61,60,60.760,59.178,134.319,0.816,61.911,720120,255,NaN,NaN,100,720120,1,1114,283,121.122,60.000,1.027,0.974,0.968
31,2600,255,0,255,255,361.280,311.858,199.179,332,283,58,58,57.974,57.102,125.273,0.824,59.237,663000,255,NaN,NaN,100,663000,1,351,284,111.801,57.276,1.015,0.985,0.969
32,2209,255,0,255,255,631.818,333.148,184.208,605,307,54,52,54.162,51.930,14.912,0.818,55.758,563295,255,NaN,NaN,100,563295,1,608,347,32.550,52.000,1.043,0.959,0.968
33,3876,255,0,255,255,261.168,344.383,238.007,226,309,70,71,70.568,69.934,54.308,0.860,73.239,988380,255,NaN,NaN,100,988380,1,231,364,34.992,70.000,1.009,0.991,0.974
34,2166,255,0,255,255,913.010,335.325,183.279,886,309,54,53,54.649,50.465,42.480,0.810,57.697,552330,255,NaN,NaN,100,552330,1,888,347,25.677,50.912,1.083,0.923,0.963
35,2839,255,0,255,255,995.791,341.649,208.836,966,311,60,65,60.712,59.539,80.622,0.818,65.276,723945,255,NaN,NaN,100,723945,1,992,311,95.274,60.000,1.020,0.981,0.958
36,2255,255,0,255,255,77.153,342.595,189.522,49,316,55,54,55.221,51.994,146.629,0.789,56.613,575025,255,NaN,NaN,100,575025,1,54,326,144.345,53.062,1.062,0.942,0.959
37,1791,255,0,255,255,693.046,341.779,161.823,669,318,48,48,48.233,47.279,34.061,0.859,49.930,456705,255,NaN,NaN,100,456705,1,680,363,57.265,48.000,1.020,0.980,0.966
38,1875,255,0,255,255,178.767,353.525,167.723,154,329,49,49,49.239,48.485,92.136,0.838,50.606,478125,255,NaN,NaN,100,478125,1,156,365,29.604,49.000,1.016,0.985,0.965
39,2630,255,0,255,255,603.567,401.811,198.936,574,373,59,58,58.454,57.286,128.455,0.835,59.682,670650,255,NaN,NaN,100,670650,1,587,377,121.293,57.983,1.020,0.980,0.969
40,3501,255,0,255,255,888.644,428.744,236.049,855,391,69,72,68.363,65.205,63.648,0.790,73.763,892755,255,NaN,NaN,100,892755,1,879,462,74.268,65.761,1.048,0.954,0.954
41,3486,255,0,255,255,501.489,426.804,227.179,468,394,67,66,66.948,66.298,23.020,0.849,69.203,888930,255,NaN,NaN,100,888930,1,482,455,52.633,66.000,1.010,0.990,0.973
42,2822,255,0,255,255,67.585,437.231,211.078,37,407,61,60,60.864,59.035,142.429,0.796,62.626,719610,255,NaN,NaN,100,719610,1,46,414,128.517,60.000,1.031,0.970,0.966
43,1810,255,0,255,255,128.139,465.204,160.752,104,441,48,48,48.062,47.950,150.149,0.880,49.649,461550,255,NaN,NaN,100,461550,1,106,454,152.403,48.000,1.002,0.998,0.967
44,2379,255,0,255,255,408.824,474.466,189.622,381,446,55,56,55.998,54.092,47.858,0.831,58.310,606645,255,NaN,NaN,100,606645,1,394,500,59.036,55.000,1.035,0.966,0.967
45,1885,255,0,255,255,539.377,483.581,166.652,515,459,49,49,49.157,48.824,111.704,0.853,51.108,480675,255,NaN,NaN,100,480675,1,529,460,120.579,49.000,1.007,0.993,0.966
46,3722,255,0,255,255,1064.701,499.640,237.563,1030,465,69,69,69.375,68.310,133.427,0.829,71.400,949110,255,NaN,NaN,100,949110,1,1044,470,127.030,68.589,1.016,0.985,0.971
47,2206,255,0,255,255,324.701,497.484,191.279,298,470,52,58,55.883,50.261,123.555,0.758,61.847,562530,255,NaN,NaN,100,562530,1,316,471,112.834,51.619,1.112,0.899,0.947
48,2244,255,0,255,255,69.223,498.310,192.108,42,471,55,55,56.842,50.264,136.350,0.764,60.803,572220,255,NaN,NaN,100,572220,1,50,472,126.304,52.326,1.131,0.884,0.946
49,4182,255,0,255,255,900.329,518.294,253.120,863,482,74,77,75.089,70.912,124.421,0.820,79.076,1066410,255,NaN,NaN,100,1066410,1,891,482,103.158,72.001,1.059,0.944,0.966
50,2444,255,0,255,255,377.267,523.434,194.108,351,493,52,65,61.494,50.604,96.808,0.815,65.765,623220,255,NaN,NaN,100,623220,1,374,493,98.746,52.000,1.215,0.823,0.958
51,1574,255,0,255,255,592.545,520.292,152.995,570,498,45,45,45.209,44.329,45.014,0.845,46.872,401370,255,NaN,NaN,100,401370,1,574,535,33.690,45.000,1.020,0.981,0.964
52,2050,255,0,255,255,974.383,528.492,177.037,949,499,51,56,52.225,49.979,77.223,0.822,56.223,522750,255,NaN,NaN,100,522750,1,972,555,84.898,50.205,1.045,0.957,0.957
53,2677,255,0,255,255,219.564,534.720,202.350,190,505,59,59,58.743,58.024,138.962,0.822,61.741,682635,255,NaN,NaN,100,682635,1,191,520,155.095,58.641,1.012,0.988,0.962
54,184,255,0,255,255,183.277,522.603,53.355,176,514,14,17,16.411,14.275,86.470,0.812,17.464,46920,255,NaN,NaN,100,46920,1,179,530,66.371,14.000,1.150,0.870,0.918
55,2301,255,0,255,255,1127.982,549.376,187.037,1101,522,54,55,54.651,53.608,54.446,0.827,56.400,586755,255,NaN,NaN,100,586755,1,1105,566,37.073,54.000,1.019,0.981,0.965
56,5566,255,0,255,255,304.759,569.489,282.877,263,526,84,86,84.518,83.850,113.233,0.874,86.701,1419330,255,NaN,NaN,100,1419330,1,299,612,82.711,84.000,1.008,0.992,0.976
57,1003,255,0,255,255,192.280,571.715,137.439,178,545,28,53,51.136,24.974,101.874,0.667,53.935,255765,255,NaN,NaN,100,255765,1,188,545,100.685,27.512,2.048,0.488,0.933
58,2115,255,0,255,255,572.633,576.940,181.865,546,551,54,52,53.181,50.636,23.786,0.804,54.818,539325,255,NaN,NaN,100,539325,1,557,600,51.667,50.932,1.050,0.952,0.959
59,1884,255,0,255,255,106.156,584.665,165.480,82,560,49,50,49.453,48.507,81.620,0.865,51.546,480420,255,NaN,NaN,100,480420,1,98,609,71.917,48.790,1.019,0.981,0.967
60,2195,255,0,255,255,1195.542,601.492,185.279,1169,575,53,53,53.189,52.544,84.377,0.804,56.080,559725,255,NaN,NaN,100,559725,1,1169,614,21.991,53.000,1.012,0.988,0.961
61,7902,255,0,255,255,495.524,635.016,342.475,445,585,101,100,101.197,99.421,171.922,0.847,103.078,2015010,255,NaN,NaN,100,2015010,1,451,609,149.704,100.000,1.018,0.982,0.980
62,3291,255,0,255,255,374.347,634.813,236.836,341,602,68,65,70.826,59.162,138.108,0.737,77.833,839205,255,NaN,NaN,100,839205,1,350,610,137.083,62.933,1.197,0.835,0.938
63,2418,255,0,255,255,256.131,632.279,187.480,229,604,55,56,57.044,53.971,38.505,0.864,60.539,616590,255,NaN,NaN,100,616590,1,229,648,30.801,55.000,1.057,0.946,0.971
64,4042,255,0,255,255,170.878,657.048,247.220,135,621,72,72,72.256,71.225,47.716,0.831,74.250,1030710,255,NaN,NaN,100,1030710,1,156,691,64.470,72.000,1.014,0.986,0.974
65,2453,255,0,255,255,312.169,653.803,192.794,284,625,56,57,56.645,55.138,64.242,0.829,58.796,625515,255,NaN,NaN,100,625515,1,294,677,48.447,55.893,1.027,0.973,0.964
66,1180,255,0,255,255,1088.092,658.191,134.752,1068,639,40,39,39.324,38.206,20.957,0.817,40.853,300900,255,NaN,NaN,100,300900,1,1069,666,21.541,38.891,1.029,0.972,0.953
67,2855,255,0,255,255,42.922,671.263,206.108,13,641,60,61,61.128,59.467,134.609,0.845,62.626,728025,255,NaN,NaN,100,728025,1,19,651,141.483,60.000,1.028,0.973,0.971
68,2054,255,0,255,255,873.396,668.178,176.208,848,642,51,52,51.777,50.510,102.274,0.831,53.151,523770,255,NaN,NaN,100,523770,1,867,694,78.056,51.000,1.025,0.976,0.967
69,2054,255,0,255,255,785.917,694.953,175.581,760,670,53,50,53.189,49.169,10.712,0.837,56.080,523770,255,NaN,NaN,100,523770,1,761,706,21.991,49.544,1.082,0.924,0.955
70,3671,255,0,255,255,274.526,708.516,234.735,240,674,69,69,68.851,67.886,40.779,0.837,70.491,936105,255,NaN,NaN,100,936105,1,245,728,31.661,68.505,1.014,0.986,0.972
71,1951,255,0,255,255,428.064,718.917,171.480,403,693,50,51,50.466,49.223,76.032,0.834,52.202,497505,255,NaN,NaN,100,497505,1,421,744,73.301,50.000,1.025,0.975,0.960
72,1753,255,0,255,255,359.464,728.581,165.137,337,704,46,49,48.596,45.930,107.376,0.808,49.679,447015,255,NaN,NaN,100,447015,1,344,709,130.101,46.000,1.058,0.945,0.963
