 ,Area,Mean,Min,Max
1,23426,255,255,255
2,23413,255,255,255
3,23426,255,255,255
4,51010,255,255,255
5,27516,255,255,255
6,120243,255,255,255
7,26823,255,255,255
8,1958,255,255,255
9,1,255,255,255
10,41755,255,255,255
11,1,255,255,255
12,1416,255,255,255
13,4,255,255,255
14,47496,255,255,255
15,1,255,255,255
16,1,255,255,255
17,17949,255,255,255
18,1,255,255,255
19,1,255,255,255
20,1,255,255,255
21,2,255,255,255
22,1,255,255,255
23,1,255,255,255
24,1,255,255,255
25,1,255,255,255
26,1,255,255,255
27,1,255,255,255
28,17507,255,255,255
29,52229,255,255,255
30,33911,255,255,255
31,3,255,255,255
32,1128262,255,255,255
33,44228,255,255,255
34,320397,255,255,255
35,1,255,255,255
36,2,255,255,255
37,1,255,255,255
38,1,255,255,255
39,57196,255,255,255
40,1,255,255,255
41,2,255,255,255
42,1,255,255,255
43,10,255,255,255
44,4,255,255,255
45,1,255,255,255
46,16472,255,255,255
47,53365,255,255,255
48,36299,255,255,255
49,1,255,255,255
50,7,255,255,255
51,2,255,255,255
52,1,255,255,255
53,1,255,255,255
54,1,255,255,255
55,4,255,255,255
56,565,255,255,255
57,12,255,255,255
58,1,255,255,255
59,2,255,255,255
60,97139,255,255,255
61,1,255,255,255
62,1,255,255,255
63,1,255,255,255
64,1,255,255,255
65,11,255,255,255
66,3,255,255,255
67,189260,255,255,255
68,9,255,255,255
69,2,255,255,255
70,5,255,255,255
71,47,255,255,255
72,1,255,255,255
73,1,255,255,255
74,1,255,255,255
75,1,255,255,255
76,2,255,255,255
77,3,255,255,255
78,1,255,255,255
79,1,255,255,255
80,1,255,255,255
81,1,255,255,255
82,14494,255,255,255
83,1,255,255,255
84,1,255,255,255
85,17667,255,255,255
86,3,255,255,255
87,1,255,255,255
88,1,255,255,255
89,1,255,255,255
90,1,255,255,255
91,1,255,255,255
92,1,255,255,255
93,51978,255,255,255
94,2,255,255,255
95,2,255,255,255
96,1,255,255,255
97,23431,255,255,255
98,1,255,255,255
99,1,255,255,255
100,2,255,255,255
101,1,255,255,255
102,82,255,255,255
103,2,255,255,255
104,2,255,255,255
105,2,255,255,255
106,1,255,255,255
107,1,255,255,255
108,1,255,255,255
109,1,255,255,255
110,3,255,255,255
111,2,255,255,255
112,1,255,255,255
113,1,255,255,255
114,5583,255,255,255
115,1,255,255,255
116,1,255,255,255
117,1,255,255,255
118,1,255,255,255
119,2,255,255,255
120,107,255,255,255
121,3,255,255,255
122,2,255,255,255
123,10,255,255,255
124,2,255,255,255
125,1,255,255,255
126,2,255,255,255
127,1,255,255,255
128,1,255,255,255
129,1,255,255,255
130,1,255,255,255
131,1,255,255,255
132,1,255,255,255
133,1,255,255,255
134,2,255,255,255
135,1,255,255,255
136,1,255,255,255
137,5,255,255,255
138,9,255,255,255
139,5,255,255,255
140,1,255,255,255
141,1,255,255,255
142,4,255,255,255
143,20797,255,255,255
144,27719,255,255,255
145,1,255,255,255
146,1,255,255,255
147,1,255,255,255
148,1,255,255,255
149,1,255,255,255
150,7,255,255,255
151,1,255,255,255
152,32,255,255,255
153,14,255,255,255
154,1,255,255,255
155,41113,255,255,255
156,2,255,255,255
157,1,255,255,255
158,1,255,255,255
159,20343,255,255,255
160,44696,255,255,255
161,32699,255,255,255
162,5,255,255,255
163,46242,255,255,255
164,1,255,255,255
165,27950,255,255,255
166,1,255,255,255
167,1,255,255,255
168,1,255,255,255
169,7,255,255,255
170,25093,255,255,255
171,4,255,255,255
172,2,255,255,255
173,2,255,255,255
174,1,255,255,255
175,1,255,255,255
176,1,255,255,255
177,4,255,255,255
178,131,255,255,255
179,173,255,255,255
180,169,255,255,255
181,157,255,255,255
182,206,255,255,255
183,10373,255,255,255
184,2976,255,255,255
185,1,255,255,255
186,2,255,255,255
187,1,255,255,255
188,2010,255,255,255
189,1,255,255,255
190,2,255,255,255
191,2,255,255,255
192,4,255,255,255
193,4615,255,255,255
194,2,255,255,255
195,673,255,255,255
196,589,255,255,255
197,1,255,255,255
198,1,255,255,255
199,1,255,255,255
200,1,255,255,255
201,1,255,255,255
