 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6184.792,255,0,255,255,105.386,32.714,560.042,28.028,0.000,138.408,83.737,119.712,65.781,155.868,0.248,142.302,1577121.921,255,NaN,NaN,100,13172280,1,82,0,151.378,83.737,1.820,0.549,0.771
2,3321.919,255,0,255,255,284.318,28.172,231.315,251.903,0.000,66.090,58.824,68.881,61.404,16.558,0.780,76.141,847089.355,255,NaN,NaN,100,7074975,1,737,161,47.026,58.824,1.122,0.891,0.966
3,14551.909,255,0,255,255,457.949,94.853,861.125,383.045,0.000,157.439,194.810,168.881,109.711,87.801,0.247,205.085,3710736.821,255,NaN,NaN,100,30992445,1,1354,555,69.455,144.539,1.539,0.650,0.674
4,3248.524,255,0,255,255,679.682,14.393,328.719,616.263,0.000,122.491,33.910,125.799,32.879,179.082,0.378,122.773,828373.702,255,NaN,NaN,100,6918660,1,1781,12,176.121,33.910,3.826,0.261,0.886
5,238.263,255,0,255,255,845.744,7.792,67.779,834.256,0.000,18.339,20.415,21.935,13.830,126.298,0.652,27.443,60757.175,255,NaN,NaN,100,507450,1,2411,0,131.934,16.401,1.586,0.630,0.978
6,0.239,255,0,255,255,738.581,6.920,1.671,738.408,6.574,0.346,0.692,0.781,0.390,90.000,1.000,0.774,61.062,255,NaN,NaN,100,510,1,2134,19,116.565,0.346,2.000,0.500,1.000
7,5067.827,255,0,255,255,781.935,66.791,373.712,736.332,14.879,90.657,103.114,120.167,53.696,126.166,0.456,114.257,1292295.950,255,NaN,NaN,100,10793385,1,2162,59,126.627,58.126,2.238,0.447,0.864
8,190.132,255,0,255,255,235.330,36.251,59.454,227.336,28.374,15.917,15.571,15.642,15.476,134.677,0.676,16.508,48483.615,255,NaN,NaN,100,404940,1,667,85,123.024,15.571,1.011,0.989,0.940
9,5756.516,255,0,255,255,604.856,64.643,387.359,546.021,31.488,121.107,64.360,127.308,57.573,179.090,0.482,121.234,1467911.663,255,NaN,NaN,100,12260145,1,1578,173,177.383,64.360,2.211,0.452,0.869
10,2183.642,255,0,255,255,700.773,67.864,185.521,674.394,40.830,54.325,53.287,54.320,51.184,128.657,0.797,57.303,556828.821,255,NaN,NaN,100,4650690,1,1960,153,151.113,51.530,1.061,0.942,0.972
11,0.479,255,0,255,255,427.855,51.817,2.447,427.336,51.557,1.038,0.692,0.946,0.645,0.000,1.000,1.094,122.125,255,NaN,NaN,100,1020,1,1235,149,161.565,0.692,1.468,0.681,0.800
12,0.479,255,0,255,255,429.412,52.076,2.852,428.720,51.903,1.384,0.346,1.562,0.390,0.000,0.740,1.427,122.125,255,NaN,NaN,100,1020,1,1239,150,165.964,0.346,4.000,0.250,1.000
13,0.120,255,0,255,255,441.003,53.114,0.979,440.830,52.941,0.346,0.346,0.390,0.390,0.000,1.000,0.489,30.531,255,NaN,NaN,100,255,1,1274,153,135.000,0.346,1.000,1.000,1.000
14,0.120,255,0,255,255,409.170,53.460,0.979,408.997,53.287,0.346,0.346,0.390,0.390,0.000,1.000,0.489,30.531,255,NaN,NaN,100,255,1,1182,154,135.000,0.346,1.000,1.000,1.000
15,0.120,255,0,255,255,447.232,55.882,0.979,447.059,55.709,0.346,0.346,0.390,0.390,0.000,1.000,0.489,30.531,255,NaN,NaN,100,255,1,1292,161,135.000,0.346,1.000,1.000,1.000
16,0.120,255,0,255,255,451.730,56.920,0.979,451.557,56.747,0.346,0.346,0.390,0.390,0.000,1.000,0.489,30.531,255,NaN,NaN,100,255,1,1305,164,135.000,0.346,1.000,1.000,1.000
