 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2437.931,255,0,255,255,761.832,42.767,189.960,733.793,14.483,55.862,56.207,56.391,55.046,38.886,0.849,56.717,621672.414,255,NaN,NaN,100,5228265,1,2138,165,30.307,54.980,1.024,0.976,0.985
2,71.225,255,0,255,255,109.819,19.809,35.132,104.138,14.828,11.724,9.655,11.062,8.198,169.641,0.725,12.044,18162.307,255,NaN,NaN,100,152745,1,302,55,166.759,9.532,1.349,0.741,0.884
3,3014.625,255,0,255,255,125.378,52.610,211.472,94.483,21.724,62.069,61.724,62.165,61.744,133.045,0.847,64.242,768729.489,255,NaN,NaN,100,6465015,1,317,69,119.592,61.724,1.007,0.993,0.983
4,189.893,255,0,255,255,234.514,36.158,62.377,226.552,28.276,15.862,15.517,15.618,15.481,129.316,0.613,16.512,48422.711,255,NaN,NaN,100,407235,1,670,83,118.706,15.517,1.009,0.991,0.942
5,3175.030,255,0,255,255,575.951,63.946,214.516,544.138,31.379,64.483,64.138,63.725,63.438,33.818,0.867,65.736,809632.580,255,NaN,NaN,100,6809010,1,1580,212,13.963,63.713,1.005,0.995,0.984
6,2547.562,255,0,255,255,636.236,65.008,196.620,607.931,36.207,56.897,57.586,57.300,56.608,61.431,0.828,58.535,649628.419,255,NaN,NaN,100,5463375,1,1774,237,34.439,56.812,1.012,0.988,0.983
7,2172.889,255,0,255,255,698.350,67.648,186.546,672.069,40.690,54.138,53.448,54.172,51.070,129.046,0.785,57.370,554086.801,255,NaN,NaN,100,4659870,1,1957,158,152.819,51.448,1.061,0.943,0.971
8,67.539,255,0,255,255,256.619,51.844,32.088,252.069,46.207,10.000,10.345,10.680,8.052,131.601,0.824,10.822,17222.354,255,NaN,NaN,100,144840,1,731,143,157.521,8.046,1.326,0.754,0.942
9,6632.105,255,0,255,255,427.520,96.836,329.045,381.724,47.931,92.069,94.828,93.551,90.264,131.227,0.770,98.402,1691186.683,255,NaN,NaN,100,14222880,1,1191,141,117.553,91.399,1.036,0.965,0.976
10,2601.784,255,0,255,255,795.547,88.859,197.059,766.897,60.000,57.241,57.586,57.698,57.414,115.000,0.842,58.739,663454.816,255,NaN,NaN,100,5579655,1,2261,185,122.291,57.241,1.005,0.995,0.985
11,2117.360,255,0,255,255,224.000,91.122,179.315,198.276,64.828,51.379,52.759,53.012,50.855,65.181,0.828,55.962,539926.873,255,NaN,NaN,100,4540785,1,606,329,57.583,51.204,1.042,0.959,0.979
12,1583.115,255,0,255,255,297.462,88.673,157.134,274.483,66.897,46.207,43.103,46.875,43.002,165.783,0.806,48.316,403694.411,255,NaN,NaN,100,3395070,1,800,226,155.996,42.734,1.090,0.917,0.975
13,1786.683,255,0,255,255,79.122,94.099,163.557,55.172,70.345,47.931,47.586,48.094,47.301,22.267,0.839,49.794,455604.043,255,NaN,NaN,100,3831630,1,166,311,30.828,47.382,1.017,0.984,0.981
14,1975.268,255,0,255,255,164.048,122.597,189.187,138.966,97.586,55.862,50.000,50.995,49.318,27.678,0.694,56.033,503693.222,255,NaN,NaN,100,4236060,1,404,369,7.781,49.732,1.034,0.967,0.948
15,2891.795,255,0,255,255,748.341,134.305,208.832,717.931,104.138,61.034,60.345,61.323,60.042,28.834,0.833,64.087,737407.848,255,NaN,NaN,100,6201600,1,2096,452,38.226,60.154,1.021,0.979,0.982
16,4698.335,255,0,255,255,304.231,148.365,276.559,266.552,108.966,76.207,78.276,78.429,76.274,87.148,0.772,82.505,1198075.505,255,NaN,NaN,100,10075815,1,800,527,51.789,76.114,1.028,0.973,0.980
17,2285.731,255,0,255,255,57.050,141.285,189.472,29.655,112.414,54.483,56.207,54.258,53.638,90.133,0.800,56.359,582861.474,255,NaN,NaN,100,4901865,1,158,326,94.210,53.871,1.012,0.989,0.979
18,2431.510,255,0,255,255,690.884,140.522,188.783,663.103,112.414,56.897,56.207,56.438,54.855,134.813,0.857,58.166,620035.077,255,NaN,NaN,100,5214495,1,1926,380,163.821,55.158,1.029,0.972,0.982
19,4426.159,255,0,255,255,214.129,158.321,256.343,176.897,120.690,74.828,75.517,75.669,74.476,87.680,0.846,76.612,1128670.630,255,NaN,NaN,100,9492120,1,591,353,104.599,74.727,1.016,0.984,0.986
20,3836.504,255,0,255,255,481.219,159.182,258.071,445.862,121.034,72.069,73.448,71.325,68.487,5.272,0.724,73.529,978308.561,255,NaN,NaN,100,8227575,1,1400,351,92.688,69.581,1.041,0.960,0.964
21,2841.498,255,0,255,255,145.159,178.394,226.673,114.828,146.552,60.690,62.069,60.914,59.393,138.778,0.695,63.548,724582.045,255,NaN,NaN,100,6093735,1,360,444,131.040,59.369,1.026,0.975,0.972
22,4024.970,255,0,255,255,804.664,185.957,256.998,768.276,150.690,74.138,74.828,72.433,70.752,16.495,0.766,76.004,1026367.420,255,NaN,NaN,100,8631750,1,2281,445,108.517,71.556,1.024,0.977,0.954
23,6876.100,255,0,255,255,382.797,197.416,325.582,332.759,151.034,97.586,92.759,94.856,92.297,174.608,0.815,98.670,1753405.470,255,NaN,NaN,100,14746140,1,965,605,10.878,92.528,1.028,0.973,0.984
24,3228.537,255,0,255,255,733.673,200.729,218.452,701.724,168.621,63.793,64.138,64.552,63.680,25.982,0.850,66.434,823277.051,255,NaN,NaN,100,6923760,1,2039,552,159.966,63.770,1.014,0.986,0.985
25,1990.606,255,0,255,255,625.512,195.009,175.177,600.345,169.655,50.690,50.690,50.729,49.962,34.154,0.815,51.273,507604.637,255,NaN,NaN,100,4268955,1,1752,607,34.866,50.385,1.015,0.985,0.983
26,3767.895,255,0,255,255,518.557,219.466,245.663,484.138,184.138,68.621,75.172,70.302,68.241,71.238,0.785,76.550,960813.317,255,NaN,NaN,100,8080440,1,1486,752,71.892,68.621,1.030,0.971,0.970
27,2894.768,255,0,255,255,252.981,217.036,213.019,222.414,185.862,60.000,62.069,61.687,59.749,67.340,0.802,63.283,738165.874,255,NaN,NaN,100,6207975,1,699,715,69.590,60.000,1.032,0.969,0.982
28,110.107,255,0,255,255,769.867,207.542,44.418,765.862,198.621,10.690,15.517,15.474,9.060,108.099,0.701,16.681,28077.289,255,NaN,NaN,100,236130,1,2221,576,119.745,10.690,1.708,0.585,0.952
29,1705.232,255,0,255,255,128.917,228.612,172.733,101.034,203.448,50.000,54.138,54.491,39.845,124.162,0.718,55.398,434834.126,255,NaN,NaN,100,3656955,1,335,593,107.758,39.563,1.368,0.731,0.954
30,2067.658,255,0,255,255,21.417,239.432,199.962,1.724,207.241,42.414,64.828,69.058,38.122,90.576,0.650,67.322,527252.675,255,NaN,NaN,100,4434195,1,7,614,119.454,41.711,1.812,0.552,0.907
31,7272.533,255,0,255,255,78.921,263.948,420.702,36.207,209.655,91.379,114.483,110.047,84.143,95.644,0.516,114.651,1854495.838,255,NaN,NaN,100,15596310,1,211,608,93.103,88.392,1.308,0.765,0.954
32,74.078,255,0,255,255,787.379,224.882,36.462,782.414,219.310,10.000,10.345,10.237,9.213,169.048,0.700,10.695,18890.012,255,NaN,NaN,100,158865,1,2279,636,110.772,9.947,1.111,0.900,0.892
33,3128.300,255,0,255,255,658.520,255.765,220.654,627.241,223.793,63.448,64.138,63.650,62.578,68.358,0.807,65.416,797716.409,255,NaN,NaN,100,6708795,1,1856,821,56.394,62.877,1.017,0.983,0.979
34,2545.898,255,0,255,255,718.362,259.541,197.930,690.000,230.690,57.586,57.931,57.490,56.384,119.802,0.817,59.398,649203.924,255,NaN,NaN,100,5459805,1,2058,671,105.489,56.569,1.020,0.981,0.979
35,2655.767,255,0,255,255,561.951,265.801,215.994,532.414,236.207,58.276,58.966,58.664,57.641,111.185,0.715,62.395,677220.571,255,NaN,NaN,100,5695425,1,1554,729,148.330,57.718,1.018,0.983,0.975
36,1482.402,255,0,255,255,222.906,259.018,151.562,201.034,236.552,43.793,44.483,43.698,43.193,115.606,0.811,45.246,378012.485,255,NaN,NaN,100,3179085,1,640,815,79.461,42.975,1.012,0.988,0.977
37,1657.907,255,0,255,255,457.921,265.351,163.872,435.172,238.966,45.862,49.655,46.549,45.348,83.832,0.776,50.285,422766.350,255,NaN,NaN,100,3555465,1,1309,837,80.925,45.801,1.027,0.974,0.968
38,2521.760,255,0,255,255,270.736,277.954,203.447,242.759,249.310,56.552,58.966,57.364,55.973,65.657,0.766,61.308,643048.751,255,NaN,NaN,100,5408040,1,749,893,66.463,56.434,1.025,0.976,0.965
39,2597.027,255,0,255,255,511.132,298.237,204.945,482.069,268.966,57.931,57.931,57.706,57.301,131.043,0.777,59.170,662241.974,255,NaN,NaN,100,5569455,1,1428,801,130.746,57.641,1.007,0.993,0.978
40,1864.804,255,0,255,255,761.062,301.724,174.606,737.241,277.241,49.655,51.379,49.943,47.541,76.256,0.769,52.005,475524.970,255,NaN,NaN,100,3999165,1,2198,953,78.914,47.437,1.051,0.952,0.966
41,2472.889,255,0,255,255,634.111,311.058,197.226,605.517,283.103,56.897,55.862,57.237,55.010,160.800,0.799,58.163,630586.801,255,NaN,NaN,100,5303235,1,1777,846,138.846,55.715,1.040,0.961,0.977
42,62.663,255,0,255,255,789.279,290.837,32.492,784.483,286.552,9.310,9.655,9.270,8.607,100.244,0.746,10.142,15979.191,255,NaN,NaN,100,134385,1,2285,859,72.181,8.901,1.077,0.929,0.909
43,2526.040,255,0,255,255,458.065,318.063,198.250,427.931,288.276,57.931,59.655,59.706,53.868,111.582,0.808,60.226,644140.309,255,NaN,NaN,100,5417220,1,1314,836,97.898,53.962,1.108,0.902,0.967
44,5134.602,255,0,255,255,314.241,331.441,306.676,273.793,288.966,84.828,83.448,81.393,80.321,45.049,0.686,85.601,1309323.424,255,NaN,NaN,100,11011410,1,795,984,9.273,79.949,1.013,0.987,0.965
45,3443.995,255,0,255,255,128.396,327.892,237.555,95.862,294.483,65.517,66.897,66.609,65.833,65.745,0.767,68.780,878218.787,255,NaN,NaN,100,7385820,1,332,1045,67.292,65.517,1.012,0.988,0.978
