 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5992.646,255,0,255,255,103.291,32.072,546.754,27.119,0.000,135.932,82.373,117.697,64.828,155.943,0.252,139.821,1528124.677,255,NaN,NaN,100,13298505,1,81,0,151.944,82.373,1.816,0.551,0.775
2,3210.801,255,0,255,255,278.523,27.651,227.123,246.441,0.000,65.424,57.966,67.780,60.314,16.461,0.782,74.884,818754.381,255,NaN,NaN,100,7125210,1,734,159,42.064,57.966,1.124,0.890,0.966
3,14092.272,255,0,255,255,448.675,92.917,841.925,375.254,0.000,154.237,191.186,166.172,107.978,87.827,0.250,201.004,3593529.446,255,NaN,NaN,100,31272690,1,1348,553,68.845,141.835,1.539,0.650,0.678
4,3145.878,255,0,255,255,665.918,14.154,322.033,603.729,0.000,120.000,33.220,123.689,32.383,179.095,0.381,120.402,802198.793,255,NaN,NaN,100,6981135,1,1781,11,175.317,33.220,3.820,0.262,0.890
5,232.347,255,0,255,255,828.502,7.711,67.757,817.288,0.000,17.966,20.339,21.664,13.656,126.024,0.636,27.138,59248.492,255,NaN,NaN,100,515610,1,2411,0,131.455,16.200,1.586,0.630,0.972
6,4914.680,255,0,255,255,766.015,65.428,365.796,721.017,14.237,89.153,101.695,118.093,52.989,126.125,0.462,112.193,1253243.321,255,NaN,NaN,100,10906350,1,2163,58,125.035,57.258,2.229,0.449,0.867
7,190.750,255,0,255,255,230.541,35.475,54.691,222.373,27.458,15.932,15.932,15.732,15.438,125.853,0.801,16.275,48641.195,255,NaN,NaN,100,423300,1,665,86,125.676,15.773,1.019,0.981,0.953
8,5573.571,255,0,255,255,592.600,63.330,380.556,534.576,30.508,118.983,63.390,125.077,56.737,179.072,0.484,119.065,1421260.557,255,NaN,NaN,100,12368520,1,1577,179,177.879,63.390,2.204,0.454,0.871
9,2120.655,255,0,255,255,686.497,66.503,178.673,660.678,39.661,53.220,52.881,53.576,50.398,129.285,0.835,56.586,540767.021,255,NaN,NaN,100,4706025,1,1954,164,155.584,50.576,1.063,0.941,0.972
10,1.149,255,0,255,255,424.068,51.017,6.862,422.373,50.847,3.390,0.339,3.825,0.383,0.000,0.307,3.407,293.019,255,NaN,NaN,100,2550,1,1246,150,174.289,0.339,10.000,0.100,1.000
