 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1577.083,255,0,255,255,99.477,35.756,170.172,71.167,14.500,58.000,41.000,61.457,32.673,33.610,0.684,69.523,402156.250,255,NaN,NaN,100,14477625,1,427,331,33.461,36.296,1.881,0.532,0.974
2,876.694,255,0,255,255,135.333,37.928,128.093,115.667,17.000,40.167,41.667,35.511,31.434,58.299,0.671,41.843,223557.083,255,NaN,NaN,100,8048055,1,776,102,95.256,33.374,1.130,0.885,0.924
3,1043.056,255,0,255,255,31.866,35.943,128.687,13.333,17.500,37.833,37.167,38.591,34.413,32.885,0.791,39.800,265979.167,255,NaN,NaN,100,9575250,1,80,260,19.573,35.038,1.121,0.892,0.976
4,3341.694,255,0,255,255,203.998,69.145,293.439,172.167,35.667,64.167,68.167,67.707,62.841,112.341,0.488,69.136,852132.083,255,NaN,NaN,100,30676755,1,1092,260,126.373,61.597,1.077,0.928,0.969
5,722.000,255,0,255,255,153.162,57.414,115.415,137.167,38.167,34.500,37.333,36.472,25.205,52.285,0.681,39.114,184110.000,255,NaN,NaN,100,6627960,1,872,453,72.646,25.396,1.447,0.691,0.914
6,167.833,255,0,255,255,114.887,52.754,53.753,106.167,42.500,15.500,19.333,17.789,12.013,70.387,0.730,19.391,42797.500,255,NaN,NaN,100,1540710,1,684,371,85.564,12.706,1.481,0.675,0.927
7,1694.472,255,0,255,255,49.925,69.584,166.874,23.833,45.833,48.833,49.000,48.886,44.133,121.600,0.765,52.405,432090.417,255,NaN,NaN,100,15555255,1,144,339,152.539,42.604,1.108,0.903,0.980
8,100.583,255,0,255,255,124.869,56.779,43.348,119.167,48.667,13.500,14.667,13.054,9.810,122.851,0.673,14.971,25648.750,255,NaN,NaN,100,923355,1,731,292,136.353,9.664,1.331,0.752,0.924
9,503.778,255,0,255,255,245.166,62.801,103.892,232.833,48.667,26.333,27.333,27.582,23.255,133.245,0.587,28.373,128463.333,255,NaN,NaN,100,4624680,1,1402,323,141.918,24.943,1.186,0.843,0.943
10,585.556,255,0,255,255,91.058,63.169,105.732,71.333,55.500,42.500,15.667,43.148,17.279,179.575,0.658,42.994,149316.667,255,NaN,NaN,100,5375400,1,428,333,171.304,15.667,2.497,0.400,0.989
11,401.000,255,0,255,255,166.537,73.814,94.164,152.333,56.833,24.833,32.500,25.879,19.729,120.400,0.568,32.962,102255.000,255,NaN,NaN,100,3681180,1,1030,341,99.605,23.125,1.312,0.762,0.920
12,247.056,255,0,255,255,117.123,70.275,63.207,106.500,59.000,18.833,21.167,18.914,16.631,97.188,0.777,21.606,62999.167,255,NaN,NaN,100,2267970,1,688,481,78.430,17.522,1.137,0.879,0.946
13,186.833,255,0,255,255,130.974,68.236,56.163,123.667,59.167,15.667,17.833,16.063,14.809,98.280,0.744,19.346,47642.500,255,NaN,NaN,100,1715130,1,753,462,67.190,15.089,1.085,0.922,0.934
14,1070.861,255,0,255,255,92.395,86.525,133.926,74.167,70.500,40.333,38.000,37.844,36.029,16.325,0.750,44.333,273069.583,255,NaN,NaN,100,9830505,1,445,428,123.033,37.783,1.050,0.952,0.965
15,82.333,255,0,255,255,131.630,79.414,39.263,125.167,74.167,11.833,11.167,11.713,8.950,10.603,0.671,13.737,20995.000,255,NaN,NaN,100,755820,1,772,512,54.382,9.255,1.309,0.764,0.897
16,1367.944,255,0,255,255,146.183,95.380,167.782,120.167,75.667,57.167,39.333,56.114,31.039,22.162,0.611,61.911,348825.833,255,NaN,NaN,100,12557730,1,721,682,22.976,32.088,1.808,0.553,0.952
17,365.667,255,0,255,255,117.849,90.119,81.779,103.000,77.667,25.500,21.667,25.535,18.233,45.214,0.687,30.878,93245.000,255,NaN,NaN,100,3356820,1,618,596,44.563,19.758,1.401,0.714,0.951
18,2585.611,255,0,255,255,170.994,127.705,293.255,141.333,97.667,59.333,60.167,58.382,56.389,25.311,0.378,61.194,659330.833,255,NaN,NaN,100,23735910,1,990,947,79.486,56.550,1.035,0.966,0.949
19,243.278,255,0,255,255,110.694,105.814,67.028,98.500,99.500,22.333,14.167,22.269,13.909,174.236,0.680,24.141,62035.833,255,NaN,NaN,100,2233290,1,591,652,22.316,14.167,1.601,0.625,0.960
20,4665.722,255,0,255,255,101.993,146.800,309.232,53.833,113.333,99.000,58.667,98.258,60.459,178.414,0.613,99.290,1189759.167,255,NaN,NaN,100,42831330,1,325,919,172.768,58.667,1.625,0.615,0.990
