 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5970,255,0,255,255,467.884,47.460,322.617,425,2,85,97,92.580,82.104,106.858,0.721,101.597,1522350,255,NaN,NaN,100,1522350,1,441,9,118.836,84.918,1.128,0.887,0.940
2,3261,255,0,255,255,1185.450,33.429,233.563,1151,2,75,61,72.430,57.325,166.904,0.751,77.885,831555,255,NaN,NaN,100,831555,1,1151,22,164.358,60.937,1.263,0.791,0.946
3,1207,255,0,255,255,412.043,23.669,134.610,393,3,39,41,41.173,37.325,86.345,0.837,42.485,307785,255,NaN,NaN,100,307785,1,405,4,116.565,37.937,1.103,0.907,0.937
4,2900,255,0,255,255,286.456,52.295,209.522,256,22,62,61,61.362,60.174,120.687,0.830,65.000,739500,255,NaN,NaN,100,739500,1,270,24,120.510,61.000,1.020,0.981,0.966
5,2154,255,0,255,255,527.885,73.935,182.652,502,48,53,53,53.474,51.288,86.614,0.811,56.223,549270,255,NaN,NaN,100,549270,1,505,92,38.501,51.955,1.043,0.959,0.950
6,5661,255,0,255,255,850.446,90.896,297.262,808,48,85,86,85.787,84.020,40.608,0.805,90.686,1443555,255,NaN,NaN,100,1443555,1,821,124,48.576,84.853,1.021,0.979,0.971
7,2545,255,0,255,255,333.847,86.452,200.551,303,56,60,57,60.839,53.262,157.784,0.795,64.475,648975,255,NaN,NaN,100,648975,1,303,81,156.218,55.007,1.142,0.875,0.951
8,2295,255,0,255,255,742.417,91.579,187.723,715,64,54,55,54.577,53.541,91.370,0.818,58.249,585225,255,NaN,NaN,100,585225,1,729,116,55.491,54.000,1.019,0.981,0.961
9,1836,255,0,255,255,67.460,93.070,170.794,44,68,48,49,48.607,48.093,5.348,0.791,51.624,468180,255,NaN,NaN,100,468180,1,45,108,31.535,48.000,1.011,0.989,0.959
10,2889,255,0,255,255,922.100,105.054,207.765,892,74,61,63,62.379,58.968,67.686,0.841,63.789,736695,255,NaN,NaN,100,736695,1,918,137,76.399,59.397,1.058,0.945,0.967
11,5470,255,0,255,255,1056.429,116.150,291.161,1015,74,83,88,83.861,83.050,71.465,0.811,88.459,1394850,255,NaN,NaN,100,1394850,1,1055,162,84.161,83.000,1.010,0.990,0.964
12,4261,255,0,255,255,424.280,117.546,252.635,388,80,73,75,74.493,72.829,85.041,0.839,75.954,1086555,255,NaN,NaN,100,1086555,1,418,155,80.910,73.000,1.023,0.978,0.975
13,2662,255,0,255,255,687.735,115.309,195.137,659,86,58,59,58.497,57.941,102.131,0.878,59.942,678810,255,NaN,NaN,100,678810,1,674,89,117.848,58.000,1.010,0.991,0.971
14,156,255,0,255,255,610.673,104.788,48.042,603,98,16,12,16.253,12.221,0.484,0.849,17.000,39780,255,NaN,NaN,100,39780,1,603,110,28.072,12.000,1.330,0.752,0.940
15,302,255,0,255,255,305.583,113.199,64.770,296,103,19,20,20.083,19.146,118.545,0.905,21.401,77010,255,NaN,NaN,100,77010,1,299,105,127.405,19.000,1.049,0.953,0.942
16,3024,255,0,255,255,258.354,140.692,243.806,226,107,63,66,68.331,56.347,121.339,0.639,73.600,771120,255,NaN,NaN,100,771120,1,235,112,126.714,61.230,1.213,0.825,0.894
17,3576,255,0,255,255,356.601,142.230,229.279,323,108,67,68,69.838,65.195,131.011,0.855,74.202,911880,255,NaN,NaN,100,911880,1,331,113,127.333,65.761,1.071,0.934,0.967
18,2640,255,0,255,255,622.064,138.722,199.480,590,111,61,60,62.858,53.475,150.867,0.834,66.648,673200,255,NaN,NaN,100,673200,1,605,111,117.719,53.577,1.175,0.851,0.953
19,2071,255,0,255,255,528.001,137.370,176.794,501,112,54,51,53.096,49.663,163.099,0.833,54.231,528105,255,NaN,NaN,100,528105,1,501,135,174.710,50.799,1.069,0.935,0.961
20,88,255,0,255,255,122.159,119.239,39.355,115,114,14,10,13.370,8.380,22.332,0.714,14.866,22440,255,NaN,NaN,100,22440,1,115,122,19.654,9.803,1.595,0.627,0.859
21,3367,255,0,255,255,965.640,148.927,224.836,933,116,65,66,65.840,65.112,60.930,0.837,67.624,858585,255,NaN,NaN,100,858585,1,939,170,38.395,65.000,1.011,0.989,0.973
22,8326,255,0,255,255,803.032,173.484,361.789,752,121,102,107,106.150,99.868,61.771,0.799,113.296,2123130,255,NaN,NaN,100,2123130,1,778,228,69.326,101.682,1.063,0.941,0.966
23,6776,255,0,255,255,92.670,173.924,322.718,47,126,92,95,94.666,91.136,113.506,0.818,97.082,1727880,255,NaN,NaN,100,1727880,1,73,130,114.981,92.000,1.039,0.963,0.975
24,5264,255,0,255,255,186.144,177.539,292.233,145,133,82,86,83.420,80.344,108.011,0.775,87.801,1342320,255,NaN,NaN,100,1342320,1,177,218,75.489,80.777,1.038,0.963,0.966
25,6750,255,0,255,255,1169.255,182.482,347.245,1115,135,103,91,101.643,84.554,34.023,0.703,111.517,1721250,255,NaN,NaN,100,1721250,1,1118,217,32.550,88.345,1.202,0.832,0.945
26,3593,255,0,255,255,889.593,180.031,230.593,856,146,68,68,68.064,67.213,134.503,0.849,69.893,916215,255,NaN,NaN,100,916215,1,869,152,123.917,67.663,1.013,0.988,0.971
27,3303,255,0,255,255,1086.755,181.927,222.350,1054,149,65,66,66.393,63.342,34.233,0.840,68.505,842265,255,NaN,NaN,100,842265,1,1059,202,33.690,65.000,1.048,0.954,0.963
28,5205,255,0,255,255,594.786,193.827,284.978,560,150,77,88,83.199,79.655,74.680,0.805,89.051,1327275,255,NaN,NaN,100,1327275,1,560,223,34.939,77.000,1.044,0.957,0.963
29,3101,255,0,255,255,703.094,183.294,212.794,671,152,64,62,65.743,60.057,16.475,0.861,67.417,790755,255,NaN,NaN,100,790755,1,674,201,32.276,60.451,1.095,0.913,0.967
30,3603,255,0,255,255,309.718,189.101,232.735,276,154,67,70,68.521,66.950,99.289,0.836,70.178,918765,255,NaN,NaN,100,918765,1,309,154,94.086,67.000,1.023,0.977,0.971
31,2456,255,0,255,255,538.312,192.060,196.024,513,160,46,64,64.687,48.342,90.090,0.803,65.307,626280,255,NaN,NaN,100,626280,1,531,162,115.388,46.000,1.338,0.747,0.974
32,2464,255,0,255,255,248.823,205.856,189.480,220,178,57,56,56.562,55.466,114.876,0.862,58.412,628320,255,NaN,NaN,100,628320,1,226,187,141.953,56.000,1.020,0.981,0.965
33,4005,255,0,255,255,461.222,216.452,248.049,425,180,72,72,72.075,70.750,74.896,0.818,73.817,1021275,255,NaN,NaN,100,1021275,1,439,246,54.372,71.784,1.019,0.982,0.972
34,1882,255,0,255,255,373.285,206.447,171.823,349,182,48,49,50.398,47.546,119.082,0.801,54.818,479910,255,NaN,NaN,100,479910,1,358,186,128.333,48.000,1.060,0.943,0.954
35,2648,255,0,255,255,1010.504,219.291,198.936,981,190,62,58,59.336,56.822,7.665,0.841,63.348,675240,255,NaN,NaN,100,675240,1,981,226,11.842,57.983,1.044,0.958,0.965
36,915,255,0,255,255,713.092,224.732,121.640,695,209,37,32,37.913,30.728,8.425,0.777,39.051,233325,255,NaN,NaN,100,233325,1,698,235,39.806,30.643,1.234,0.810,0.935
37,4767,255,0,255,255,879.408,250.880,270.191,840,212,78,78,78.406,77.412,40.261,0.821,80.455,1215585,255,NaN,NaN,100,1215585,1,845,272,32.307,77.983,1.013,0.987,0.975
38,3353,255,0,255,255,1075.978,244.882,220.693,1043,212,66,65,67.552,63.198,31.054,0.865,69.462,855015,255,NaN,NaN,100,855015,1,1043,256,22.874,64.347,1.069,0.936,0.972
39,1932,255,0,255,255,755.329,241.562,171.137,730,213,49,54,50.517,48.694,90.445,0.829,55.082,492660,255,NaN,NaN,100,492660,1,746,266,74.197,49.000,1.037,0.964,0.954
40,3211,255,0,255,255,630.804,248.909,227.806,598,214,65,67,65.680,62.247,35.986,0.778,68.154,818805,255,NaN,NaN,100,818805,1,619,280,75.556,62.137,1.055,0.948,0.955
41,4938,255,0,255,255,127.468,258.428,273.706,88,218,79,80,79.912,78.677,92.964,0.828,82.855,1259190,255,NaN,NaN,100,1259190,1,111,296,60.341,79.000,1.016,0.985,0.974
42,4539,255,0,255,255,526.614,263.129,260.392,489,224,75,78,80.361,71.916,61.169,0.841,82.855,1157445,255,NaN,NaN,100,1157445,1,507,300,60.341,72.749,1.117,0.895,0.974
43,2190,255,0,255,255,806.844,248.313,178.167,780,224,53,52,53.254,52.360,178.665,0.867,55.570,558450,255,NaN,NaN,100,558450,1,792,224,120.256,52.000,1.017,0.983,0.970
44,1718,255,0,255,255,1185.297,251.572,170.995,1162,226,46,53,53.712,40.725,98.899,0.738,53.852,438090,255,NaN,NaN,100,438090,1,1174,226,105.068,41.847,1.319,0.758,0.926
45,2830,255,0,255,255,956.759,255.972,217.907,926,227,68,59,62.799,57.378,23.470,0.749,70.576,721650,255,NaN,NaN,100,721650,1,928,269,20.746,59.000,1.094,0.914,0.947
46,1649,255,0,255,255,1150.179,260.286,162.853,1128,233,43,52,51.263,40.957,90.718,0.781,53.451,420495,255,NaN,NaN,100,420495,1,1145,284,72.582,41.570,1.252,0.799,0.949
47,1996,255,0,255,255,212.427,261.219,170.894,187,236,52,50,50.830,49.998,146.131,0.859,53.367,508980,255,NaN,NaN,100,508980,1,187,266,12.995,50.000,1.017,0.984,0.965
48,2297,255,0,255,255,267.535,262.608,182.309,240,236,55,54,54.429,53.733,141.173,0.868,56.321,585735,255,NaN,NaN,100,585735,1,240,255,163.496,54.000,1.013,0.987,0.968
49,2159,255,0,255,255,418.992,270.411,175.581,393,244,52,54,52.517,52.343,122.808,0.880,54.818,550545,255,NaN,NaN,100,550545,1,404,248,128.333,52.000,1.003,0.997,0.961
50,2536,255,0,255,255,722.600,282.678,190.894,695,254,56,57,57.709,55.952,122.461,0.875,59.203,646680,255,NaN,NaN,100,646680,1,698,266,142.549,56.000,1.031,0.970,0.970
51,3065,255,0,255,255,1005.050,293.615,214.794,973,263,64,61,63.117,61.830,178.500,0.835,66.219,781575,255,NaN,NaN,100,781575,1,980,273,141.746,60.874,1.021,0.980,0.965
